Date,Close,Open,High,Low,Vol.
08-04-2022,839.3,823,844.8,817.4,5104761
11-04-2022,854.55,840,860,839.3,4944725
12-04-2022,844.9,853.9,859,835,5566080
13-04-2022,840.5,849.9,854.9,836.5,5300891
18-04-2022,842.7,831.35,846.75,821.4,5752361
19-04-2022,819.3,849,850.25,807,7357863
20-04-2022,827.65,825.6,835.95,820,4947109
21-04-2022,850.5,833,858.9,832.3,5174646
22-04-2022,874.15,847.45,886,840.7,4796294
25-04-2022,859.55,873.95,880.95,848.65,5931774
26-04-2022,909.5,868,913,865.4,3126873
27-04-2022,887.3,914.05,924.65,880,5125968
28-04-2022,887.1,899,900.25,876.8,6227901
29-04-2022,856.4,892.7,898.9,852.1,3373615
02-05-2022,856.55,850,862.85,838.05,11466725
04-05-2022,812.8,860.5,864.2,805.8,6724094
05-05-2022,811.35,820.9,835.5,806,9828768
06-05-2022,811.4,797.9,820.95,790.2,9909226
09-05-2022,792.6,807.45,807.45,783,4701183
10-05-2022,769.1,795.2,803.95,765.05,4986814
11-05-2022,759.9,771,784.95,749.05,8299295
12-05-2022,713.3,759,759,705.3,9825043
13-05-2022,705.9,727,735.9,701.8,9421163
16-05-2022,712.5,715,728.15,704,8297995
17-05-2022,744.75,720,747.3,715.35,5656799
18-05-2022,759.8,752.65,767.2,742,3849222
19-05-2022,732.8,744,747.35,730,7349740
20-05-2022,767.55,749.95,772.8,745.1,5145644
23-05-2022,753.55,774.85,779.9,751.25,9886295
24-05-2022,752.15,756.6,764.8,747.5,5537752
25-05-2022,707.9,735,743.95,705.4,10410082
26-05-2022,701.5,712,719.3,668.15,7135797
27-05-2022,703.1,714.1,714.1,697,6077153
30-05-2022,734.7,714,737,710,6563676
31-05-2022,739.85,731.1,749,728,4564891
01-06-2022,736.9,739.8,743.7,729.05,4007695
02-06-2022,748.45,737,751.9,730.25,7297028
03-06-2022,739.9,758,758.5,738.75,6102744
06-06-2022,741.25,738.5,745,725.3,3656408
07-06-2022,734.55,739,742.5,713.4,3659307
08-06-2022,728.6,735.55,740,725.35,6068663
09-06-2022,735.5,726,737,723.1,5656703
10-06-2022,726.4,726,732.15,718.2,7151632
13-06-2022,695.25,711,714.7,688.8,6992874
14-06-2022,704.7,695.4,721.8,693.55,4270816
15-06-2022,703.75,710.9,713.3,701.6,6099986
16-06-2022,681.7,711.95,717.1,677,4778478
17-06-2022,668.95,677,689.45,663,4603103
20-06-2022,663.15,671,673.9,653.1,12064446
21-06-2022,689.1,670.5,691.55,667.1,11570835
22-06-2022,668.3,684.9,687.85,665.55,10018531
23-06-2022,675.3,672.7,683.3,666.2,6947490
24-06-2022,686.4,683,687.95,677.1,7874671
27-06-2022,687.75,698,698.7,684.9,5643066
28-06-2022,678.05,681,683.8,670.25,8924920
29-06-2022,677.8,675,684.4,667,11820892
30-06-2022,672.05,680.55,685.9,666.6,8406156
01-07-2022,677.9,670,680,656,4369022
04-07-2022,682,679.85,684.3,673.1,8882792
05-07-2022,678.75,686.45,694.2,676.95,7942721
06-07-2022,694.35,678,696.3,677.15,9068448
07-07-2022,703.6,701,707,695,8345649
08-07-2022,715.7,709.9,717.75,706.55,9004636
11-07-2022,729.2,715,732,713.05,7681157
12-07-2022,731.9,729,742.9,726.35,9456280
13-07-2022,726.75,737.05,739,724.35,8910998
