Date,Close,Open,High,Low,Vol.
08-04-2022,3206.25,3168,3220,3151.2,10776387
11-04-2022,3157.45,3184,3222,3150,10939179
12-04-2022,3128.65,3154.7,3162.1,3114.15,12300670
13-04-2022,3080.65,3117.2,3121.9,3066.1,9399830
18-04-2022,3021.55,3056,3058,3013,12848281
19-04-2022,2991.2,3030,3059.2,2970,9717894
20-04-2022,3083,2991.3,3089.5,2980,8617389
21-04-2022,3158.25,3089.8,3174.4,3086.05,7426563
22-04-2022,3164.4,3121.5,3173.3,3113.25,7457765
25-04-2022,3130.6,3134,3155.1,3095.1,6516308
26-04-2022,3125.65,3130,3148.7,3105.8,5466662
27-04-2022,3148.35,3096,3164,3085.95,5635224
28-04-2022,3247.7,3190,3268,3170,6923558
29-04-2022,3237.2,3249,3278,3221.3,6303173
02-05-2022,3200,3195,3211.5,3154.05,13085009
04-05-2022,3100.85,3178,3194.7,3081.45,10066136
05-05-2022,3076.55,3104.75,3126.95,3070,14463418
06-05-2022,3016.25,3020,3052.4,3003.9,11691602
09-05-2022,3005.25,3000.85,3038.8,2975,8357181
10-05-2022,3086.35,3051,3138.75,3036,11660648
11-05-2022,3053.65,3090.4,3109.55,2979,20147061
12-05-2022,3039.95,3042,3078,2988,24828458
13-05-2022,3064,3074.4,3116.25,3035.3,20438651
16-05-2022,2999.9,3089.9,3089.9,2985.2,23224756
17-05-2022,3050,2998.9,3056.6,2951,14224356
18-05-2022,3100.1,3030,3128.8,3026,10720884
19-05-2022,3046.9,3000.5,3071.7,3000.45,12157425
20-05-2022,3109.95,3080,3125,3070,10038170
23-05-2022,3174.2,3143.95,3188,3130.05,13657428
24-05-2022,3086.85,3174.75,3183.65,3070,7495685
25-05-2022,2838.05,3039,3039,2826.3,11117081
26-05-2022,2840.15,2850,2860,2718.55,5886245
27-05-2022,2834.85,2868,2869,2781,7559843
30-05-2022,2844,2880,2884,2817,5430894
31-05-2022,2859.65,2844,2878,2811,7077669
01-06-2022,2852.5,2859.65,2939.9,2832.05,6174137
02-06-2022,2908.55,2870.2,2919,2848,16618114
03-06-2022,2886.9,2905,2919.45,2856,20449544
06-06-2022,2817.45,2871.1,2872,2807.7,9321859
07-06-2022,2744.7,2800,2804,2731,10959783
08-06-2022,2705.2,2771.9,2775,2700,7334134
09-06-2022,2686.8,2680,2697.6,2633.75,9954921
10-06-2022,2708.75,2665,2736,2652,9820244
13-06-2022,2660.75,2669.95,2683,2642.5,8104237
14-06-2022,2635.4,2617,2666.35,2585,6340427
15-06-2022,2661.15,2650,2683.6,2627.1,7672215
16-06-2022,2657.45,2694.95,2725.45,2640,7640132
17-06-2022,2580.2,2650.1,2657,2560,11478317
20-06-2022,2660.7,2600,2673.35,2588.35,8711816
21-06-2022,2678.35,2674.95,2710,2640,6676491
22-06-2022,2666.35,2688,2707.95,2626.35,6851615
23-06-2022,2758.2,2674.95,2767.95,2674.95,6255027
24-06-2022,2760.9,2775,2784.8,2726,8023525
27-06-2022,2820.95,2779.9,2827.65,2765,11087204
28-06-2022,2726.5,2780,2784.8,2704.3,11485697
29-06-2022,2697.8,2706.5,2719,2678,11037317
30-06-2022,2695.2,2714.85,2726.95,2680,34401710
01-07-2022,2773.15,2704.9,2780,2685,16136040
04-07-2022,2790.3,2775.15,2798,2744.8,14548684
05-07-2022,2766.6,2785,2812.3,2760,12726146
06-07-2022,2861.4,2830.55,2869,2805.15,15511195
07-07-2022,2891.4,2901.4,2932,2876.8,13999329
08-07-2022,2879.8,2880,2888,2840.5,9523698
11-07-2022,2933.05,2874,2940.55,2851.35,9352398
12-07-2022,2893.2,2920,2923.25,2885.4,11166084
13-07-2022,2941.2,2949,2968.95,2926.05,9618627
14-07-2022,2939.15,2952.1,2954.85,2912.4,6159695
15-07-2022,2978.15,2949.95,2985,2940.45,8152237
18-07-2022,3017.85,2994.75,3025,2988.4,13013873
19-07-2022,3019.1,2983.45,3023,2978.15,9216948
20-07-2022,3006.45,3033,3044.7,3000,9708672
