Date,Close,Open,High,Low,Vol.
19-05-2022,650.2,643.3,657.75,641.2,7349740
20-05-2022,673.1,659.75,675.75,658,5145644
23-05-2022,675.35,673,684.8,668.55,9886295
24-05-2022,664.05,669.7,681.45,661.2,5537752
25-05-2022,665,668,672.65,660.05,10410082
26-05-2022,683.25,672.95,685.25,668,7135797
27-05-2022,688.3,689,693.8,684.25,6077153
30-05-2022,693.65,695.1,698,690.1,6563676
31-05-2022,685.2,689,696,683.05,4564891
01-06-2022,686.05,683,692.45,680.5,4007695
02-06-2022,691.55,682,693.15,682,7297028
03-06-2022,677.3,697.3,698,673.15,6102744
06-06-2022,672.2,677,684,670.3,3656408
07-06-2022,665.85,672.2,678,661.1,3659307
08-06-2022,658.6,670,673.55,655.45,6068663
09-06-2022,661.3,656.95,662.75,650,5656703
10-06-2022,660.7,655.5,663.7,652.2,7151632
13-06-2022,648.95,646.95,652,640.1,6992874
14-06-2022,650.75,645,655.7,643.1,4270816
15-06-2022,650.5,654,656.35,647.2,6099986
16-06-2022,634.9,657.5,658.2,631.05,4778478
17-06-2022,635.2,630,640.8,626.6,4603103
20-06-2022,628.3,635.25,637.15,622.2,12064446
21-06-2022,636.5,632,645.35,628.15,11570835
22-06-2022,626.8,632.55,633.65,621.25,10018531
23-06-2022,629.35,627.4,640.85,618.25,6947490
24-06-2022,634,634.35,642.45,631.65,7874671
27-06-2022,637.1,644,646.9,634.7,5643066
28-06-2022,642.35,634,644.7,632,8924920
29-06-2022,625.55,636.35,637.8,623.5,11820892
30-06-2022,636.8,624,639.3,623.65,8406156
01-07-2022,643.95,633,646.6,631.8,4369022
04-07-2022,654.35,641.55,655.15,640.5,8882792
05-07-2022,648.5,656.1,659.9,646,7942721
06-07-2022,657.95,652,659.4,651,9068448
07-07-2022,658.15,663.45,664.5,651.65,8345649
08-07-2022,669.15,667,676.8,661.4,9004636
11-07-2022,679.85,666.55,681.95,665.35,7681157
12-07-2022,676.2,677,685.25,673,9456280
13-07-2022,679.9,680,685,676.95,8910998
14-07-2022,668.25,678.6,680.45,665.6,6201594
15-07-2022,662.2,670,674.2,659.1,7638666
18-07-2022,684.5,668.05,688,663.45,7973235
19-07-2022,700.6,678.6,703.85,678.6,6783641
20-07-2022,705.7,706.3,714.5,702.7,10057508
21-07-2022,715.55,707.95,718.45,704.35,7039144
22-07-2022,730.75,717,735,715.1,6243086
25-07-2022,727.35,733.5,738.8,722.5,5867760
26-07-2022,706.45,722.9,723.45,702.05,8252551
27-07-2022,718.95,707.95,720.55,703.6,7624888
28-07-2022,725.9,725,733.7,723.05,6393341
29-07-2022,724.75,733.9,734.95,723,32591420
01-08-2022,730.8,726,732.3,720.4,4512079
02-08-2022,730.45,727,734.35,721.1,10211408
03-08-2022,730.5,730,738.5,727.5,11048210
04-08-2022,721.6,735.2,736.7,712.2,5119488
05-08-2022,728.5,724,731.2,721.2,5703333
08-08-2022,745.55,730,747.35,728.1,5759172
10-08-2022,739,745,747.85,736.15,7973935
11-08-2022,758.85,743.05,760.65,743.05,8349943
12-08-2022,760.55,758.7,762,753.4,8131998
16-08-2022,764.65,765,772,758.45,6790653
17-08-2022,772.1,771.4,773.75,766.25,5166738
18-08-2022,765.05,772,776,762.1,7896943
19-08-2022,757.5,772,772.65,750.25,11286988
22-08-2022,741.85,753.4,754.45,739.2,5568825
23-08-2022,747.05,738,750.85,733.8,5408801
24-08-2022,750.15,745,752.05,742,4899839
25-08-2022,743.35,753.9,758.6,740,8974475
26-08-2022,744.9,748,755,741.3,6571866
29-08-2022,728.7,730,734.9,722.05,7141493
30-08-2022,751.5,733,753.55,733,6263867
01-09-2022,744.15,733.5,754.9,733.5,8863172
02-09-2022,750.2,749,754.55,740.25,10666627
05-09-2022,756.1,750.2,758.8,749.35,37841671
06-09-2022,750,758,761.55,748.8,19317335
07-09-2022,755.4,743.15,758,739.05,8144239
08-09-2022,779.75,761.75,782.2,757.1,11050026
09-09-2022,784.85,787.95,787.95,780,10753423
12-09-2022,801,789,805,786.8,8773162
13-09-2022,805.55,805,808.95,803.15,6390604
14-09-2022,803.05,794.4,811.35,794.4,4974502
15-09-2022,790,805.5,806.5,787.65,6564435
16-09-2022,789.3,786.05,792.6,776.1,7831798
19-09-2022,798.1,789.3,802,786.7,4431880
20-09-2022,812.75,806.8,816.2,802,6996757
21-09-2022,806.55,809.25,816,803.35,7587006
22-09-2022,789.2,805,808.8,784.3,11041036
23-09-2022,768.6,789,789,764.25,7625468
26-09-2022,742.6,759,763.5,741,5062651
27-09-2022,737.5,746.35,754.15,730.5,10665470
28-09-2022,716.45,733.9,733.9,707.7,5216466
29-09-2022,719,722.25,730.8,711,3994321
30-09-2022,733.2,720,737.75,714.4,5766936
03-10-2022,722.75,731,742,721.05,6982808
04-10-2022,742.8,733.4,744.5,732,7245568
06-10-2022,755.1,750,760.4,746,6423115
07-10-2022,755.7,753.8,757.5,742.3,6576824
10-10-2022,776.85,748,778.7,745,6676577
11-10-2022,785.55,780,795.5,774.5,6434433
12-10-2022,808.7,789.5,810.8,783.45,4691228
13-10-2022,802,807,814.95,795.6,4949442
14-10-2022,800.5,815.55,820.7,794.45,3783480
17-10-2022,814.15,803.5,817,797.1,5838244
18-10-2022,816.35,820,822.9,811.55,3049304
19-10-2022,829.85,818.45,838.45,816.9,3044037
20-10-2022,825.85,824.9,831.9,816.95,3419730
21-10-2022,900.4,860.1,906,855.85,4366123
24-10-2022,909.45,916,918.45,905,4371179
25-10-2022,902.85,905.7,910.6,891.6,4466619
27-10-2022,915.15,909,919.95,901.25,4785579
28-10-2022,903.05,915,917.95,898.9,3632902
31-10-2022,906,908,918,902.1,4957449
01-11-2022,871.75,904,904,869,9155684
02-11-2022,863.55,875,877,861.6,10678670
03-11-2022,864.05,857.9,880.4,856,9188434
04-11-2022,868.1,869,872.9,862.3,5999196
07-11-2022,872.95,876.25,876.8,861.3,5227785
09-11-2022,873.7,875.05,880.75,868.5,5030172
10-11-2022,843.7,843.7,856.7,841,3455942
11-11-2022,850.7,847,854.7,844.15,3256840
14-11-2022,851,850.5,853.9,847.35,3837302
15-11-2022,858.65,851.25,859.85,847.2,3431445
16-11-2022,855.4,858,861.6,850.6,4102114
17-11-2022,858.2,855.4,861.4,852.7,4004997
18-11-2022,859.2,859.3,865.8,855,4783723
21-11-2022,870.05,860,870.95,859,9330469
