Date,Close,Open,High,Low,Volume
08-02-2022,1598.92,1581,1611.98,1572,410373
09-02-2022,1625.78,1618,1641.49,1612,251023
10-02-2022,1639.36,1634.49,1655,1603.3,299770
11-02-2022,1611.31,1600,1620,1591,244696
14-02-2022,1567.42,1580.5,1588.8,1545.1,296115
15-02-2022,1637.52,1589,1642.75,1564.9,359213
16-02-2022,1627.24,1642.8,1658.99,1619.01,273874
17-02-2022,1618.12,1636.6,1641.83,1608.1,214433
18-02-2022,1609.66,1606.1,1628.9,1602.58,174327
21-02-2022,1601.22,1603.8,1623.82,1578,227592
22-02-2022,1618.94,1530,1627,1527.5,322374
23-02-2022,1613.36,1639,1639,1603.5,241830
24-02-2022,1524.52,1560,1589.59,1520,361563
25-02-2022,1577.22,1578.8,1606.5,1557,320337
28-02-2022,1601.26,1570,1608.48,1536.5,373257
02-03-2022,1605.3,1570.5,1615.72,1563.2,281715
03-03-2022,1570.41,1630,1634.8,1564.68,340014
04-03-2022,1533.32,1559,1567.23,1521.2,338059
07-03-2022,1437.32,1499.4,1499.4,1379.99,371521
08-03-2022,1445.07,1440,1452.5,1395.1,462569
09-03-2022,1501.52,1450.11,1519.96,1440,391341
10-03-2022,1546.74,1564.9,1585,1530.5,476405
11-03-2022,1556.9,1540,1575,1528,329632
14-03-2022,1567.85,1547.56,1573.5,1541.15,285201
15-03-2022,1570.89,1574.9,1595,1553.4,296511
16-03-2022,1612.48,1590.06,1624,1585.1,298317
17-03-2022,1637.08,1639.9,1658.9,1625.5,402068
21-03-2022,1618.08,1640,1644.4,1615,201635
22-03-2022,1649.46,1625,1659,1595.1,265279
23-03-2022,1640.74,1660,1672.88,1634.42,229079
24-03-2022,1637.87,1635,1651.2,1627,183924
25-03-2022,1633.33,1650,1650,1624.02,147748
28-03-2022,1651.9,1640,1656,1610.1,175187
29-03-2022,1650.17,1653.6,1662,1642.32,198138
30-03-2022,1712.89,1660,1724.98,1653.1,454764
31-03-2022,1706.04,1710,1730,1698.2,298692
01-04-2022,1713.92,1703,1720,1701.12,210141
04-04-2022,1719.64,1719.9,1748,1695.52,324394
05-04-2022,1681.88,1722,1730,1675.86,385537
06-04-2022,1672,1681.88,1689.91,1665.1,246552
07-04-2022,1655.39,1665,1670,1648,216790
08-04-2022,1674.9,1670,1684,1651.73,213383
11-04-2022,1657.78,1667.5,1684.54,1655,169686
12-04-2022,1631.8,1650.2,1650.2,1622.21,247647
13-04-2022,1609,1640.4,1650,1605,248390
18-04-2022,1582.72,1604,1604,1565.44,281889
19-04-2022,1572.06,1599.9,1608,1559.15,259696
20-04-2022,1550.93,1572.1,1580,1532.33,251707
21-04-2022,1583.58,1560.1,1602.1,1559.26,236489
