Date,Close,Open,High,Low,Volume
44596,3565.35,3621.1,3621.1,3550,296588
07-02-2022,3476,3570,3570,3468,286849
08-02-2022,3458.65,3476.1,3512.95,3445.9,397493
09-02-2022,3563.55,3452,3570,3452,352729
10-02-2022,3569.35,3563.35,3581.55,3545.65,239918
11-02-2022,3566.65,3530,3575,3508,339577
14-02-2022,3487.95,3465,3538,3461.35,282645
15-02-2022,3589.2,3490,3601,3473.75,357052
16-02-2022,3586.9,3599,3640,3571.1,244587
17-02-2022,3597.3,3590.1,3660,3590.1,513917
18-02-2022,3632.15,3597,3642.5,3563.6,277299
21-02-2022,3579.5,3624.15,3637.95,3567.35,344326
22-02-2022,3600.7,3520,3615,3515,432562
23-02-2022,3580.3,3615.1,3639.9,3570,209392
24-02-2022,3478.9,3485.5,3559.3,3435,628362
25-02-2022,3508.4,3490.1,3560,3490.1,327777
28-02-2022,3530.35,3497.7,3561,3448.05,387040
02-03-2022,3372.3,3498.3,3498.3,3333,982580
03-03-2022,3297.1,3399,3404.8,3279,536758
04-03-2022,3242.1,3251,3285.95,3151,509620
07-03-2022,3234.65,3185,3279,3125,335205
08-03-2022,3317.1,3229,3354.45,3175.7,557492
09-03-2022,3339,3320,3360,3293,508262
10-03-2022,3422.35,3399,3440,3385.4,350154
11-03-2022,3423,3400,3445.5,3386.45,156038
14-03-2022,3452.55,3402,3464.95,3368,245299
15-03-2022,3454.05,3441,3494,3426.35,229544
16-03-2022,3569.8,3490.05,3592.2,3481,262987
17-03-2022,3650.45,3580,3664.85,3575.65,429272
21-03-2022,3589.05,3650.45,3718,3580.25,432309
22-03-2022,3656.45,3580,3662,3564.5,213667
23-03-2022,3601.5,3664.95,3683.35,3590,281347
24-03-2022,3583.9,3590.3,3637.9,3569.7,385957
25-03-2022,3654.35,3592,3659.15,3592,492945
28-03-2022,3687.75,3654.35,3737,3645.05,688267
29-03-2022,3689.1,3697.8,3735,3660.85,376929
30-03-2022,3674.1,3729.65,3729.65,3665.25,343930
31-03-2022,3653,3680,3715.15,3636.1,511249
01-04-2022,3739.9,3636,3746,3636,391985
04-04-2022,3763.65,3750,3772,3716.4,419517
05-04-2022,3809.7,3765,3819.95,3765,339228
06-04-2022,3801.8,3801,3810,3741.6,240470
07-04-2022,3802.25,3801.85,3819.6,3771.05,224527
08-04-2022,3810.35,3812.3,3836,3767,229962
11-04-2022,3787.15,3820,3825,3768.15,135225
12-04-2022,3712.05,3768.5,3776.7,3676.05,266145
13-04-2022,3697.3,3712.05,3747.5,3669.1,198206
18-04-2022,3714.6,3690,3758.25,3645.25,373718
19-04-2022,3657.15,3740,3774.6,3618.35,211918
20-04-2022,3720.75,3666,3734.95,3652.3,174080
21-04-2022,3702.35,3705,3739.5,3680.1,216475
22-04-2022,3642.5,3670,3694.75,3622.85,228316
25-04-2022,3682.95,3602,3724.75,3600,444222
26-04-2022,3892.1,3704.95,3905,3704.95,1107122
27-04-2022,3905.65,3870,3919,3846,541564
28-04-2022,3834.4,4000,4000,3805,1628318
29-04-2022,3729.55,3805,3840,3711.35,594650
02-05-2022,3623.45,3720,3720,3606,376660
04-05-2022,3496.9,3625,3683,3485.4,575428
05-05-2022,3523.9,3538.8,3595,3510.4,323081
06-05-2022,3499.75,3488.3,3555,3460,436366
09-05-2022,3568.75,3490,3584.7,3480,502719
10-05-2022,3593.05,3564.95,3646.7,3540,507087
11-05-2022,3612.85,3600,3627.95,3537.3,437746
12-05-2022,3585,3585,3654,3539.2,777332
13-05-2022,3642.1,3618.05,3736,3618.05,633218
16-05-2022,3715.85,3650,3725,3650,401803
17-05-2022,3742.9,3725.1,3787,3725.1,402398
18-05-2022,3791.2,3743,3829.5,3736.2,507061
19-05-2022,3698.55,3691.9,3778,3680.05,261026
20-05-2022,3787.8,3760,3849,3735,396832
23-05-2022,3786.15,3836,3874.5,3770,339483
24-05-2022,3783.3,3817.4,3842,3771.05,369304
25-05-2022,3791.8,3814.55,3819,3742.25,225253
26-05-2022,3857.35,3801.1,3870,3754.05,419826
27-05-2022,3833.05,3875,3890,3823.05,422591
30-05-2022,3856.7,3860,3903.15,3843.05,271827
31-05-2022,3864.1,3876,3958,3839,1154256
01-06-2022,3720.1,3877.2,3904,3707.3,784215
02-06-2022,3688.7,3720.1,3749.9,3666.35,346754
03-06-2022,3672.7,3719,3733.9,3650,409815
06-06-2022,3817,3660,3869.75,3650.5,1136609
07-06-2022,3834.1,3765,3853.65,3765,561644
08-06-2022,3794.15,3833.5,3850,3768.05,346603
09-06-2022,3878.65,3794.15,3895,3779.4,627869
10-06-2022,3881,3956.3,3971,3850,1412838
13-06-2022,3881.25,3825,3895.05,3794.45,519745
14-06-2022,3681.75,3885,3915.75,3602.95,1733394
15-06-2022,3698.1,3700,3742.65,3645,753821
16-06-2022,3658.2,3736.8,3736.8,3633,438590
17-06-2022,3628.95,3670,3713.95,3615.6,727356
20-06-2022,3615.95,3620.25,3638.8,3574.8,268242
21-06-2022,3645.25,3631,3675,3616.05,424763
