Date,Close,Open,High,Low,Volume
11-04-2022,7336.65,7345.05,7384,7295,4478855
12-04-2022,7274.5,7299.95,7299.95,7220,4094513
13-04-2022,7328.45,7313,7380,7282.05,3454806
18-04-2022,7261.45,7265.5,7375,7231.6,4646178
19-04-2022,7259.55,7300,7443.3,7151,6141529
20-04-2022,7032.5,7274.95,7294.7,6960,5631276
21-04-2022,7138.1,7099,7187,7047.3,5098193
22-04-2022,7110.75,7080,7207,7071.4,5524786
25-04-2022,7005.5,7000,7074.95,6950,5444908
26-04-2022,7240.55,7131,7262.95,7097,2612160
27-04-2022,6714.1,7100,7100,6688.85,2210217
28-04-2022,6727.65,6748,6805,6580,3103771
29-04-2022,6671.8,6800,6823.6,6651,7053081
02-05-2022,6626.15,6550,6649.85,6525.5,2818071
04-05-2022,6339.75,6629.9,6667.8,6290,7047485
05-05-2022,6309.45,6400,6497.45,6290,5839510
06-05-2022,6000.3,6201,6205.05,5975,9573141
09-05-2022,6036.95,5961,6135.25,5832.55,7734602
10-05-2022,5928.45,6000,6113.05,5900,6412853
11-05-2022,5807,5957,5996.6,5737,7778930
12-05-2022,5593.4,5750,5764.75,5505.9,9968000
13-05-2022,5515.75,5700,5749,5500,6440280
16-05-2022,5645.4,5575,5711.95,5488,6781953
17-05-2022,5837.3,5660,5849,5652,9054604
18-05-2022,5815.2,5889.95,5956.7,5790,8278802
19-05-2022,5707,5651,5745,5611,8224912
20-05-2022,5769.6,5840,5841.95,5712,6065433
23-05-2022,5794,5825,5906.25,5771.2,4722492
24-05-2022,5798.8,5783,5833,5725,11413836
25-05-2022,5827.4,5839,5877.7,5801.8,6184825
26-05-2022,5817.8,5850,5875.45,5653.4,7467189
27-05-2022,5993.5,5900,6077,5861.05,6237729
30-05-2022,6111.2,6088,6127,6041.1,4848379
31-05-2022,6082.15,6110,6169.2,6016.45,3629552
01-06-2022,6010.15,6060,6130,5977.25,5812191
02-06-2022,6057.85,6007,6080,5949.2,5708664
03-06-2022,6028.2,6125,6168,6014,4123566
06-06-2022,6021,6008.2,6050,5911,5503682
07-06-2022,5878.6,5980,5989.95,5833.65,6386165
08-06-2022,5954.3,5900,6054,5802.25,7357360
09-06-2022,5898.55,5905,5931.6,5855,3311172
10-06-2022,5667.5,5825,5835,5652.4,5843175
13-06-2022,5358.25,5525.05,5554,5325,3346885
14-06-2022,5375.75,5347,5461,5284.2,4190274
15-06-2022,5484.95,5418,5499.9,5396.15,2389160
16-06-2022,5283.9,5565,5614.95,5254.85,2445974
17-06-2022,5419.55,5220,5475,5220,3261962
20-06-2022,5470.45,5428,5510,5352,2792673
21-06-2022,5549.15,5525,5564,5455,5796327
22-06-2022,5439.6,5531.5,5531.5,5405,8568189
23-06-2022,5448.15,5445.6,5495,5343,7977846
24-06-2022,5587.75,5510,5616.65,5455,4410739
27-06-2022,5641.2,5700,5725,5587.75,10407964
28-06-2022,5576.25,5607,5619,5525,3139478
29-06-2022,5512.8,5485,5554,5460,3081806
30-06-2022,5400.5,5512.8,5535.2,5377,3286639
01-07-2022,5614.4,5364,5633.95,5335.05,3359425
04-07-2022,5630.3,5612.9,5648.95,5541,3200238
05-07-2022,5661.1,5660,5755,5626.45,2868547
06-07-2022,5916.7,5680,5938.85,5645.9,1847546
07-07-2022,5860.7,5935,5986.9,5816,2348871
08-07-2022,5873.2,5928,5928,5801,2524390
11-07-2022,5861.5,5850,5903.95,5813.8,2954952
12-07-2022,5873.55,5849.8,5959.55,5784,3887065
13-07-2022,5878.9,5929.95,5979,5866.6,3858313
14-07-2022,5830.85,5925,5926.95,5794.7,2257796
15-07-2022,5915.2,5855,5928.25,5812.85,1942152
18-07-2022,6059.8,5969.9,6068.1,5931.35,4798210
19-07-2022,6065.95,6040,6098.15,6002.05,7657308
20-07-2022,6074.4,6149,6149.6,6042.05,5093969
21-07-2022,6266.9,6079,6283.15,6036,3196697
22-07-2022,6258.25,6271,6325,6217.7,4396431
25-07-2022,6227,6240,6334,6185,2945719
26-07-2022,6264.45,6300,6383.7,6212.5,4081823
27-07-2022,6396.35,6279,6429.4,6195,8030657
28-07-2022,7076.6,6522,7109.95,6522,4875852
29-07-2022,7209.1,7175,7260,7125,3550508
01-08-2022,7261,7251.05,7310,7192,10420751
02-08-2022,7341.9,7201.45,7356,7182.2,6690532
03-08-2022,7296.35,7326,7376.4,7218,8056904
04-08-2022,7316.65,7338.95,7385,7205,4969493
05-08-2022,7304.7,7339.95,7367.95,7276.05,4672714
08-08-2022,7342.2,7300,7398,7264,3955076
10-08-2022,7149.4,7369,7369,7105,2690805
11-08-2022,7318.95,7244,7325,7217.35,6959446
12-08-2022,7309.4,7302,7343,7272.05,2726717
16-08-2022,7286.1,7339,7384,7272.1,3751840
17-08-2022,7527.1,7300,7638,7296,5049196
18-08-2022,7488.25,7490,7588.8,7452.4,4993654
19-08-2022,7301.7,7510,7538.7,7271,4360359
22-08-2022,7102.2,7261,7279.8,7088.85,6952755
23-08-2022,7207.7,7085,7250,7050,3728409
24-08-2022,7176.9,7165,7236.4,7140,2801829
25-08-2022,7047.15,7212.8,7239,7025.1,6602434
26-08-2022,7062.1,7120,7141.5,7025.7,4348512
29-08-2022,6964.35,6881,7015.5,6861.35,3274950
30-08-2022,7306.25,7000,7335,7000,2784807
01-09-2022,7181.3,7228.6,7333.85,7142,3240518
02-09-2022,7190.35,7217.1,7313,7173.45,2251588
05-09-2022,7196.2,7190.7,7254,7158,4579284
06-09-2022,7119.35,7228.75,7255,7105,4416695
07-09-2022,7166.5,7078,7207.95,7070,2215520
08-09-2022,7257.65,7220,7279.45,7175,3069304
09-09-2022,7180.9,7300,7324,7165,4176932
12-09-2022,7286.9,7216.85,7319.9,7187.85,4639907
13-09-2022,7403.45,7330,7444,7312.4,2517327
14-09-2022,7483.45,7272.15,7560,7272.15,5915421
15-09-2022,7386.3,7489.95,7532.85,7369.7,5345351
16-09-2022,7274.1,7385,7480.15,7194.35,4822921
19-09-2022,7496.1,7275,7524.45,7190.95,5917691
20-09-2022,7635.4,7569.95,7715,7565,5012177
21-09-2022,7690.65,7640,7735,7586.05,3514880
22-09-2022,7719.55,7670,7778,7600,2504515
23-09-2022,7507.15,7714.8,7731.5,7475,3361785
26-09-2022,7259.5,7437,7460,7129,3649172
27-09-2022,7242.85,7325,7379.95,7210.05,3146589
28-09-2022,7202.5,7179,7297.5,7160.1,3264614
29-09-2022,7104.75,7312.5,7316.9,7088.05,2198632
30-09-2022,7335.75,7081,7362,7026.8,3257432
03-10-2022,7171.8,7337,7398,7144.6,3466765
04-10-2022,7488.7,7335,7505,7306.35,4802883
06-10-2022,7404.15,7550,7599,7346.9,3110792
07-10-2022,7345.15,7385.45,7407.75,7272.25,3831736
10-10-2022,7293.4,7265,7338,7221,2039665
11-10-2022,7202.8,7307,7352.5,7172.6,2511918
12-10-2022,7226.2,7205,7258.5,7145,2557623
13-10-2022,7151.65,7220.5,7226,7114.7,9472906
14-10-2022,7272.5,7300,7345,7221,2871689
17-10-2022,7355.2,7254.95,7372.3,7217,1688595
18-10-2022,7390.4,7400,7430,7321,2642970
19-10-2022,7380.4,7417,7440,7350,5360640
20-10-2022,7432.4,7369.95,7449,7261,7073400
21-10-2022,7192.75,7490,7490,7153.05,3559485
24-10-2022,7206.5,7310,7310,7190,3731688
25-10-2022,7102.9,7242.55,7242.55,7090,2113978
27-10-2022,6971.1,7186,7210,6931,1559158
28-10-2022,7006.85,7000,7090,6980,2594074
31-10-2022,7144.1,7094,7149.6,7046,3210494
01-11-2022,7209.5,7196.95,7236,7160,2063732
02-11-2022,7156.2,7207,7240,7140.05,1625013
03-11-2022,7121.6,7105,7195,7092.1,3169631
04-11-2022,7212,7121.6,7224.9,7121.6,3370831
07-11-2022,7190.05,7248.1,7250.65,7111,4839625
09-11-2022,7144,7235,7235,7114.65,2392289
10-11-2022,6975.1,7158,7165,6964.55,2549764
11-11-2022,7051.45,7149,7157.85,6995,2764730
14-11-2022,7025.8,7054.9,7107,7001.05,8667708
15-11-2022,7025.75,7035.15,7062.4,6981,3467131
16-11-2022,6895.05,7011,7034.85,6852.6,2703189
17-11-2022,6895.05,6870,6950,6832,5175542
18-11-2022,6791.5,6909.9,6928,6750,3431557
21-11-2022,6679.1,6747,6747,6610.35,2496619
22-11-2022,6685.05,6680.25,6727.75,6660.3,5968723
23-11-2022,6780.05,6718.5,6805,6690,2736853
24-11-2022,6771.35,6813.95,6839.85,6737.3,2795700
25-11-2022,6747.5,6770,6778,6675,2253666
28-11-2022,6777.45,6729,6832.8,6728.55,2676770
29-11-2022,6734.15,6775,6808.9,6721,2758380
30-11-2022,6720.95,6735,6754.2,6678,5467239
01-12-2022,6747.75,6754.6,6770,6707,3133336
02-12-2022,6675.75,6730.2,6741.95,6647,2225544
05-12-2022,6660.45,6674.55,6699,6632,3266251
06-12-2022,6698.55,6674.4,6735,6632,5591273
07-12-2022,6625.2,6724.95,6724.95,6601,3542201
08-12-2022,6581.95,6680,6680,6560,2133260
09-12-2022,6517.45,6602.5,6618,6490,3486803
12-12-2022,6506.5,6508.1,6539,6392,3218419
13-12-2022,6620.1,6507,6648,6507,2365616
14-12-2022,6655.2,6658,6688.55,6626.6,2652669
15-12-2022,6625.4,6632,6714,6604,7395855
16-12-2022,6596.9,6590,6695.3,6560,3029077
19-12-2022,6687,6600.1,6705,6597,2577730
20-12-2022,6642.85,6660,6698.85,6585,2672321
21-12-2022,6526.7,6693.9,6693.9,6505,3287463
22-12-2022,6490.65,6570,6575,6407,3014752
23-12-2022,6374.6,6450,6466,6340.05,5130561
26-12-2022,6433.7,6374.65,6469.9,6300,2189082
27-12-2022,6504.7,6466,6530,6430,392995
28-12-2022,6476.1,6475,6570,6464.05,2842331
29-12-2022,6510.9,6440,6520.5,6402.4,3384803
30-12-2022,6575.2,6550,6719.9,6515,2490422
02-01-2023,6553.75,6565,6610,6484.75,4084060
03-01-2023,6606.25,6565,6660,6530,3364574
04-01-2023,6571,6595,6638,6550,2453666
05-01-2023,6100.05,6490,6490,6025.05,2294074
06-01-2023,5980.4,6130,6139.95,5941.6,3839115
09-01-2023,5993.35,6020,6078,5955,3866221
10-01-2023,5904.15,5999,6015,5875,2790297
11-01-2023,5895.75,5930,5949,5865.55,1397871
12-01-2023,5898.4,5906.55,5964.9,5857,2290032
13-01-2023,5977.8,5920,5985,5872,1300007
16-01-2023,6010.9,6000,6072.2,5974.55,2017679
17-01-2023,5984.95,6019.95,6019.95,5940,1463405
18-01-2023,5998.65,6003.95,6049,5985,1908123
19-01-2023,6012.45,5983,6029.65,5960.65,2032860
20-01-2023,5860.4,6012.5,6019.75,5837.2,3835853
23-01-2023,5863,5881,5935,5841,3735515
24-01-2023,5855.05,5892.35,5921,5842.65,2856730
