Date,Close,Open,High,Low,Volume
11-04-2022,194.18,192.57,195.07,192.4,4478855
12-04-2022,190.3,193.47,193.8,188.62,4094513
13-04-2022,189.5,190,191.97,188.85,3454806
18-04-2022,185.88,189.5,189.5,185.53,4646178
19-04-2022,187.93,186.95,191.93,186.5,6141529
20-04-2022,194.97,189.9,196.15,188.18,5631276
21-04-2022,198.85,197.5,199.4,195,5098193
22-04-2022,196.7,197.5,198.62,195.75,5524786
25-04-2022,184.85,192.5,192.97,184.4,5444908
26-04-2022,186.43,186.7,187.7,184.57,2612160
27-04-2022,183.25,184,185.8,182.15,2210217
28-04-2022,184.68,185.85,185.85,182.57,3103771
29-04-2022,181.3,185,186.35,180.57,7053081
02-05-2022,183.22,180.05,183.97,178.82,2818071
04-05-2022,181.72,183.22,185.7,179.75,7047485
05-05-2022,180.5,183.03,184.38,180.05,5839510
06-05-2022,178.65,178.5,179.9,176.5,9573141
09-05-2022,176.7,177.85,179.15,174.9,7734602
10-05-2022,176.72,176.75,179,175.7,6412853
11-05-2022,173.55,177.5,179.72,172.38,7778930
12-05-2022,169.97,172.5,173.22,168.1,9968000
13-05-2022,168.47,170.7,172.65,168,6440280
16-05-2022,168.05,169.57,169.82,166.85,6781953
17-05-2022,171.22,168,171.47,167.07,9054604
18-05-2022,165.95,168.22,173.6,165.5,8278802
19-05-2022,163.32,164.9,164.97,162,8224912
20-05-2022,166.4,166,167.43,164,6065433
23-05-2022,166.05,166.4,168.07,163.5,4722492
24-05-2022,165.05,166.05,167.28,164.25,11413836
25-05-2022,163.07,166.2,166.75,162.57,6184825
26-05-2022,162.18,162.5,162.75,156.1,7467189
27-05-2022,161.18,162.3,164.5,159.1,6237729
30-05-2022,164.57,162.25,165.4,161,4848379
31-05-2022,163.1,165,165.35,162.5,3629552
01-06-2022,163,164,165.93,162.05,5812191
02-06-2022,164.68,163.5,167.13,161.27,5708664
03-06-2022,164.07,165.3,166,163.55,4123566
06-06-2022,159.68,163.75,163.95,159.15,5503682
07-06-2022,160.13,158.77,161.3,158.5,6386165
08-06-2022,161.95,160.5,162.45,159.6,7357360
09-06-2022,166.43,161.5,167.27,159.75,3311172
10-06-2022,165.5,165.38,166.1,163.3,5843175
13-06-2022,158.98,163.95,163.95,158.65,3346885
14-06-2022,157.15,158.65,160.38,155.82,4190274
15-06-2022,157,158.43,158.43,154,2389160
16-06-2022,155.82,159,159.9,155.15,2445974
17-06-2022,150.5,154.5,155.75,149.88,3261962
20-06-2022,148.02,152,152.25,147,2792673
21-06-2022,150.6,148.32,151.23,146.68,5796327
22-06-2022,152.95,151.57,153.7,148.38,8568189
23-06-2022,153.95,154.23,155.25,151.77,7977846
24-06-2022,153.77,154.1,155.23,152.7,4410739
27-06-2022,157.5,155,157.82,154.18,10407964
28-06-2022,159.3,156,159.75,156,3139478
29-06-2022,158.2,156.8,159.93,156.8,3081806
30-06-2022,154.2,158,158.88,153.57,3286639
01-07-2022,159.18,154.25,159.63,152.85,3359425
04-07-2022,158.18,158.05,159.23,156.32,3200238
05-07-2022,156.55,158.9,160.68,156.07,2868547
06-07-2022,160.65,158.3,161,157.75,1847546
07-07-2022,164.7,162.45,165,161.55,2348871
08-07-2022,162.65,165,166.13,162.25,2524390
11-07-2022,157.95,163.18,163.18,157.75,2954952
12-07-2022,154.32,157.5,157.75,154.02,3887065
13-07-2022,155.25,156,157.7,154.75,3858313
14-07-2022,153.07,155.5,156.35,152.07,2257796
15-07-2022,156.05,154,156.57,153.05,1942152
18-07-2022,157.9,156.75,158.13,154.82,4798210
19-07-2022,158.27,157.45,158.9,156.25,7657308
20-07-2022,158.55,159.7,160.43,158.13,5093969
21-07-2022,161.35,158.98,162,158,3196697
22-07-2022,160.15,162.6,162.7,159.27,4396431
25-07-2022,158.57,160.15,160.45,157.77,2945719
26-07-2022,159.23,158.43,159.57,157.07,4081823
27-07-2022,162.3,159,162.52,158.77,8030657
28-07-2022,163.02,160.93,164.45,160.93,4875852
29-07-2022,165.15,163.52,165.57,162.6,3550508
01-08-2022,167.07,165.5,167.6,163.9,10420751
02-08-2022,167.57,167.75,170.75,166.15,6690532
03-08-2022,166.95,167.57,168.68,165.15,8056904
04-08-2022,166.98,168.45,168.88,164.85,4969493
05-08-2022,168.2,167.5,168.63,166.1,4672714
08-08-2022,162.82,164.75,165,160.1,3955076
10-08-2022,164.15,163.65,165.13,163,2690805
11-08-2022,164.18,164.98,165.8,163.6,6959446
12-08-2022,166.95,164.18,167.23,163.9,2726717
16-08-2022,172.95,167.23,173.63,166.52,3751840
17-08-2022,176.57,173.8,177.63,173.5,5049196
18-08-2022,173.52,176.77,176.77,172.73,4993654
19-08-2022,169.13,171.23,171.63,168.5,4360359
22-08-2022,166.82,168.57,168.73,165.9,6952755
23-08-2022,166.85,165.48,167.48,165.3,3728409
24-08-2022,164.77,166.5,167.1,164.02,2801829
25-08-2022,164.9,165,167.5,164.15,6602434
26-08-2022,164.55,166.95,166.95,164.15,4348512
29-08-2022,163.1,162.5,163.85,161.52,3274950
30-08-2022,164.32,163.13,164.95,163.1,2784807
01-09-2022,165.68,162.75,166.5,162.1,3240518
02-09-2022,160.98,166.25,167.05,160.25,2251588
05-09-2022,162.38,161,162.55,160.63,4579284
06-09-2022,162.13,163,163.23,160.52,4416695
07-09-2022,163.43,161.68,164,160.93,2215520
08-09-2022,169.93,165,170.43,164.82,3069304
09-09-2022,169.25,170.75,170.77,168.02,4176932
12-09-2022,171.3,169.25,172.5,169.1,4639907
13-09-2022,170.52,171.52,172.8,170.02,2517327
14-09-2022,168.07,167.85,170.4,167.68,5915421
15-09-2022,165.7,168.38,169.5,165.18,5345351
16-09-2022,160.65,165.7,165.8,160.07,4822921
19-09-2022,160.45,161.48,162.35,159.52,5917691
20-09-2022,161.45,161.27,163.45,160.93,5012177
21-09-2022,160.02,161.75,162,159.15,3514880
22-09-2022,157.93,159.5,159.98,156.6,2504515
23-09-2022,155.98,157.75,158.4,155.5,3361785
26-09-2022,152.45,156,157.98,151.45,3649172
27-09-2022,155.32,153.5,156,152.65,3146589
28-09-2022,153,155,155,152.6,3264614
29-09-2022,151.63,153.77,154.38,151.25,2198632
30-09-2022,152.4,151.8,154.45,150.43,3257432
03-10-2022,154.4,153.18,155.63,152.4,3466765
04-10-2022,155.73,155.5,157.1,155.13,4802883
06-10-2022,156.07,156.52,157.4,154.7,3110792
07-10-2022,153.7,155.1,155.45,153.1,3831736
10-10-2022,152.32,153,153.3,151.05,2039665
11-10-2022,149.88,153.1,153.1,149.57,2511918
12-10-2022,151.25,150.52,154.63,149.68,2557623
13-10-2022,150.15,152.02,152.63,149.75,9472906
14-10-2022,148.93,151.5,152.5,148.55,2871689
17-10-2022,148.27,148.95,149.68,145.77,1688595
18-10-2022,147.88,149.02,149.15,147.02,2642970
19-10-2022,146.07,148.57,149.48,145.88,5360640
20-10-2022,148.55,146.05,149.5,144.02,7073400
21-10-2022,149.18,149.3,150.32,148.68,3559485
24-10-2022,150.38,150,150.88,149.77,3731688
25-10-2022,151.3,150.85,152.5,148.68,2113978
27-10-2022,152.8,151.3,153.3,151.27,1559158
28-10-2022,151.65,153.25,154.25,151.05,2594074
31-10-2022,151.82,152.43,153,150.7,3210494
01-11-2022,152.18,151.82,152.9,151.1,2063732
02-11-2022,152.6,152.25,152.95,151.75,1625013
03-11-2022,152.55,152.6,153.85,151.75,3169631
04-11-2022,150.68,152.77,152.77,149.4,3370831
07-11-2022,154.88,151.25,155.07,151,4839625
09-11-2022,153.43,155.55,155.93,152.98,2392289
10-11-2022,152.75,153,153.98,152.1,2549764
11-11-2022,154.45,153.52,155.27,152.73,2764730
14-11-2022,153.82,154.75,155,153.52,8667708
15-11-2022,154.45,153.9,154.8,152.85,3467131
16-11-2022,153.23,154.45,154.85,152.9,2703189
17-11-2022,152.6,153.5,153.9,152.27,5175542
18-11-2022,152.05,153.38,153.38,151.2,3431557
21-11-2022,155.15,152.82,155.48,152.15,2496619
