Date,Close,Open,High,Low,Volume
07-04-2022,3294.1,3275,3322,3265.65,162672
08-04-2022,3347.9,3287,3354.3,3287,279194
11-04-2022,3350.65,3347.9,3370,3297.05,363856
12-04-2022,3344.1,3340,3364.9,3302.3,172750
13-04-2022,3349.65,3340,3388,3340,172088
18-04-2022,3343.9,3345,3367.9,3306.05,340217
19-04-2022,3267.9,3343.9,3388,3245.3,209831
20-04-2022,3304.2,3266,3335,3242,209065
21-04-2022,3359.9,3297,3369.95,3274.4,190567
22-04-2022,3364.1,3341.3,3377.5,3325,173362
25-04-2022,3295.9,3280,3347.05,3132.05,121161
26-04-2022,3372.7,3308.3,3402,3301.3,138287
27-04-2022,3338.25,3350,3384.7,3312.15,246372
28-04-2022,3357.9,3270,3391.55,3263.1,326853
29-04-2022,3279.25,3360.1,3370.9,3266.5,529995
02-05-2022,3271.3,3242,3284.9,3203,722637
04-05-2022,3385.45,3340,3596,3328.15,426929
05-05-2022,3277,3410,3423.55,3260,416582
06-05-2022,3307.8,3245,3323.85,3187.1,429892
09-05-2022,3252.05,3282.5,3338.3,3225,331936
10-05-2022,3246.55,3261,3320.6,3235,711477
11-05-2022,3259.85,3240,3283.8,3195,541966
12-05-2022,3216.85,3225.5,3239.95,3156.9,483468
13-05-2022,3278.5,3225,3321,3225,490457
16-05-2022,3284.9,3337,3337.95,3253.4,362091
17-05-2022,3368.85,3289,3382.9,3285.45,335292
18-05-2022,3394.35,3350,3432.65,3350,258636
19-05-2022,3332.05,3365,3388.6,3308.05,239522
20-05-2022,3450.25,3360,3463.8,3352,436218
23-05-2022,3487.05,3451.25,3538,3451.25,354460
24-05-2022,3470.45,3515,3518,3440,583821
25-05-2022,3516.5,3491.7,3525,3472.15,1044283
26-05-2022,3560.95,3550,3577.85,3513.5,459226
27-05-2022,3557.6,3583,3583.35,3510.25,339040
30-05-2022,3576.25,3561.4,3617.65,3541.6,310240
31-05-2022,3647.8,3576.6,3700,3555.25,359318
01-06-2022,3551.3,3649.1,3669.75,3533,450273
02-06-2022,3577.05,3570,3583.8,3505.75,413897
03-06-2022,3530,3575,3597.1,3493,260712
06-06-2022,3491.95,3530,3535,3450.05,275388
07-06-2022,3383.45,3465,3478.9,3354,236853
08-06-2022,3361.5,3385,3402.6,3310,245111
09-06-2022,3347.25,3361.15,3382.05,3306,302703
10-06-2022,3360.85,3316,3372.25,3301.1,168952
13-06-2022,3359,3339,3375,3310.95,186130
14-06-2022,3382.85,3359.55,3393,3330.05,238043
15-06-2022,3385.4,3388,3402.9,3352.05,205852
16-06-2022,3390.4,3400.1,3431.9,3372.05,197878
17-06-2022,3332.1,3390.4,3390.4,3300.3,296680
20-06-2022,3378.6,3300,3399.9,3270.95,235572
21-06-2022,3429.3,3378.6,3472.85,3375.05,152205
22-06-2022,3403.65,3412,3454.9,3386.2,148494
23-06-2022,3411.45,3414.95,3447.85,3390.5,630312
24-06-2022,3469.35,3429,3504.95,3429,398545
27-06-2022,3459.1,3502,3505.95,3447.25,248769
28-06-2022,3434.7,3455,3469.9,3388.05,322548
29-06-2022,3404.15,3434.7,3455.6,3360,259398
30-06-2022,3466.4,3380,3483.15,3380,215783
01-07-2022,3584.35,3412,3600,3412,2871830
04-07-2022,3700.45,3575,3713.45,3575,623098
05-07-2022,3656.6,3709,3714,3636,560373
06-07-2022,3830.8,3650.15,3840.9,3642.25,403409
07-07-2022,3810.25,3828,3882.1,3799.85,285192
08-07-2022,3816.95,3830,3850.95,3792.5,269579
11-07-2022,3795.4,3829.2,3840.4,3780,310942
12-07-2022,3725.5,3783,3787.85,3716.15,326757
13-07-2022,3726,3731.05,3762.1,3712.1,270772
14-07-2022,3774.15,3726,3789,3713.05,277190
