Date,Close,Open,High,Low,Volume
07-04-2022,762.4,775,777.85,759.55,3284198
08-04-2022,762.1,768.35,768.35,757.6,6833983
11-04-2022,758.05,757,765.2,756,7167684
12-04-2022,741.65,759.95,759.95,740.1,10185173
13-04-2022,740.65,742,756.5,737.95,6074014
18-04-2022,729.5,736.65,740.15,723.4,5646980
19-04-2022,723.5,739,739,716.85,7441445
20-04-2022,739.35,730.05,744.5,723.95,4650249
21-04-2022,735.75,743.9,743.9,730,5433910
22-04-2022,738.75,731,740.9,729,5107708
25-04-2022,739.35,729.95,743,729.15,4099366
26-04-2022,756.3,745,758.9,739.1,4307430
27-04-2022,752.5,750,761.55,746.4,9148804
28-04-2022,747.35,751,754.3,744.6,4124469
29-04-2022,739,752,761,735.55,14139461
02-05-2022,741.35,734,742.95,730.35,6452099
04-05-2022,722.4,737,739.35,717,8301523
05-05-2022,718.95,726,733.1,714.25,10220908
06-05-2022,710.25,711.25,723.9,707.75,6517030
09-05-2022,711.5,706.1,720.5,704.45,7094874
10-05-2022,719.65,711,728.5,710.15,12615451
11-05-2022,722.85,719.65,735,716.9,8462985
12-05-2022,705.4,715.25,722.8,701.25,9896395
13-05-2022,689.9,713,713,684.75,5989327
16-05-2022,693.2,685.85,698,679.65,3353880
17-05-2022,707.05,695,710,690.85,4016137
18-05-2022,696.15,721,727.15,689.2,6006439
19-05-2022,674.25,685,693,667.85,3843706
20-05-2022,687.9,688.5,691.5,683,8168953
23-05-2022,685.85,681.8,693.9,679.6,6317305
24-05-2022,678.2,689.25,689.25,675.85,3000133
25-05-2022,688.2,681.25,689.9,679.55,7974713
26-05-2022,693.65,690,695.5,675.9,3597143
27-05-2022,684.4,697.05,700,676,2930336
30-05-2022,699.05,687.45,703.75,683,7960258
31-05-2022,700.2,697.5,706.6,692.6,15833573
01-06-2022,694.65,701.55,706.2,691.25,9938988
02-06-2022,695.95,688.9,696.95,683.05,7371181
03-06-2022,686.5,697.05,700.8,685.25,5920139
06-06-2022,682.95,682.2,689.8,676.5,5783224
07-06-2022,685.3,678.15,687.25,673.3,3990794
08-06-2022,663.3,682.5,687.8,660.45,7490027
09-06-2022,676.35,660,679.4,655.1,5818505
10-06-2022,673.35,668,676.45,668,5583587
13-06-2022,671.3,660.1,673.35,658,4927865
14-06-2022,682.05,669.1,689.4,669.1,3904026
15-06-2022,682.1,681.95,685,673.5,6343030
16-06-2022,654.2,683.1,683.9,650,8950327
17-06-2022,643.65,656,661.75,638,9957060
20-06-2022,640.9,644.95,647.45,634.2,6632292
21-06-2022,654.3,642.1,658.15,640.5,6111830
22-06-2022,642.85,648.6,650.35,641.45,5182247
23-06-2022,660.2,648.15,664.6,647.75,3571031
24-06-2022,671.2,662.1,675.7,662.1,4987848
27-06-2022,683.95,675,687,671.2,4571399
28-06-2022,681.15,683,684.9,676.3,6101866
29-06-2022,687.8,677,689.1,675,7219115
30-06-2022,684.95,689.8,691.6,679,3938533
01-07-2022,673.45,684.85,685.8,666,6785271
04-07-2022,681.9,670.5,685.5,666.05,4836692
05-07-2022,684.45,683.3,689.3,680.05,5912312
06-07-2022,693.95,684.5,694.95,684.2,4819274
07-07-2022,686.8,692,696.5,685.45,6746893
08-07-2022,695.15,688,696.6,686.65,6919703
11-07-2022,660.55,675,681,658.95,6754953
12-07-2022,663,663.25,666.9,660,11938252
13-07-2022,643.5,670,670,641,5412233
14-07-2022,641.65,650,652.2,628.75,4847812
15-07-2022,651.8,648.95,657.5,643.25,18992703
18-07-2022,663.05,657,670,649.15,7322668
19-07-2022,672.9,675,677,663.1,5577407
20-07-2022,670.65,680,680,668.2,3788601
21-07-2022,678.35,671.5,679.95,671.2,4053608
22-07-2022,678.85,679.7,681.9,675.2,4188088
25-07-2022,678.4,680,686.55,676.55,5780597
26-07-2022,684.1,682.6,685.35,670.25,7131633
27-07-2022,674.9,683.95,683.95,669.7,4675033
28-07-2022,666.85,678.8,679.4,664.2,44593174
29-07-2022,677.95,672.8,680.65,671,3749781
01-08-2022,694.45,677.95,697.8,677.05,3466993
02-08-2022,686.8,700,700.3,681.15,6673615
03-08-2022,693.15,688,696.85,687,6407024
04-08-2022,694.3,698.2,698.5,680.7,8349903
05-08-2022,703.65,698,710,696.35,13904149
08-08-2022,704.35,707.95,709.85,699,6774925
