Date,Close,Open,High,Low,Vol.
08-04-2022,1011.6,1038.45,1038.45,1005,6402287
11-04-2022,1025.5,1012,1028.3,1011.6,5871041
12-04-2022,1027.25,1021.5,1031.7,1013,14158927
13-04-2022,1016.6,1031,1033.8,1012.2,35079516
18-04-2022,1027.85,1016.6,1035,1010.1,17724098
19-04-2022,1000.3,1034.7,1038.9,980.35,10097767
20-04-2022,1012.05,1001.9,1015,990.05,9478670
21-04-2022,998.55,1016.05,1020,996.7,16850616
22-04-2022,967,998,998.55,959,10653203
25-04-2022,953.15,957.1,963,946.3,6906440
26-04-2022,978.4,958.15,980.6,957.05,23740696
27-04-2022,977.75,965.2,980.25,964,14870901
28-04-2022,981.2,988,990.6,977.95,11654816
29-04-2022,981.2,981.3,994.9,976.5,7627472
02-05-2022,976.6,979,989.75,971.8,12115340
04-05-2022,957.55,977.5,983,947.05,17079977
05-05-2022,948.4,959.95,967.2,944,20872239
06-05-2022,934.75,937.8,946.35,925.4,72648396
09-05-2022,938.3,934.75,942,922,74050073
10-05-2022,926.15,930,939.6,918.55,36095156
11-05-2022,937.6,912,942.6,904.25,41642776
12-05-2022,920.75,935,937,915.5,22940456
13-05-2022,934.6,924.1,940.1,922.2,13870658
16-05-2022,933.4,926.05,945,926.05,30890343
17-05-2022,938,935,941.05,916.2,14663558
18-05-2022,957.1,945.8,961.2,941.35,8306420
19-05-2022,938,940,953.95,934.4,14074860
20-05-2022,978.4,950,982.6,939,11846738
23-05-2022,970.05,978.8,987.7,966.45,20052773
24-05-2022,970.4,977,977.7,961.75,20271556
25-05-2022,971.85,972.4,985.9,969.45,12372751
26-05-2022,964.55,972.1,977.35,960.25,13731315
27-05-2022,966.35,970.1,977.8,960,16323203
30-05-2022,986.8,968.4,992,968,10044811
31-05-2022,992.95,988.9,1004.9,978.7,19132062
01-06-2022,983.55,994.5,998.65,980.35,10622472
02-06-2022,987.1,977.5,1006.85,977.5,10298319
03-06-2022,960.95,990.05,998.75,957.15,9435203
06-06-2022,976.05,960.95,979.7,960.5,13505929
07-06-2022,972.75,971.55,979.65,962,9490374
08-06-2022,962.95,972,976.05,956.9,7637664
09-06-2022,971.95,962.9,974.3,955,46157039
10-06-2022,966.8,960,971.6,960,21712301
13-06-2022,954.75,955,984.75,947.8,20151959
14-06-2022,964.7,955,970.8,950.8,12393619
15-06-2022,968.8,965,974.9,964,18907630
16-06-2022,940.95,976,977.75,927.8,14216953
17-06-2022,914.75,932.2,944.55,910.8,13052104
20-06-2022,925.85,914.75,928.15,902,59341710
21-06-2022,938.2,927.1,944.45,927.1,38356653
22-06-2022,916.9,931,945,912.8,43683145
23-06-2022,933.35,917,937.3,914.4,24007670
24-06-2022,933.7,933,943.5,930,26465084
27-06-2022,932.35,936,946.4,930.55,20819291
28-06-2022,945.1,935,947.8,921.85,12214126
29-06-2022,947.65,937.05,961.9,922.9,12706800
30-06-2022,917.2,944,944,911.4,21654415
01-07-2022,949.3,911.2,956.05,911.2,21289439
04-07-2022,930.65,944.6,950,928.5,18239949
05-07-2022,937.4,935,949.65,930.25,12651103
06-07-2022,945.6,940,950,933.15,14257553
07-07-2022,935.25,950.35,950.35,933.3,10549451
08-07-2022,935.45,942.25,942.25,927.85,19965511
11-07-2022,947.55,938,950,927.05,20641617
12-07-2022,935.75,941.9,947.35,934,10406343
13-07-2022,953.35,940.45,958.9,932.15,11590435
14-07-2022,951.15,953.4,968.65,945.15,7437937
15-07-2022,966.05,963,968,951.5,28092052
18-07-2022,967.35,971.65,975.4,960.05,15425248
