Date,Close,Open,High,Low,Volume
07-04-2022,190.75,195,197.05,189.9,5104761
08-04-2022,194.55,194.7,198.8,192.35,4944725
11-04-2022,196.4,194.5,198,193.35,5566080
12-04-2022,186,195.75,195.75,184.3,5300891
13-04-2022,186.6,188,191.3,185.7,5752361
18-04-2022,189.45,186.6,190.9,184.6,7357863
19-04-2022,197.75,191.45,203.25,190.65,4947109
20-04-2022,199.1,199.95,205.55,197.1,5174646
21-04-2022,206.9,201.2,207.9,201,4796294
22-04-2022,202.15,206.05,209,201.25,5931774
25-04-2022,188.45,199.65,202.2,186.75,3126873
26-04-2022,191.4,192.2,192.3,188.45,5125968
27-04-2022,187.5,190.8,191.8,186.6,6227901
28-04-2022,190.25,189,192.5,187.15,3373615
29-04-2022,182.85,192.5,193,181.9,11466725
02-05-2022,187.65,182.7,188.9,178.85,6724094
04-05-2022,187.35,188.75,190.7,186.5,9828768
05-05-2022,185.85,189.5,191.95,184.7,9909226
06-05-2022,187.4,184.5,188.95,183.05,4701183
09-05-2022,183.05,185.95,185.95,181.55,4986814
10-05-2022,170.05,182,183.85,168.8,8299295
11-05-2022,169.85,171.7,173.7,165.25,9825043
12-05-2022,167.05,167.85,170.2,164.65,9421163
13-05-2022,168.7,170,173.65,168,8297995
16-05-2022,171.7,169.5,172.8,167.85,5656799
17-05-2022,184.55,173.4,185,173.15,3849222
18-05-2022,185.55,186.35,187.5,181.8,7349740
19-05-2022,181.2,181.1,183.5,180.7,5145644
20-05-2022,185.95,184.5,186.85,183.55,9886295
23-05-2022,184.3,185.95,186.75,182.4,5537752
24-05-2022,182.35,183.45,186.75,181.2,10410082
25-05-2022,180.7,184.2,185.55,180.05,7135797
26-05-2022,183.25,183.95,186,177.75,6077153
27-05-2022,181.85,184.5,188.65,180.5,6563676
30-05-2022,187.2,184,187.9,182.55,4564891
31-05-2022,192.9,186,195.25,185.2,4007695
01-06-2022,196.05,194.5,197.3,193.2,7297028
02-06-2022,198.2,196.5,199.2,194.3,6102744
03-06-2022,197,200,201,196.2,3656408
06-06-2022,194.85,196.5,196.8,193.2,3659307
07-06-2022,197.55,193.65,199.95,193.6,6068663
08-06-2022,197.65,198,201.95,196.5,5656703
09-06-2022,198.75,196.95,200.4,196.5,7151632
10-06-2022,198.5,197.35,199.3,196.25,6992874
13-06-2022,191.05,196.65,197.4,189.55,4270816
14-06-2022,192.2,189.1,194.5,189.1,6099986
15-06-2022,190.05,192.15,193.85,189.15,4778478
16-06-2022,179.9,191.55,192.8,179.1,4603103
17-06-2022,182.65,180,184.85,179.4,12064446
20-06-2022,176.85,181.9,181.9,174.75,11570835
21-06-2022,184.8,178,185.65,178,10018531
22-06-2022,179.35,184.75,184.75,179,6947490
23-06-2022,177.15,180.3,182,174.85,7874671
24-06-2022,176.55,178.65,180.4,174.8,5643066
27-06-2022,182.05,180,182.8,177.45,8924920
28-06-2022,186.4,181.15,186.95,180.75,11820892
29-06-2022,188.75,186,190.25,183.65,8406156
30-06-2022,185.6,188.1,189,182.55,4369022
01-07-2022,183.25,185,186.15,176.6,8882792
04-07-2022,182.05,183.25,185.7,179.1,7942721
05-07-2022,182.45,183,185.2,181.75,9068448
06-07-2022,181.7,182.5,182.85,178,8345649
07-07-2022,186,183.95,186.6,181.45,9004636
08-07-2022,189.8,187.05,191.9,187.05,7681157
11-07-2022,193.35,188.95,194.3,187.8,9456280
12-07-2022,193.9,192.8,195.3,192.1,8910998
13-07-2022,193.45,193.9,196.15,193,6201594
14-07-2022,192,194,195.45,190.3,7638666
15-07-2022,193.4,193,193.9,189.4,7973235
18-07-2022,195.6,194.5,196.9,193.85,6783641
19-07-2022,198.25,194.95,199.6,194,10057508
20-07-2022,197.85,199.6,200.4,197.4,7039144
21-07-2022,198.6,197.85,199.45,196.3,6243086
22-07-2022,197.1,198.6,199.85,196.8,5867760
25-07-2022,200.9,197.5,201.7,194.6,8252551
26-07-2022,202.3,201.45,203.3,199.55,7624888
27-07-2022,203.45,202.4,204.7,201.8,6393341
28-07-2022,202.85,204,205,201.35,32591420
29-07-2022,211.25,203.6,212.45,203.25,4512079
01-08-2022,212.75,212.5,213.7,209.8,10211408
02-08-2022,215.25,213,217.25,211.65,11048210
03-08-2022,212.1,214.95,214.95,208.8,5119488
04-08-2022,207.15,212.15,213.45,206.15,5703333
05-08-2022,208.45,207.5,210.25,205.75,5759172
08-08-2022,215.4,209.5,216.15,207.05,7973935
10-08-2022,219.85,215.85,220.45,215.45,8349943
11-08-2022,218.6,226,226.8,218,8131998
12-08-2022,221.65,219,222.25,217.75,6790653
16-08-2022,222.9,224.4,224.4,220.45,5166738
17-08-2022,221.45,223.5,223.5,220.15,7896943
18-08-2022,221.75,221.45,222.65,220.6,11286988
19-08-2022,217.15,221.65,221.65,215.7,5568825
22-08-2022,218.3,215.6,220.95,214.05,5408801
23-08-2022,222.85,217,223.7,216.6,4899839
24-08-2022,223.65,222.75,226,222,8974475
25-08-2022,224.9,223.7,227.15,223.7,6571866
26-08-2022,229.95,227.7,232,226.5,7141493
29-08-2022,230.6,221.4,231.6,221.4,6263867
30-08-2022,234.8,231.8,235.5,230.85,8863172
01-09-2022,230.3,234.35,236.8,229.55,10666627
02-09-2022,229.3,231,232.45,228.2,37841671
05-09-2022,231.6,230,232.35,228.5,19317335
06-09-2022,232.7,232.7,234.65,231,8144239
07-09-2022,238.85,232.95,239.3,232.35,11050026
08-09-2022,236.45,240.5,240.5,235.05,10753423
09-09-2022,237.6,237.5,238,233.35,8773162
12-09-2022,231.5,238.5,239.05,228,6390604
13-09-2022,231.3,232.7,235.3,230.65,4974502
14-09-2022,231.95,230.15,233.8,229.55,6564435
15-09-2022,234.25,233.1,234.95,232.25,7831798
16-09-2022,231.05,233.85,234,229.55,4431880
19-09-2022,229.9,230.95,232.65,228.7,6996757
20-09-2022,229.85,231,233.8,228.7,7587006
21-09-2022,231.55,229.85,232.7,227.15,11041036
22-09-2022,227.05,229.95,231.3,225.5,7625468
23-09-2022,222.85,225,226.95,221,5062651
26-09-2022,215.5,221,222.1,212.5,10665470
27-09-2022,213.9,216,219.7,212.75,5216466
28-09-2022,210.8,211.7,213.4,208.9,3994321
29-09-2022,213.9,211.8,215.15,210.65,5766936
30-09-2022,212.25,213,216,207.85,6982808
03-10-2022,214.95,213,218,212.3,7245568
04-10-2022,223.25,218.3,224,218.1,6423115
06-10-2022,233.5,225,234.1,224.65,6576824
07-10-2022,229.7,233,233.55,227.8,6676577
10-10-2022,229.85,227,232,226.6,6434433
11-10-2022,225.45,230.95,230.95,224,4691228
12-10-2022,232.1,225.55,233,225.55,4949442
13-10-2022,234.55,232.2,235.6,231.1,3783480
14-10-2022,236.35,238.95,238.95,235.35,5838244
17-10-2022,238,236.35,238.55,232.9,3049304
18-10-2022,241.7,238.5,242.15,236.85,3044037
19-10-2022,238.2,242,243,237,3419730
20-10-2022,241,237,242.5,233.6,4366123
21-10-2022,238.7,241,241.35,238.05,4371179
24-10-2022,240.5,240.9,241.7,240,4466619
25-10-2022,239.95,240.5,240.95,237.95,4785579
27-10-2022,240.9,240.95,241.6,239,3632902
28-10-2022,244.4,242,247.8,240.55,4957449
31-10-2022,245.95,246,247.5,243.55,9155684
01-11-2022,245.65,247,247,243.25,10678670
02-11-2022,245.8,245.65,249.6,242.15,9188434
03-11-2022,246.2,244,247.6,241,5999196
04-11-2022,246.05,246.7,248.7,245.5,5227785
07-11-2022,249.55,247.3,251.35,246.75,5030172
09-11-2022,255.8,255.5,263.4,254.55,3455942
10-11-2022,253.6,257.95,260.5,252.1,3256840
11-11-2022,253.25,258.8,258.9,252.4,3837302
14-11-2022,247.2,254.55,256.25,246.25,3431445
15-11-2022,232.15,234.4,238.85,230.6,4102114
16-11-2022,234.9,233.35,235.5,230.4,4004997
17-11-2022,232.4,234.75,234.75,231,4783723
18-11-2022,229.55,232.45,233.55,228.2,9330469
21-11-2022,229.45,229,230.4,226.7,3498286
22-11-2022,229.1,228.55,230.7,227.65,3881882
23-11-2022,230.6,230,231.1,229,4249172
24-11-2022,228.5,230.75,231.8,227.35,4757219
25-11-2022,231.4,229.65,233.65,227.8,4397194
28-11-2022,229.85,230.55,232.75,228.4,5759298
29-11-2022,227.2,230.2,231.3,226.35,7455448
30-11-2022,227.25,227.2,228.85,226.55,7844140
01-12-2022,226.1,228.4,230.4,224.9,6771046
02-12-2022,226.6,226.1,228,225.3,8589908
05-12-2022,231.25,226.6,231.8,226.5,5470030
06-12-2022,231.65,232,232.5,229.5,4129893
07-12-2022,229.75,232.15,232.15,228.7,6162021
08-12-2022,230.4,229.65,231.25,229,3560167
09-12-2022,228.85,230.55,232.35,227.8,2921076
12-12-2022,232.4,228.35,233.7,228.1,4252803
13-12-2022,231.55,233.4,234.45,231.1,3422992
14-12-2022,232.15,231.75,233.2,231.35,3382098
15-12-2022,228.2,231.9,232.6,227.7,4202459
16-12-2022,224.65,228,229.9,223.3,7720595
19-12-2022,227.3,224.65,227.85,224.5,5729899
20-12-2022,226.1,226.9,226.9,223.35,8882553
21-12-2022,223.85,226.5,227.7,222.05,4022919
22-12-2022,222.7,224.1,225.75,219.1,3804352
