Date,Close,Open,High,Low,Volume
09-02-2022,4329.45,4280,4357.45,4278.8,280094
10-02-2022,4313.75,4334.5,4361.95,4300.05,559595
11-02-2022,4291.25,4313.75,4474,4240.05,2585446
14-02-2022,4277.9,4239.45,4355,4192.05,1147299
15-02-2022,4325.8,4280,4346,4280,371572
16-02-2022,4465.15,4340,4498,4312.05,1373620
17-02-2022,4442.2,4465.65,4520.15,4425,601590
18-02-2022,4353.4,4432.7,4442.2,4325,580486
21-02-2022,4258.3,4345,4345,4250.5,284980
22-02-2022,4224.8,4150,4245.2,4135.7,430407
23-02-2022,4181.6,4232,4258.65,4173.15,379328
24-02-2022,3936.65,4100,4130.9,3916.6,723045
25-02-2022,4138.35,4049.95,4157.9,3981.9,450834
28-02-2022,4265,4120,4284.4,4078.7,611670
02-03-2022,4160.9,4230,4310.85,4135.3,576094
03-03-2022,4160.45,4200,4226.8,4143.3,421554
04-03-2022,4094.7,4100,4157.8,4063,429937
07-03-2022,4074.95,4050,4094.95,3974.05,540735
08-03-2022,4164.25,4069.9,4175,4066,414138
09-03-2022,4234.05,4180,4279.6,4150,385251
10-03-2022,4300.9,4267.5,4334,4252.25,414284
11-03-2022,4339.4,4298,4353,4250,352915
14-03-2022,4393.8,4340,4404.5,4325.1,492612
15-03-2022,4386.25,4365.1,4478.2,4365.1,403394
16-03-2022,4402.25,4422,4457.2,4370,227588
17-03-2022,4504.35,4439.95,4519.9,4431.35,438327
21-03-2022,4456.25,4525,4542.45,4427.5,356749
22-03-2022,4448.55,4456.25,4493.75,4410,292831
23-03-2022,4553.55,4465,4573.85,4460.25,574783
24-03-2022,4494.65,4544,4549.95,4466.75,467266
25-03-2022,4454.15,4502,4520,4420,270912
28-03-2022,4416.55,4433,4458.95,4374.5,316896
29-03-2022,4561.6,4410,4578.65,4410,589480
30-03-2022,4538.6,4578,4625,4505.95,360504
31-03-2022,4402.05,4530,4553.55,4390.65,611205
01-04-2022,4379.7,4425,4443.15,4335.1,348173
04-04-2022,4497.6,4379.7,4505,4378.9,334083
05-04-2022,4461.2,4500,4516.85,4440,336772
06-04-2022,4386.9,4461,4527,4372.9,532706
07-04-2022,4448.45,4386.9,4470,4386.9,387968
08-04-2022,4505.95,4449.9,4528.1,4412,241609
11-04-2022,4503.8,4501,4520,4441.55,231619
12-04-2022,4473.4,4481.7,4535.2,4436.1,378104
13-04-2022,4499.25,4471,4520.45,4430.15,306254
18-04-2022,4524.9,4490,4568.2,4450.25,439474
19-04-2022,4411.4,4526,4579,4348.75,421066
20-04-2022,4455.65,4477,4487.1,4383.3,390369
