Date,Close,Open,High,Low,Volume
10-02-2022,2640.35,2625.8,2664,2615.55,280094
11-02-2022,2598.15,2625,2625.4,2582.35,559595
14-02-2022,2570.8,2565,2597.7,2500.35,2585446
15-02-2022,2724,2540,2738,2488.45,1147299
16-02-2022,2706.45,2708,2738.4,2680.1,371572
17-02-2022,2722.75,2729.95,2762.75,2700.1,1373620
18-02-2022,2699.25,2703.2,2739.7,2688,601590
21-02-2022,2699,2688,2718.85,2668.5,580486
22-02-2022,2725.5,2630,2730,2620.05,284980
23-02-2022,2706.65,2733.9,2748.5,2697.9,430407
24-02-2022,2617.15,2630.3,2691.25,2587.55,379328
25-02-2022,2628.4,2635.2,2675,2612.5,723045
28-02-2022,2589.8,2600,2614.95,2542.75,450834
02-03-2022,2508.1,2574.8,2579,2496.25,611670
03-03-2022,2409.5,2539,2539,2401.35,576094
04-03-2022,2339.25,2400,2400.9,2300,421554
07-03-2022,2259.65,2230,2297.25,2191.05,429937
08-03-2022,2256.05,2251,2264.45,2159.55,540735
09-03-2022,2293.05,2275,2308.35,2219,414138
10-03-2022,2303,2375,2393.45,2291.75,385251
11-03-2022,2290.75,2290,2315,2255.15,414284
14-03-2022,2313.55,2290,2320.75,2235.8,352915
15-03-2022,2305.25,2320,2354.95,2280.1,492612
16-03-2022,2357.9,2338.7,2373.85,2322.4,403394
17-03-2022,2436.95,2378.9,2463,2375.3,227588
21-03-2022,2378.75,2448.95,2448.95,2372,438327
22-03-2022,2380.4,2378.75,2404.8,2329,356749
23-03-2022,2394.1,2393,2413.7,2363,292831
24-03-2022,2369.65,2385,2388.2,2350,574783
25-03-2022,2336.85,2385,2389.85,2325.05,467266
28-03-2022,2380,2350,2386.65,2315.2,270912
29-03-2022,2480.5,2378.5,2492.95,2360.05,316896
30-03-2022,2486.55,2488.1,2518.2,2444.45,589480
31-03-2022,2457.15,2483.85,2495,2436.35,360504
01-04-2022,2481.2,2457.15,2494.75,2422,611205
04-04-2022,2508.95,2495,2518.1,2455.55,348173
05-04-2022,2543.45,2525,2600,2510,334083
06-04-2022,2530.7,2531,2555.45,2522.05,336772
07-04-2022,2538.4,2523,2577.9,2512,532706
08-04-2022,2555.2,2548,2573.85,2515.6,387968
11-04-2022,2545.6,2549.9,2565,2540,241609
12-04-2022,2521.8,2534,2537.6,2496.05,231619
13-04-2022,2491.45,2530,2555,2479.55,378104
18-04-2022,2511,2480,2531.1,2456.15,306254
19-04-2022,2454.85,2516,2574.9,2421.1,439474
20-04-2022,2536.8,2480,2578.5,2465.4,421066
21-04-2022,2651.5,2550,2674.45,2541.7,390369
22-04-2022,2631.5,2630.95,2637,2582,377100
25-04-2022,2594.15,2610,2650,2580,395984
26-04-2022,2649.3,2613,2665.55,2613,271185
27-04-2022,2655.45,2625,2672.95,2605,244626
28-04-2022,2679.95,2683.95,2704,2666,583807
29-04-2022,2630.35,2684,2707.65,2620,799337
02-05-2022,2552.5,2624.9,2626.75,2521.55,383948
04-05-2022,2483.2,2523,2562,2455.6,300278
05-05-2022,2433.55,2494.05,2529.2,2419.95,389110
06-05-2022,2362.45,2410,2418.2,2351.35,261002
09-05-2022,2344.3,2344.95,2370.45,2310,684913
10-05-2022,2415.55,2344.3,2441.7,2334.95,262555
11-05-2022,2389.15,2396.25,2433.6,2353,301378
12-05-2022,2384.65,2369,2401,2332.15,366780
13-05-2022,2432.65,2400,2483,2397.85,481414
16-05-2022,2617.95,2519.9,2628.4,2494.65,436997
17-05-2022,2706.7,2610,2714.7,2600.15,116360
18-05-2022,2696,2699,2769.9,2683.4,338343
19-05-2022,2650.5,2622,2738,2622,451480
20-05-2022,2707.8,2693.95,2720,2652.15,288480
23-05-2022,2741.3,2721,2767.5,2715.05,396121
24-05-2022,2719.3,2745.95,2769.9,2702.1,2180936
25-05-2022,2686.15,2734,2749.85,2673,4971455
26-05-2022,2725.1,2700.1,2738.9,2663.95,1567485
27-05-2022,2742.1,2736.2,2765,2729.7,2436609
30-05-2022,2758.45,2755.3,2796,2742.85,900885
31-05-2022,2780.75,2770,2818.65,2717.2,838443
01-06-2022,2771.7,2770.15,2818,2752,1013666
02-06-2022,2723.55,2777.4,2785.35,2715.05,502863
03-06-2022,2685.25,2741,2766.65,2661.5,291231
06-06-2022,2653.1,2683,2696,2638.05,592744
07-06-2022,2647.9,2629.4,2656.8,2610.6,552885
08-06-2022,2649.15,2661.1,2674.8,2619.15,414997
09-06-2022,2716,2640,2724.45,2621,342198
10-06-2022,2712.85,2672.25,2736.95,2672.25,600724
13-06-2022,2700.8,2685,2724.55,2666.2,376643
14-06-2022,2722.75,2689.4,2752.15,2676.2,605558
15-06-2022,2720.1,2744,2751.1,2703.95,384679
16-06-2022,2652.5,2736.5,2749,2631.25,410170
17-06-2022,2604.8,2629.5,2666.7,2585.05,521488
20-06-2022,2623.25,2600,2661.9,2599.95,740538
21-06-2022,2702.8,2642.2,2711,2632.15,247790
22-06-2022,2662.75,2699,2713,2642.1,315204
23-06-2022,2819.05,2665.1,2825,2665.1,450929
24-06-2022,2877.9,2837.85,2909.55,2831.95,392345
27-06-2022,2848.3,2909,2909.95,2836,345510
28-06-2022,2863.8,2827.7,2886.1,2818.75,272457
29-06-2022,2886.6,2849.1,2922.95,2830,560883
30-06-2022,2794.35,2879.95,2910,2784.05,404647
01-07-2022,2782.8,2775,2809.8,2750.4,576558
04-07-2022,2796.4,2793.8,2805.5,2745.75,304397
05-07-2022,2805.6,2815,2843.9,2790,199015
06-07-2022,2907.95,2810,2920,2807,342952
07-07-2022,2944.2,2943,2958,2917.4,228612
08-07-2022,2931.6,2952,2982.85,2895,284603
11-07-2022,3046.85,2929,3053.05,2907.9,220051
12-07-2022,2954.05,3038.5,3038.5,2941.5,391665
13-07-2022,2967.4,2955.5,2994.95,2942,311547
14-07-2022,2955.1,2977.9,3006.85,2900.85,480781
15-07-2022,3034,2969.4,3045.3,2945.7,377282
18-07-2022,3036.5,3055.85,3078,3012,214591
19-07-2022,3077.7,3020,3089,3015,194454
20-07-2022,3045,3088,3111,3028,167954
21-07-2022,3081.2,3053,3092.1,3031,223231
22-07-2022,3147.6,3085.15,3179,3077.6,237218
25-07-2022,3086.7,3140,3153.9,3068.1,214477
26-07-2022,3023.3,3090,3098.9,3007.95,111963
27-07-2022,3057.4,3023.3,3063.05,3013.5,247798
28-07-2022,3054,3065.1,3080,3031.1,509519
29-07-2022,3093.45,3083,3145,3066.4,339914
01-08-2022,3088.4,3109.9,3175.55,3072.4,406169
02-08-2022,3120.95,3055,3148,2913.05,364990
03-08-2022,3138.2,3129,3170,3070.55,293036
04-08-2022,3145.8,3151,3196.5,3101,253640
05-08-2022,3089.6,3152,3179.8,3066,470197
08-08-2022,3116.75,3090,3145.1,3072.15,374417
10-08-2022,3154.55,3132,3169.35,3117.35,257202
11-08-2022,3176.45,3256,3265.95,3139.2,342277
12-08-2022,3210.15,3178,3221.4,3131,275719
16-08-2022,3338.05,3218,3342,3211,2107936
17-08-2022,3397.6,3339,3433.3,3335.1,916641
18-08-2022,3411.4,3400,3438,3374.7,671368
19-08-2022,3424.1,3412.05,3460,3394.3,420941
22-08-2022,3363.25,3401,3415.05,3330.1,596806
23-08-2022,3464.75,3361,3480,3338.15,1050176
24-08-2022,3450.7,3456.05,3473.5,3393.05,987698
25-08-2022,3481.45,3455,3513.7,3408.8,1864680
26-08-2022,3355.1,3440,3453.8,3341.1,1167223
29-08-2022,3291.6,3289,3338.8,3242.65,580356
30-08-2022,3358.75,3321.8,3397.6,3317,423183
01-09-2022,3411.6,3241,3434.9,3241,502761
02-09-2022,3422.1,3451,3469,3415,313035
05-09-2022,3400.5,3444.95,3447,3379.05,318073
06-09-2022,3410.35,3412,3424.1,3400,278299
07-09-2022,3383.65,3360.7,3419,3360.7,211744
08-09-2022,3425.75,3400.6,3463.5,3400.6,236704
09-09-2022,3473.15,3460,3483,3427.05,326405
12-09-2022,3538.95,3484,3553,3465.1,292875
13-09-2022,3522,3555,3582.1,3510.5,469042
14-09-2022,3541.8,3452,3563.95,3452,356054
15-09-2022,3622.25,3559.55,3672,3553.35,292682
16-09-2022,3549,3635,3640.4,3530.2,388216
19-09-2022,3590.25,3549.95,3633.7,3493.45,567321
20-09-2022,3711.55,3624.65,3738.25,3620,386152
21-09-2022,3682.05,3720,3787.25,3671.35,318797
22-09-2022,3748.75,3680,3759.9,3670.4,370336
23-09-2022,3688.45,3764,3774.45,3651.4,347349
26-09-2022,3515.55,3669.85,3669.95,3472.2,761456
27-09-2022,3570.55,3543.8,3615,3487.3,809605
28-09-2022,3628.3,3529,3665.7,3529,402344
29-09-2022,3624.1,3646.7,3678.25,3605,454801
30-09-2022,3671.6,3623.95,3693.8,3583.85,795614
03-10-2022,3463.35,3781,3781.9,3444.95,433624
04-10-2022,3555,3524,3579.9,3516.65,549563
06-10-2022,3531.35,3560,3596.85,3520,287021
07-10-2022,3498.55,3531.35,3550,3467.55,354601
10-10-2022,3531.6,3461,3542,3451.3,222557
11-10-2022,3408,3549.15,3550.65,3392.5,290753
12-10-2022,3458.2,3425.05,3468.65,3377,1492286
13-10-2022,3471.2,3467.8,3554.95,3445,445779
14-10-2022,3477.2,3544.65,3554.9,3469.8,299017
17-10-2022,3514.7,3470,3525,3465.3,320044
18-10-2022,3612.5,3532.3,3622,3529.95,211512
19-10-2022,3612.3,3629.9,3685,3600.15,300258
20-10-2022,3651.15,3597,3660,3560,230936
21-10-2022,3629.5,3651.15,3684.7,3568,329906
24-10-2022,3641.2,3684.9,3684.9,3630.6,397013
25-10-2022,3710.65,3677,3724,3650,47320
27-10-2022,3710.65,3741.05,3741.05,3661,211326
28-10-2022,3745.75,3721,3773.1,3697.15,391000
31-10-2022,3850.45,3764.5,3864.1,3758,375361
01-11-2022,3798.4,3889.65,3889.65,3751.95,356104
02-11-2022,3729.2,3849.8,3849.8,3695,1860907
03-11-2022,3675.25,3698,3747,3648.35,740136
04-11-2022,3666.9,3695,3729,3645,432168
07-11-2022,3755.15,3680.2,3765,3680,386100
09-11-2022,3732.95,3791.95,3791.95,3696.3,2860839
10-11-2022,3700.85,3739.4,3739.4,3636.1,3218306
11-11-2022,3519.65,3730,3739,3501,1188273
14-11-2022,3516.6,3537.25,3565,3498,900708
15-11-2022,3507.95,3520,3557.9,3500,1081953
16-11-2022,3503.05,3515.05,3583.8,3458.8,526764
17-11-2022,3441.85,3500,3500,3421.05,830117
18-11-2022,3390.25,3449.9,3457.55,3376.05,276727
21-11-2022,3378.6,3390.45,3411,3365,371863
22-11-2022,3375.05,3380.45,3407.95,3354,465773
23-11-2022,3380.9,3391.95,3418.95,3375,551017
24-11-2022,3377.35,3397.85,3402.9,3346.3,321234
25-11-2022,3414.1,3394.25,3422.25,3350,310442
02-12-2022,3331.85,3435,3435,3325,385136
05-12-2022,3344.4,3328.1,3360,3326.1,475542
06-12-2022,3299.7,3335,3338,3278.2,379966
07-12-2022,3259.85,3299.75,3324.9,3254,254786
08-12-2022,3322.3,3284.9,3330,3276,211120
09-12-2022,3358.2,3335,3363,3326.15,347880
12-12-2022,3320.45,3341,3352.95,3287,384319
13-12-2022,3313,3306,3342.15,3301.05,396759
14-12-2022,3369.4,3329,3385,3325,217843
15-12-2022,3303.5,3368,3382.35,3296.55,334854
19-12-2022,3388.9,3292,3409.5,3282.15,234168
20-12-2022,3313.45,3370,3378.4,3291,163186
21-12-2022,3273.25,3330,3350,3262,143983
23-12-2022,3113.65,3190.1,3200,3105.05,1455203
27-12-2022,3201.8,3174.95,3213.15,3150,1625800
28-12-2022,3211.55,3188.15,3233.6,3175.6,362159
29-12-2022,3281.2,3181.05,3490.75,3163.25,195450
02-01-2023,3228.85,3227,3249.95,3203.3,535637
03-01-2023,3213.45,3228.85,3240,3206,283161
04-01-2023,3215.25,3224,3242.85,3188.1,244677
05-01-2023,3257.7,3229,3266.9,3202.55,365514
06-01-2023,3250.6,3260,3278.85,3237.05,270647
10-01-2023,3167.55,3262,3265.8,3144.15,353616
11-01-2023,3137.25,3167.55,3174.5,3096.7,244607
12-01-2023,3103.25,3150,3152.95,3095,239027
13-01-2023,3162.05,3105,3196,3060,929239
16-01-2023,3139.05,3155.55,3179.9,3100,273260
17-01-2023,3179.95,3152,3192,3125,123326
18-01-2023,3177.6,3171,3192,3150,136458
19-01-2023,3166.7,3163.05,3180.05,3135.05,142704
20-01-2023,3150.5,3175,3194.9,3141.1,104419
23-01-2023,3203.35,3166.3,3224.6,3145.75,168535
24-01-2023,3226.55,3219.4,3234.85,3178.35,220594
25-01-2023,3213.85,3226.55,3235,3183.35,127508
27-01-2023,3169.75,3229.95,3264.95,3128,239083
