Date,Close,Open,High,Low,Volume
22-03-2022,1279.96,1339.67,1342.56,1272.99,950822
23-03-2022,1284.94,1281.8,1301.57,1271.54,1023071
24-03-2022,1287.43,1294.85,1310.24,1280.56,1199249
25-03-2022,1303.92,1321.74,1321.74,1296.84,1355442
28-03-2022,1304.16,1293.86,1316.32,1281.01,1065582
29-03-2022,1310.79,1284.99,1316.27,1279.91,668116
30-03-2022,1310.84,1328.72,1336.49,1293.95,826538
31-03-2022,1315.52,1326.13,1332.05,1304.91,1133582
01-04-2022,1318.01,1315.22,1334.69,1306.06,758735
04-04-2022,1318.01,1325.13,1354.51,1313.58,1549975
05-04-2022,1319.65,1322.84,1325.73,1305.56,504441
06-04-2022,1321.25,1284.89,1326.53,1280.96,1145407
07-04-2022,1321.4,1309.79,1331.7,1292.36,2003516
08-04-2022,1321.45,1328.72,1334.69,1304.81,2354966
11-04-2022,1323.49,1331.7,1349.63,1302.27,2660549
12-04-2022,1326.43,1314.12,1335.69,1302.77,1057944
13-04-2022,1328.82,1325.73,1334.69,1311.34,579716
18-04-2022,1334.15,1429.32,1435.84,1324.78,4810328
19-04-2022,1337.73,1338.68,1348.49,1321.45,658414
20-04-2022,1341.91,1314.77,1344.65,1300.13,516506
21-04-2022,1343.96,1334.69,1349.93,1326.72,1122967
22-04-2022,1344.4,1349.63,1372.34,1340.07,702050
25-04-2022,1345.45,1334.69,1352.22,1326.33,784026
26-04-2022,1364.23,1353.77,1369.75,1340.27,706238
27-04-2022,1369.4,1376.53,1386.39,1362.63,544343
28-04-2022,1370.1,1394.46,1438.98,1351.43,3377553
29-04-2022,1374.58,1385.74,1395.7,1370.85,317577
02-05-2022,1385.84,1376.73,1401.43,1376.73,1075544
04-05-2022,1386.29,1397.44,1402.42,1375.13,379336
05-05-2022,1387.03,1386.49,1395.3,1334.94,1556591
06-05-2022,1391.17,1404.42,1417.31,1372.59,1269670
09-05-2022,1392.66,1393.26,1401.43,1383.4,287642
10-05-2022,1393.61,1386.29,1400.63,1382.8,468626
11-05-2022,1397.19,1452.23,1461.19,1374.53,1855852
12-05-2022,1400.43,1382.55,1405.41,1368.56,758222
13-05-2022,1422.64,1403.42,1425.43,1400.53,603707
16-05-2022,1422.94,1442.51,1449.49,1414.23,2025958
17-05-2022,1426.88,1443.26,1443.26,1409.99,885275
18-05-2022,1430.86,1419.36,1444.26,1407.01,867697
19-05-2022,1435.29,1404.42,1443.26,1397.54,781271
20-05-2022,1435.94,1459.05,1459.15,1432.3,807206
23-05-2022,1436.49,1412.38,1440.22,1412.38,761726
24-05-2022,1446.5,1469.16,1490.97,1431.91,811126
25-05-2022,1451.63,1480.11,1504.47,1446.25,955989
26-05-2022,1452.03,1464.18,1465.12,1440.82,523734
27-05-2022,1458.8,1439.28,1461.99,1436.44,777037
30-05-2022,1469.26,1497.65,1511.94,1460.14,487457
31-05-2022,1475.53,1450.23,1484.1,1442.32,769192
01-06-2022,1479.97,1520.95,1523.94,1457.45,690847
02-06-2022,1481.46,1484.1,1503.37,1470.3,772990
03-06-2022,1482.46,1466.17,1515.97,1462.44,642521
06-06-2022,1492.57,1515.32,1515.32,1476.03,1200512
07-06-2022,1508.85,1492.57,1511.44,1479.22,878756
08-06-2022,1515.32,1459.2,1523.94,1451.33,1643539
09-06-2022,1529.27,1535.89,1557.51,1502.08,836760
10-06-2022,1535.99,1544.86,1569.61,1528.32,853249
13-06-2022,1540.72,1507.8,1555.61,1506.96,1281982
14-06-2022,1544.46,1549.84,1560.84,1531.96,962267
15-06-2022,1544.46,1555.81,1573.19,1540.33,549477
16-06-2022,1545.6,1543.81,1567.42,1530.51,961587
17-06-2022,1554.27,1552.08,1560.5,1521,581059
20-06-2022,1555.02,1563.63,1563.63,1535.2,505806
21-06-2022,1555.86,1595.66,1611.74,1542.96,801605
22-06-2022,1557.91,1592.67,1592.67,1547.6,958753
23-06-2022,1559.4,1584.1,1598.05,1544.91,525582
24-06-2022,1562.19,1570.16,1583.06,1553.87,554356
27-06-2022,1565.38,1574.74,1578.67,1547.9,395928
28-06-2022,1566.77,1550.29,1581.41,1548.94,801509
29-06-2022,1567.92,1627.78,1627.78,1564.38,1052145
30-06-2022,1568.96,1574.34,1588.19,1564.88,389169
01-07-2022,1572.2,1587.64,1596.15,1543.36,911880
04-07-2022,1572.3,1571.75,1578.17,1551.93,739148
05-07-2022,1573.1,1593.51,1595.36,1555.02,717708
06-07-2022,1574.09,1575.73,1582.21,1561.94,483615
07-07-2022,1575.83,1588.19,1588.68,1558.1,841284
08-07-2022,1576.23,1563.23,1584.65,1519.06,1013736
11-07-2022,1578.97,1563.78,1586.04,1549.84,695861
12-07-2022,1580.57,1585.79,1598.2,1561.39,537627
13-07-2022,1581.51,1586.69,1616.57,1559.85,739030
14-07-2022,1583.55,1553.87,1588.19,1545.85,904056
15-07-2022,1583.9,1596.1,1614.58,1576.83,1528204
18-07-2022,1584.75,1595.16,1605.62,1567.97,660227
19-07-2022,1585.25,1625.04,1628.38,1536.54,1425869
20-07-2022,1586.49,1544.86,1592.67,1544.86,528418
21-07-2022,1587.34,1561.79,1591.67,1561.79,286958
22-07-2022,1587.44,1596.85,1604.57,1575.98,501553
25-07-2022,1587.99,1598.64,1602.08,1581.01,373052
26-07-2022,1589.13,1551.83,1601.13,1540.82,1871015
27-07-2022,1589.58,1578.72,1600.39,1576.88,456771
28-07-2022,1589.93,1595.66,1605.57,1584.25,608832
29-07-2022,1591.97,1580.96,1609.5,1575.83,947343
01-08-2022,1592.17,1587.69,1595.66,1581.71,284986
02-08-2022,1592.22,1593.61,1604.62,1589.68,329354
03-08-2022,1592.27,1573.59,1599.99,1559.8,465449
04-08-2022,1592.32,1591.17,1600.69,1578.72,459835
05-08-2022,1592.42,1568.76,1597.1,1556.51,718483
08-08-2022,1593.07,1570.75,1597.55,1562.89,1076441
10-08-2022,1593.71,1613.58,1613.63,1586.69,450192
11-08-2022,1594.76,1592.67,1602.63,1588.43,433848
12-08-2022,1594.91,1594.76,1602.38,1579.22,301702
