Date,Close,Open,High,Low,Volume
04-02-2022,1163.80,1160.00,1167.10,1137.35,3625482.00
07-02-2022,1157.35,1157.00,1171.35,1146.00,3824483.00
08-02-2022,1161.95,1158.95,1169.85,1148.55,3267641.00
09-02-2022,1180.90,1172.00,1189.00,1166.00,3772972.00
10-02-2022,1190.35,1184.95,1191.90,1174.10,2053245.00
11-02-2022,1163.70,1179.00,1179.00,1158.05,3912397.00
14-02-2022,1146.45,1135.35,1164.35,1133.60,3243813.00
15-02-2022,1168.55,1153.50,1174.00,1148.10,3000492.00
16-02-2022,1167.80,1178.00,1182.65,1160.00,1885868.00
17-02-2022,1163.05,1174.00,1174.00,1160.00,1644055.00
18-02-2022,1165.00,1152.85,1170.10,1150.10,2166690.00
21-02-2022,1164.75,1153.10,1169.50,1150.20,1706058.00
22-02-2022,1149.55,1132.00,1154.15,1132.00,3254855.00
23-02-2022,1153.00,1156.00,1159.00,1148.05,1937649.00
24-02-2022,1098.55,1106.00,1134.95,1092.00,5469084.00
25-02-2022,1129.70,1115.60,1141.00,1115.00,3213276.00
28-02-2022,1126.95,1119.60,1133.30,1107.00,4571884.00
02-03-2022,1115.55,1124.65,1124.65,1109.00,3867328.00
03-03-2022,1139.70,1125.00,1152.00,1120.50,3969380.00
04-03-2022,1138.45,1128.00,1154.85,1122.65,3522375.00
07-03-2022,1154.20,1111.00,1161.40,1110.50,5249845.00
08-03-2022,1175.30,1156.00,1179.60,1155.00,3805165.00
09-03-2022,1182.70,1180.00,1195.00,1161.10,3781326.00
10-03-2022,1192.15,1198.20,1198.20,1175.00,3834327.00
11-03-2022,1193.45,1180.00,1207.15,1176.30,2770879.00
14-03-2022,1202.85,1193.45,1214.80,1177.65,5740660.00
15-03-2022,1176.85,1207.00,1214.30,1168.10,3003066.00
16-03-2022,1199.50,1190.15,1202.95,1185.00,1894018.00
17-03-2022,1196.90,1215.00,1215.00,1190.80,6987787.00
21-03-2022,1168.05,1199.90,1209.90,1165.10,4046440.00
22-03-2022,1176.40,1170.00,1181.75,1162.30,4516870.00
23-03-2022,1180.70,1190.00,1190.85,1170.00,2338886.00
24-03-2022,1192.10,1169.00,1194.00,1169.00,2351703.00
25-03-2022,1179.35,1199.00,1199.00,1175.40,2489854.00
28-03-2022,1163.95,1184.90,1187.60,1158.20,3406258.00
29-03-2022,1167.70,1167.00,1175.00,1163.65,2443230.00
30-03-2022,1165.20,1177.35,1181.95,1162.10,3073672.00
31-03-2022,1163.75,1174.80,1174.80,1161.00,3006639.00
01-04-2022,1169.65,1161.00,1174.00,1152.05,2479745.00
04-04-2022,1187.05,1173.20,1188.95,1168.00,2282137.00
05-04-2022,1195.45,1190.00,1203.00,1184.10,2634464.00
06-04-2022,1170.50,1190.00,1194.90,1167.50,2838968.00
07-04-2022,1173.30,1165.60,1180.75,1163.00,3391918.00
08-04-2022,1165.35,1179.00,1180.00,1162.55,2656091.00
11-04-2022,1133.50,1164.00,1164.00,1131.75,5679058.00
12-04-2022,1131.15,1129.80,1141.70,1119.55,2906617.00
13-04-2022,1125.10,1135.00,1143.10,1123.00,1971580.00
18-04-2022,1101.75,1110.00,1112.75,1084.60,4391701.00
19-04-2022,1070.25,1115.90,1115.95,1058.75,3422431.00
20-04-2022,1089.40,1075.00,1094.80,1064.70,2573318.00
21-04-2022,1099.20,1095.00,1105.05,1081.10,2547848.00
22-04-2022,1102.05,1086.60,1134.95,1081.10,9567571.00
25-04-2022,1089.85,1096.90,1098.00,1077.30,3565801.00
26-04-2022,1094.30,1104.00,1107.00,1085.05,3213714.00
27-04-2022,1095.60,1087.00,1099.90,1074.60,3288792.00
28-04-2022,1092.50,1092.00,1102.30,1073.30,5202061.00
29-04-2022,1079.25,1094.00,1100.50,1074.35,2988180.00
02-05-2022,1066.90,1073.00,1082.00,1062.00,2584604.00
04-05-2022,1044.95,1075.90,1076.00,1035.80,3385725.00
05-05-2022,1072.05,1059.00,1075.20,1047.10,2982126.00
06-05-2022,1050.20,1049.90,1056.65,1028.95,4075606.00
09-05-2022,1076.10,1044.00,1082.90,1034.10,4207192.00
10-05-2022,1072.55,1073.00,1085.00,1066.60,2473518.00
11-05-2022,1060.90,1069.00,1079.30,1054.05,2895668.00
12-05-2022,1059.40,1050.10,1070.95,1043.75,3195189.00
13-05-2022,1052.15,1070.00,1078.00,1045.10,2496626.00
16-05-2022,1044.55,1054.00,1066.95,1040.20,1415370.00
17-05-2022,1082.90,1058.20,1086.00,1045.35,2620776.00
18-05-2022,1073.70,1083.55,1097.35,1070.80,2865869.00
19-05-2022,1009.40,1055.10,1058.30,1004.60,4729354.00
20-05-2022,1028.85,1029.00,1034.50,1016.80,2005622.00
23-05-2022,1018.30,1023.00,1037.00,1014.75,2285466.00
24-05-2022,991.75,1022.05,1022.40,987.00,3418456.00
25-05-2022,974.45,992.00,992.80,963.00,3904551.00
26-05-2022,980.70,977.00,986.00,969.05,4278059.00
27-05-2022,1003.90,989.00,1010.45,989.00,2795530.00
30-05-2022,1039.90,1019.00,1053.35,1015.65,3562969.00
31-05-2022,1040.75,1045.00,1045.80,1020.45,5185485.00
01-06-2022,1017.90,1040.75,1045.45,1011.55,2554081.00
02-06-2022,1039.70,1011.40,1048.90,1007.30,3560227.00
03-06-2022,1043.00,1053.95,1069.65,1040.20,3556955.00
06-06-2022,1037.30,1038.00,1047.35,1021.15,1997494.00
07-06-2022,1022.90,1030.00,1033.75,1013.15,1839248.00
08-06-2022,1030.20,1023.10,1033.80,1016.00,1665512.00
09-06-2022,1028.65,1024.95,1031.70,1011.70,1654005.00
10-06-2022,1015.35,1012.00,1023.75,1008.20,2260855.00
13-06-2022,991.80,996.00,1002.00,982.50,1738804.00
14-06-2022,996.90,988.00,1000.95,978.15,2461791.00
15-06-2022,989.90,989.00,1007.00,988.00,2408630.00
16-06-2022,964.95,1007.00,1007.00,961.65,3198618.00
17-06-2022,958.75,952.40,963.15,944.05,4302066.00
20-06-2022,960.05,965.00,966.00,952.10,1305407.00
21-06-2022,986.60,971.70,999.90,963.65,2128325.00
22-06-2022,961.30,977.95,979.00,959.15,2575065.00
23-06-2022,971.25,962.10,977.50,958.60,2169033.00
24-06-2022,966.70,984.00,984.55,960.00,1922313.00
27-06-2022,992.35,986.15,1006.80,984.20,3626024.00
28-06-2022,1001.95,989.90,1007.00,983.25,2702471.00
29-06-2022,987.55,985.10,1000.25,985.00,3150015.00
30-06-2022,973.25,990.00,996.55,969.95,3741119.00
01-07-2022,975.35,964.50,981.45,964.20,2827579.00
04-07-2022,984.60,975.35,989.50,973.45,2738846.00
05-07-2022,982.15,987.40,1002.65,978.45,2476050.00
06-07-2022,986.60,982.00,999.00,980.05,2998254.00
