Date,Close,Open,High,Low,Volume
04-02-2022,1524.00,1528.40,1532.85,1514.10,5789979.00
07-02-2022,1468.15,1512.10,1519.00,1460.00,6134021.00
08-02-2022,1461.85,1476.40,1478.45,1444.55,6990565.00
09-02-2022,1497.60,1474.00,1499.70,1467.00,5654171.00
10-02-2022,1525.10,1514.00,1535.50,1501.65,7157265.00
11-02-2022,1518.85,1500.25,1525.00,1499.50,5355552.00
14-02-2022,1473.70,1490.00,1499.45,1469.30,7328310.00
15-02-2022,1517.80,1476.00,1524.90,1473.05,6567533.00
16-02-2022,1515.75,1534.35,1534.75,1507.00,5016132.00
17-02-2022,1506.50,1513.10,1522.00,1502.00,3675604.00
18-02-2022,1512.35,1498.30,1517.00,1490.45,3898064.00
21-02-2022,1522.10,1504.00,1530.70,1495.55,3734033.00
22-02-2022,1510.70,1489.80,1522.10,1487.95,4768098.00
23-02-2022,1500.90,1525.10,1525.70,1495.65,4514781.00
24-02-2022,1419.40,1449.90,1474.95,1407.15,11815383.00
25-02-2022,1456.10,1439.95,1465.90,1432.85,9159327.00
28-02-2022,1426.25,1426.00,1438.55,1414.05,12440416.00
02-03-2022,1374.25,1386.50,1398.40,1354.40,19252780.00
03-03-2022,1371.00,1381.00,1392.00,1362.90,8763961.00
04-03-2022,1366.50,1360.00,1386.00,1336.90,10609682.00
07-03-2022,1324.80,1318.50,1332.35,1297.05,13527229.00
08-03-2022,1327.80,1302.20,1334.00,1292.00,19606246.00
09-03-2022,1371.15,1330.00,1374.70,1318.85,11567347.00
10-03-2022,1392.70,1427.00,1427.00,1380.25,11136603.00
11-03-2022,1396.80,1388.00,1408.95,1372.70,7575390.00
14-03-2022,1442.55,1415.00,1450.00,1415.00,12509063.00
15-03-2022,1424.00,1443.50,1449.50,1411.75,9433964.00
16-03-2022,1448.15,1447.00,1455.00,1436.20,6682054.00
17-03-2022,1480.05,1472.00,1489.80,1470.55,7411977.00
21-03-2022,1486.50,1487.00,1493.65,1472.80,6128938.00
22-03-2022,1494.15,1481.30,1498.00,1457.20,5230907.00
23-03-2022,1479.25,1507.00,1518.80,1473.60,15594128.00
24-03-2022,1442.65,1466.00,1469.65,1434.55,10080022.00
25-03-2022,1430.90,1451.00,1452.00,1419.00,8183231.00
28-03-2022,1432.80,1430.90,1438.00,1401.60,7877443.00
29-03-2022,1451.80,1441.00,1460.25,1430.00,6188724.00
30-03-2022,1476.95,1472.00,1482.75,1454.05,10054871.00
31-03-2022,1470.35,1471.00,1484.70,1465.90,7147857.00
01-04-2022,1506.00,1476.40,1510.00,1470.30,7284278.00
04-04-2022,1656.80,1580.00,1722.10,1562.55,48725485.00
05-04-2022,1608.25,1666.70,1666.70,1602.00,15461291.00
06-04-2022,1550.85,1587.70,1589.80,1547.35,13513930.00
07-04-2022,1516.75,1541.30,1541.35,1513.70,20390866.00
08-04-2022,1514.65,1512.10,1525.75,1497.30,20628161.00
11-04-2022,1496.15,1506.00,1510.00,1493.25,10399533.00
12-04-2022,1493.50,1484.00,1506.85,1480.15,13717701.00
13-04-2022,1464.95,1490.00,1502.30,1462.65,14446260.00
18-04-2022,1395.45,1418.85,1431.65,1390.05,22810188.00
19-04-2022,1342.20,1380.90,1389.55,1327.00,37048011.00
20-04-2022,1354.30,1354.45,1359.90,1335.35,24662868.00
21-04-2022,1374.35,1365.00,1379.80,1353.30,26223135.00
22-04-2022,1355.60,1360.00,1375.35,1349.15,10329574.00
25-04-2022,1365.75,1350.00,1370.65,1322.25,10467744.00
26-04-2022,1372.05,1372.00,1381.95,1357.15,8508421.00
27-04-2022,1372.55,1360.00,1379.00,1356.10,9027167.00
28-04-2022,1371.35,1372.00,1379.00,1362.10,10386861.00
29-04-2022,1384.60,1380.35,1404.75,1371.55,14200738.00
02-05-2022,1403.70,1362.05,1406.45,1362.05,9747158.00
04-05-2022,1356.00,1400.00,1403.60,1350.00,14527958.00
05-05-2022,1352.95,1375.00,1375.00,1346.50,8931456.00
06-05-2022,1317.60,1330.00,1335.00,1313.00,13365634.00
09-05-2022,1319.85,1300.00,1326.50,1295.50,16381217.00
10-05-2022,1341.05,1315.05,1353.00,1315.05,10056906.00
11-05-2022,1348.60,1353.00,1355.00,1328.65,8551462.00
12-05-2022,1303.05,1321.10,1326.80,1293.00,11191145.00
13-05-2022,1291.35,1310.05,1318.00,1287.00,8384119.00
16-05-2022,1305.10,1299.00,1312.00,1285.30,4902178.00
17-05-2022,1314.00,1312.60,1317.00,1298.20,8320722.00
18-05-2022,1313.90,1324.05,1333.30,1310.00,7866192.00
19-05-2022,1287.05,1286.20,1296.40,1278.30,10268753.00
20-05-2022,1320.95,1303.00,1324.20,1292.35,6959675.00
23-05-2022,1304.00,1314.00,1329.95,1299.10,9743160.00
24-05-2022,1318.95,1300.00,1325.00,1296.90,6435398.00
25-05-2022,1328.80,1330.00,1335.95,1323.20,6443556.00
26-05-2022,1366.70,1342.15,1371.00,1340.00,13496214.00
27-05-2022,1392.05,1371.80,1394.70,1370.75,12015859.00
30-05-2022,1401.55,1410.25,1420.50,1398.45,6312337.00
31-05-2022,1388.95,1395.90,1404.80,1380.00,6742694.00
01-06-2022,1394.85,1380.00,1400.45,1379.15,6045948.00
02-06-2022,1385.10,1387.25,1388.00,1378.60,5737510.00
03-06-2022,1380.30,1398.30,1400.75,1376.30,3478622.00
06-06-2022,1378.45,1376.30,1387.00,1360.65,3086633.00
07-06-2022,1362.60,1362.00,1374.30,1354.10,5126983.00
08-06-2022,1367.40,1373.30,1381.00,1357.00,2993294.00
09-06-2022,1377.70,1362.25,1382.05,1357.15,3655908.00
10-06-2022,1351.10,1360.10,1367.95,1343.60,4577715.00
13-06-2022,1326.60,1323.60,1330.00,1308.30,5446286.00
14-06-2022,1312.00,1311.25,1326.00,1305.00,5935178.00
15-06-2022,1307.45,1301.65,1315.80,1298.40,5905235.00
16-06-2022,1281.30,1310.00,1320.55,1278.00,6084596.00
17-06-2022,1289.75,1275.00,1299.00,1271.60,7361961.00
20-06-2022,1322.15,1304.70,1325.00,1294.15,7968420.00
21-06-2022,1336.55,1336.90,1354.00,1324.05,6610342.00
22-06-2022,1330.25,1332.25,1336.95,1323.20,4079849.00
23-06-2022,1335.15,1330.50,1348.00,1318.50,7686122.00
24-06-2022,1353.80,1338.55,1361.65,1338.55,4006716.00
27-06-2022,1356.25,1370.00,1376.00,1352.00,4902082.00
28-06-2022,1345.90,1344.00,1351.00,1338.40,4885287.00
29-06-2022,1343.95,1331.25,1350.75,1331.25,4997023.00
30-06-2022,1348.00,1336.00,1354.00,1336.00,6237911.00
01-07-2022,1353.75,1343.95,1360.00,1330.05,5736226.00
04-07-2022,1355.65,1353.70,1360.20,1342.25,4243740.00
05-07-2022,1352.60,1364.00,1379.35,1348.30,7162859.00
06-07-2022,1371.25,1348.00,1373.40,1347.10,7524539.00
