Date,Close,Open,High,Low,Volume
04-10-2024,708.8,702.25,713.5,701.55,"26,16,851"
03-10-2024,702.25,696.55,711.95,696.5,"25,42,774"
01-10-2024,710.2,716,723.35,706.6,"19,87,048"
30-09-2024,718,735,736.35,716,"24,88,795"
26-09-2024,729.55,716.55,732,714.3,"27,97,065"
25-09-2024,716.55,722,723.1,710.1,"10,96,265"
24-09-2024,720.7,727.5,728.95,715.15,"32,12,859"
23-09-2024,727.5,718.85,730,714.05,"29,43,802"
20-09-2024,711.1,702,721,702,"78,91,171"
17-09-2024,698.9,701.35,702.9,691.55,"29,85,585"
16-09-2024,701.35,708.85,709.2,698,"27,54,818"
13-09-2024,705.4,712,713.75,703.15,"18,86,832"
11-09-2024,700.15,701,704.3,696,"46,04,184"
10-09-2024,702.9,730,732.15,701.2,"73,66,304"
09-09-2024,735.8,735.1,749,731.25,"26,35,184"
06-09-2024,738.4,750,754.1,736.05,"27,65,612"
05-09-2024,751.85,758,758.65,750.4,"17,59,438"
02-09-2024,745.3,743.15,754,739.85,"30,73,926"
30-08-2024,738.7,736.9,742.7,733.5,"62,27,807"
29-08-2024,736.9,740,748.5,731.85,"39,62,913"
28-08-2024,742.1,739.95,746.55,734.05,"29,95,930"
27-08-2024,739.55,724,742.45,719.3,"56,27,130"
26-08-2024,725.65,734,734,719.25,"21,31,814"
23-08-2024,729,725,730.5,723.45,"38,98,989"
22-08-2024,726,726,729.9,720.05,"38,89,249"
21-08-2024,724.55,714.35,727.6,708.65,"61,86,935"
20-08-2024,710.6,687,713,684.05,"68,28,474"
19-08-2024,685.7,689.4,689.4,678.5,"23,52,893"
16-08-2024,689.4,664.65,690.6,664.65,"45,84,181"
14-08-2024,686.35,686,690.6,676.4,"29,62,358"
13-08-2024,685,698.1,707.3,677.5,"57,41,391"
12-08-2024,702.45,698.6,713.65,692.2,"37,23,417"
09-08-2024,702.4,714.2,715,701.45,"28,48,313"
08-08-2024,710.35,691.1,713.2,689.7,"59,53,315"
07-08-2024,696.25,682.1,697.7,682.1,"51,54,327"
06-08-2024,679.6,711.65,719,677.3,"61,06,310"
05-08-2024,710.9,693,713.9,690.05,"93,27,217"
02-08-2024,707.4,707.5,712.75,699.05,"27,10,858"
01-08-2024,713.6,715,722.5,710.05,"40,74,648"
31-07-2024,715.5,697.2,719,693.1,"66,83,204"
30-07-2024,697.2,696.1,708.35,683.9,"61,34,510"
29-07-2024,696.85,703.55,710,693.75,"46,76,765"
26-07-2024,703.35,683.15,709.8,682.05,"89,33,046"
25-07-2024,683.15,666,685.6,665.55,"93,86,864"
24-07-2024,672.8,639.6,675,639.3,"1,23,77,638"
23-07-2024,643.95,642,649.7,623.25,"90,82,995"
22-07-2024,637.4,631.9,641,628.95,"38,54,108"
19-07-2024,635.9,644.65,646,634.15,"24,96,778"
18-07-2024,648.9,646.75,651.4,641.1,"39,75,243"
16-07-2024,646.75,642,655,633.35,"91,67,071"
15-07-2024,638.05,635.55,648,630.5,"69,51,688"
12-07-2024,635.55,634,636.4,627.1,"26,43,647"
11-07-2024,634.25,635.95,636.6,629.3,"35,73,349"
