Date,Close,Open,High,Low,Volume
04-02-2022,2721.75,2765.00,2780.00,2712.75,585251.00
07-02-2022,2648.05,2721.75,2734.00,2625.00,688838.00
08-02-2022,2671.95,2660.55,2691.65,2650.00,625615.00
09-02-2022,2728.85,2680.40,2736.60,2673.05,359950.00
10-02-2022,2734.10,2745.40,2751.00,2701.05,448648.00
11-02-2022,2718.60,2670.00,2747.00,2655.00,1235994.00
14-02-2022,2648.50,2681.00,2703.15,2630.75,576694.00
15-02-2022,2778.65,2650.00,2787.85,2630.00,1131545.00
16-02-2022,2786.80,2766.20,2844.60,2766.20,1127829.00
17-02-2022,2793.45,2800.00,2872.30,2780.55,1166885.00
18-02-2022,2774.05,2780.00,2818.00,2748.95,662754.00
21-02-2022,2713.35,2719.95,2748.00,2685.00,522214.00
22-02-2022,2731.00,2674.95,2752.00,2646.05,644900.00
23-02-2022,2670.65,2745.00,2762.45,2665.00,631227.00
24-02-2022,2490.40,2618.60,2624.60,2440.00,1934361.00
25-02-2022,2558.40,2584.70,2592.00,2504.70,715496.00
28-02-2022,2535.45,2527.00,2546.95,2489.05,1008620.00
02-03-2022,2426.30,2498.00,2498.50,2421.00,855090.00
03-03-2022,2417.40,2441.00,2468.00,2405.00,831912.00
04-03-2022,2311.30,2400.00,2403.60,2301.10,1266961.00
07-03-2022,2198.70,2289.80,2289.80,2170.10,1284637.00
08-03-2022,2251.65,2181.00,2259.25,2146.85,1081826.00
09-03-2022,2290.50,2266.00,2310.60,2235.15,670764.00
10-03-2022,2320.75,2350.00,2410.45,2312.05,716132.00
11-03-2022,2331.20,2318.00,2345.00,2287.10,467988.00
14-03-2022,2341.90,2330.00,2351.00,2282.30,382149.00
15-03-2022,2318.40,2345.00,2380.00,2300.00,612285.00
16-03-2022,2369.50,2350.20,2376.50,2335.00,493507.00
17-03-2022,2419.90,2383.00,2429.25,2375.00,781757.00
21-03-2022,2391.55,2434.75,2447.95,2380.00,516893.00
22-03-2022,2423.65,2405.00,2435.00,2345.05,470208.00
23-03-2022,2394.65,2423.00,2439.80,2327.20,1137046.00
24-03-2022,2412.15,2361.00,2427.25,2333.00,692836.00
25-03-2022,2378.40,2420.00,2438.00,2366.75,467568.00
28-03-2022,2377.95,2370.00,2397.85,2349.00,493636.00
29-03-2022,2210.65,2385.00,2401.00,2154.05,2475877.00
30-03-2022,2271.65,2250.00,2281.00,2226.40,3115035.00
31-03-2022,2294.15,2280.00,2316.90,2280.00,1338490.00
01-04-2022,2240.15,2185.00,2246.00,2150.00,3541517.00
04-04-2022,2311.75,2250.00,2319.00,2250.00,1417392.00
05-04-2022,2332.25,2329.90,2352.65,2315.00,715666.00
06-04-2022,2346.90,2328.00,2349.15,2306.55,812337.00
07-04-2022,2350.60,2350.00,2368.20,2336.85,853476.00
08-04-2022,2362.45,2355.00,2380.00,2330.55,694946.00
11-04-2022,2335.40,2357.95,2361.75,2331.15,408871.00
12-04-2022,2297.90,2324.95,2325.95,2285.50,502227.00
13-04-2022,2274.40,2291.55,2311.15,2268.90,426929.00
18-04-2022,2285.40,2269.90,2294.95,2249.15,422209.00
19-04-2022,2263.25,2308.00,2327.50,2242.40,484466.00
20-04-2022,2274.85,2270.00,2315.00,2261.65,424461.00
21-04-2022,2317.65,2282.00,2321.75,2277.00,341987.00
22-04-2022,2294.25,2295.00,2305.00,2273.65,598737.00
25-04-2022,2288.60,2268.30,2332.95,2266.00,596296.00
26-04-2022,2407.25,2311.00,2413.00,2301.30,1311255.00
27-04-2022,2500.00,2390.00,2528.60,2370.00,2082863.00
28-04-2022,2517.30,2539.80,2541.95,2498.05,1182758.00
29-04-2022,2506.65,2508.60,2552.00,2491.45,839920.00
02-05-2022,2487.30,2460.20,2505.60,2448.10,667551.00
04-05-2022,2409.50,2440.00,2520.00,2398.80,1263034.00
05-05-2022,2501.65,2430.10,2538.15,2430.10,1675043.00
06-05-2022,2563.35,2410.00,2599.00,2407.25,2491483.00
09-05-2022,2492.75,2555.00,2560.00,2486.00,996952.00
10-05-2022,2469.75,2485.00,2519.35,2458.60,644415.00
11-05-2022,2470.30,2465.50,2519.40,2407.90,575504.00
12-05-2022,2401.20,2459.00,2459.00,2371.00,966472.00
13-05-2022,2449.15,2414.95,2500.00,2414.95,691344.00
16-05-2022,2495.90,2450.05,2511.95,2440.00,473407.00
17-05-2022,2523.50,2515.00,2538.85,2502.05,517525.00
18-05-2022,2539.00,2525.35,2554.20,2511.80,332168.00
19-05-2022,2515.50,2510.10,2549.00,2500.55,556405.00
20-05-2022,2590.15,2545.00,2613.40,2545.00,751633.00
23-05-2022,2624.70,2615.05,2699.95,2610.55,744827.00
24-05-2022,2637.00,2629.95,2654.00,2613.40,616849.00
25-05-2022,2594.70,2640.20,2669.25,2583.65,525893.00
26-05-2022,2636.45,2608.00,2647.35,2575.00,362813.00
27-05-2022,2719.80,2645.15,2726.90,2638.00,654718.00
30-05-2022,2770.55,2724.00,2787.45,2724.00,924244.00
31-05-2022,2773.90,2774.90,2809.95,2752.15,1859231.00
01-06-2022,2757.60,2799.90,2799.90,2731.50,430807.00
02-06-2022,2663.10,2730.60,2733.00,2640.40,1093645.00
03-06-2022,2583.75,2675.00,2688.70,2575.15,753558.00
06-06-2022,2540.75,2565.00,2594.45,2525.10,965347.00
07-06-2022,2570.85,2525.00,2578.05,2500.00,550257.00
08-06-2022,2585.95,2584.00,2617.05,2553.35,539786.00
09-06-2022,2598.10,2579.95,2603.55,2560.00,327503.00
10-06-2022,2601.95,2580.00,2614.40,2575.45,324452.00
13-06-2022,2598.80,2560.00,2612.30,2536.55,625967.00
14-06-2022,2557.60,2595.95,2614.90,2530.00,509259.00
15-06-2022,2605.30,2567.00,2628.00,2557.60,673444.00
16-06-2022,2519.05,2620.50,2624.25,2511.05,493824.00
17-06-2022,2467.40,2518.00,2518.00,2455.65,725864.00
20-06-2022,2452.55,2455.10,2501.45,2433.90,377385.00
21-06-2022,2499.20,2465.00,2524.85,2465.00,381831.00
22-06-2022,2524.45,2495.00,2553.50,2480.00,873408.00
23-06-2022,2674.10,2572.55,2686.65,2572.55,1846048.00
24-06-2022,2759.95,2715.00,2767.70,2690.20,1354569.00
27-06-2022,2755.50,2787.55,2809.00,2730.60,1005184.00
28-06-2022,2766.70,2748.00,2792.70,2730.00,714029.00
29-06-2022,2752.40,2740.05,2784.75,2730.00,653929.00
30-06-2022,2719.70,2745.00,2773.00,2714.00,643735.00
01-07-2022,2763.80,2715.00,2770.00,2683.35,393346.00
04-07-2022,2760.45,2750.00,2799.00,2738.90,499627.00
05-07-2022,2737.25,2763.30,2770.85,2730.00,401190.00
06-07-2022,2831.80,2737.50,2842.00,2734.10,739745.00
07-07-2022,2839.45,2857.00,2868.75,2825.15,382303.00
08-07-2022,2849.30,2848.40,2879.95,2819.05,532145.00
11-07-2022,2868.10,2815.00,2875.40,2808.05,428940.00
12-07-2022,2875.50,2854.50,2884.55,2834.00,422887.00
13-07-2022,2843.35,2885.00,2891.80,2835.00,539917.00
14-07-2022,2792.80,2838.00,2866.00,2772.05,620757.00
15-07-2022,2800.05,2799.95,2816.45,2782.75,816619.00
18-07-2022,2817.95,2829.95,2835.85,2805.25,369313.00
19-07-2022,2801.20,2815.00,2846.85,2783.45,661056.00
20-07-2022,2826.75,2820.00,2838.75,2810.00,201509.00
21-07-2022,2847.80,2820.00,2854.00,2815.05,314132.00
22-07-2022,2871.60,2851.05,2883.40,2840.30,576270.00
25-07-2022,2838.85,2875.00,2875.80,2831.45,421977.00
26-07-2022,2800.75,2840.00,2847.70,2785.65,347002.00
