Date,Close,Open,High,Low,Volume
04-02-2022,525.15,513.00,528.50,512.05,12631663.00
07-02-2022,522.60,527.85,533.25,519.45,10939353.00
08-02-2022,526.80,526.00,533.10,514.05,9863290.00
09-02-2022,542.30,536.00,544.40,532.10,9235351.00
10-02-2022,547.25,547.70,553.50,541.00,10906403.00
11-02-2022,542.70,547.75,553.85,539.50,9110193.00
14-02-2022,521.25,531.00,533.95,519.70,4995178.00
15-02-2022,533.85,526.45,536.35,513.70,8233217.00
16-02-2022,529.30,536.85,538.00,526.20,4348474.00
17-02-2022,532.55,533.80,540.75,528.30,5340469.00
18-02-2022,529.60,531.00,537.80,528.00,3344269.00
21-02-2022,512.00,528.50,529.00,511.20,6308263.00
22-02-2022,516.20,501.90,519.25,501.55,10664925.00
23-02-2022,518.70,519.80,523.25,515.65,8928934.00
24-02-2022,517.65,505.10,527.40,505.10,24819208.00
25-02-2022,533.90,525.00,546.90,523.10,13815949.00
28-02-2022,573.75,537.00,580.05,531.80,35212827.00
02-03-2022,600.10,575.25,614.25,575.25,41248362.00
03-03-2022,606.30,613.90,613.90,596.90,18676314.00
04-03-2022,583.80,607.80,618.00,580.60,20490598.00
07-03-2022,619.75,586.75,623.00,586.75,20963374.00
08-03-2022,589.95,618.00,618.00,587.35,19477245.00
09-03-2022,588.05,591.30,598.95,585.10,15686460.00
10-03-2022,593.80,573.50,596.50,569.80,14824703.00
11-03-2022,589.10,595.00,603.00,585.75,7635725.00
14-03-2022,590.80,585.90,593.55,578.25,7904911.00
15-03-2022,559.75,580.00,581.90,555.95,13005715.00
16-03-2022,572.70,568.70,575.40,563.30,10485661.00
17-03-2022,576.80,575.05,584.40,573.85,11581454.00
21-03-2022,589.95,584.00,600.95,582.55,14159371.00
22-03-2022,593.45,599.80,602.85,587.20,7490300.00
23-03-2022,608.45,601.00,611.80,597.50,13581577.00
24-03-2022,621.95,610.20,626.20,610.00,12139664.00
25-03-2022,622.70,621.05,630.95,616.65,11087146.00
28-03-2022,630.20,621.50,634.80,617.00,7075442.00
29-03-2022,631.30,630.00,636.00,624.50,5245788.00
30-03-2022,599.80,622.00,622.00,598.85,11195965.00
31-03-2022,569.50,600.00,600.30,568.15,23497993.00
01-04-2022,570.50,569.90,577.00,561.45,15300787.00
04-04-2022,587.50,572.00,589.65,569.05,15845385.00
05-04-2022,586.85,590.95,590.95,582.05,7065571.00
06-04-2022,581.25,582.95,589.45,576.05,9648592.00
07-04-2022,574.75,581.40,584.90,569.00,9357569.00
08-04-2022,581.75,579.40,584.55,578.30,7157576.00
11-04-2022,576.35,583.40,587.45,574.55,8297062.00
12-04-2022,542.35,570.60,570.80,538.60,16701775.00
13-04-2022,546.75,547.00,551.90,543.55,7396320.00
18-04-2022,545.35,544.95,555.65,537.40,7550655.00
19-04-2022,540.80,552.00,556.20,537.60,8143101.00
20-04-2022,545.00,544.95,549.00,536.60,4725779.00
21-04-2022,540.25,545.00,547.35,531.45,8575442.00
22-04-2022,514.15,529.00,529.85,513.30,23871439.00
25-04-2022,495.50,502.65,508.50,492.25,10749312.00
26-04-2022,493.45,498.00,500.90,489.75,11623406.00
27-04-2022,492.30,489.00,497.60,476.45,17623544.00
28-04-2022,488.60,502.00,502.00,480.00,25042778.00
29-04-2022,482.65,493.00,497.80,479.25,12462169.00
02-05-2022,484.40,477.85,486.00,469.50,14625673.00
04-05-2022,461.65,483.00,483.00,459.00,10366562.00
