Date,Close,Open,High,Low,Volume
04-02-2022,2306.6,2306,2312.75,2283,1014561
07-02-2022,2257.6,2295.25,2316.7,2237,1207402
08-02-2022,2264.35,2268,2268,2246.55,1190660
09-02-2022,2277.65,2267.55,2280.35,2255.6,1049611
10-02-2022,2283.15,2280,2285,2255.85,1195100
11-02-2022,2258,2279,2279,2249,2100036
14-02-2022,2228.55,2220,2236.25,2207,1661501
15-02-2022,2290.1,2247.95,2304.15,2222.55,1533070
16-02-2022,2286.5,2290.1,2303.75,2275,995668
17-02-2022,2307.55,2282,2313,2276,869374
18-02-2022,2312.55,2294,2327.8,2294,890713
21-02-2022,2294.8,2298,2304.05,2284.75,737919
22-02-2022,2269.95,2280,2280,2250.1,902667
23-02-2022,2260.4,2270,2273.95,2252.25,1324411
24-02-2022,2171.4,2200,2242,2160.3,2997629
25-02-2022,2170.7,2195,2196,2162.15,2193728
28-02-2022,2172.1,2164,2179.9,2120,2334036
02-03-2022,2149.1,2128.95,2154.8,2123.05,2034688
03-03-2022,2091,2157.9,2167.95,2086.6,2372998
04-03-2022,2019.5,2075,2077.95,1975.25,6320118
07-03-2022,1943.95,1979.5,1980.15,1927,2976453
08-03-2022,1949,1924.55,1958,1901.55,3211938
09-03-2022,1997.9,1964,2007.05,1951,2879079
10-03-2022,2101.95,2051.9,2114,2049,4879791
11-03-2022,2094.4,2100,2110.2,2070,2481643
14-03-2022,2059.3,2095,2095,2046.1,1730325
15-03-2022,2038.2,2045,2080.8,2025,2391023
16-03-2022,2072.15,2060,2080,2032.05,2808685
17-03-2022,2102.05,2098.1,2116.7,2082.35,2995889
21-03-2022,2051.2,2106.5,2110.9,2046,1674982
22-03-2022,1993.5,2053.75,2053.75,1969,5356303
23-03-2022,1978.55,2012,2016.55,1975.25,3212162
24-03-2022,1965.9,1970,1991.35,1951.35,3054664
25-03-2022,1953,1974.9,1977,1945,2233647
28-03-2022,1975.1,1959.95,1980.8,1931.3,1794533
29-03-2022,1987.05,1980,1994.85,1974.05,1249125
30-03-2022,2015.9,2000,2019,1995.05,1476829
31-03-2022,2048.65,2019.4,2054,2018,2540524
01-04-2022,2078.15,2054.9,2085.85,2038.4,1714996
04-04-2022,2128.45,2078,2132.45,2070.2,1693019
05-04-2022,2139.8,2144.5,2158,2127,1277652
06-04-2022,2142.05,2135,2164.4,2121.3,1736115
07-04-2022,2164.8,2139.95,2175,2135.1,1824732
08-04-2022,2183.05,2177.7,2193.5,2163.5,1693462
11-04-2022,2163.05,2188,2194.1,2138.9,1380107
12-04-2022,2132.25,2140.9,2165,2125,1370233
13-04-2022,2152.15,2137.7,2165,2130.7,1071601
18-04-2022,2177.65,2148,2182.9,2135.05,1828131
19-04-2022,2113.05,2185.7,2206.85,2101.05,1775996
20-04-2022,2164.95,2114.4,2168.65,2092.7,1511804
21-04-2022,2197.95,2185,2203.75,2168,2244813
22-04-2022,2126.95,2182,2189,2120,3520828
25-04-2022,2100.75,2100,2162,2047,2437310
26-04-2022,2148.35,2142.2,2157.95,2121,1447088
