Date,Close,Open,High,Low,Volume
04-02-2022,805.05,809.8,812,795.8,10314067
07-02-2022,786.4,798.05,805,781.45,14659368
08-02-2022,792.5,790,795.7,774.3,14642455
09-02-2022,802.8,797.25,804.25,794.2,8855292
10-02-2022,805.5,805.95,808.8,796.3,13159771
11-02-2022,790.8,796.85,797.4,787.9,13138408
14-02-2022,753.7,772,773.95,751.15,16170656
15-02-2022,776.05,752.95,778,743.2,18880659
16-02-2022,764.05,775.7,777.55,760.4,10549784
17-02-2022,750.35,766.5,767.25,746.3,16683808
18-02-2022,748.9,746.85,756.8,745.55,8945567
21-02-2022,754.45,746.25,762.9,740,10967164
22-02-2022,751.3,738.4,759.75,737.75,13156371
23-02-2022,744.6,754.6,756.4,742.7,11624282
24-02-2022,707.4,712.9,727.1,702.3,28023104
25-02-2022,730.05,724.95,739.3,720.25,16935750
28-02-2022,742.7,722.95,744.75,715.4,20547432
02-03-2022,714.85,717,724.95,707.75,25252492
03-03-2022,698.3,717.6,721.95,693.45,23190595
04-03-2022,688.05,691,706.55,685,18697223
07-03-2022,653.75,663.5,667,642.15,27799873
08-03-2022,665,643.3,669.45,643,26716975
09-03-2022,667.45,664.7,674.5,658,33728639
10-03-2022,676.6,693.95,701,673.65,35959638
11-03-2022,677.9,674.65,684.7,670.6,20546724
14-03-2022,696.15,678.1,698.45,677.25,24648981
15-03-2022,697.35,701.5,708.1,688,27714580
16-03-2022,708,706.9,711.4,701.25,14621688
17-03-2022,720.1,717.8,725,716.2,18329844
21-03-2022,710.75,721,722.9,705.5,12866839
22-03-2022,718.2,708.65,721,699.5,11761758
23-03-2022,718.3,725,726.8,714.25,7140403
24-03-2022,704.2,702.45,712.7,698,17727969
25-03-2022,699.25,705,706.1,696.65,15263007
28-03-2022,710.35,702,713.4,695.65,13806166
29-03-2022,715.3,714.3,716.95,705.85,11489374
30-03-2022,730.9,721.05,731.75,719.1,20154520
31-03-2022,730.3,739.9,739.9,727.8,16046383
01-04-2022,736.25,725,738.3,723.1,12658848
04-04-2022,746.6,742,749.8,725,17192197
05-04-2022,741.8,746.8,755.45,738,12290391
06-04-2022,741.6,732.3,744.9,732.1,13518142
07-04-2022,748.55,737.1,757.8,737.1,15087175
08-04-2022,754.3,749.85,756,743.6,15480705
11-04-2022,759.6,752.3,765.45,751.65,13216391
12-04-2022,763.85,757,768.9,750.25,14020000
13-04-2022,762.25,769.6,772.55,760.7,16119956
18-04-2022,757.8,751,762.9,749.2,17651530
19-04-2022,766.3,761.8,777.9,757,31088359
20-04-2022,755.55,766.8,770,753.8,15984202
21-04-2022,762.35,759.05,764.2,751.2,8953098
22-04-2022,747.65,757,758.85,745.9,14411607
25-04-2022,752.2,747.65,762.2,744,35417460
26-04-2022,753.75,768,768.55,751.65,18727514
27-04-2022,736.7,749,750,732.55,21441480
28-04-2022,747.15,739.1,751.9,734.65,18649559
