Date,Close,Open,High,Low,Volume
04-02-2022,956.05,958.00,974.95,945.00,5000045.00
07-02-2022,933.05,952.05,959.40,928.15,2587054.00
08-02-2022,937.70,938.00,940.75,913.00,3160992.00
09-02-2022,967.15,942.30,971.40,940.40,4101202.00
10-02-2022,972.35,966.00,977.75,960.25,4037566.00
11-02-2022,982.40,955.00,990.00,954.55,7171664.00
14-02-2022,941.60,959.20,964.80,937.20,3652419.00
15-02-2022,969.70,943.00,972.00,923.25,3985559.00
16-02-2022,968.40,966.10,987.55,961.95,3683264.00
17-02-2022,955.80,980.00,980.00,951.10,3152042.00
18-02-2022,955.35,950.00,966.00,948.60,2417043.00
21-02-2022,952.45,952.00,972.00,949.00,3535914.00
22-02-2022,939.10,925.00,949.85,923.00,2866135.00
23-02-2022,950.70,944.00,960.80,943.15,3507003.00
24-02-2022,875.65,919.50,934.30,868.85,7305449.00
25-02-2022,927.05,898.70,929.80,895.00,4821342.00
28-02-2022,920.70,916.00,924.80,903.00,3299912.00
02-03-2022,906.35,907.00,912.65,887.55,4507940.00
03-03-2022,912.25,918.00,926.00,906.50,3731807.00
04-03-2022,901.90,896.00,922.90,891.00,3623960.00
07-03-2022,834.40,878.00,896.95,825.50,6323502.00
08-03-2022,840.70,831.10,847.80,816.00,6163433.00
09-03-2022,875.35,863.00,880.00,838.25,6967640.00
10-03-2022,904.30,909.80,928.00,890.70,6312569.00
11-03-2022,901.75,900.00,915.50,892.95,3451877.00
14-03-2022,907.60,899.00,914.00,892.30,3718477.00
15-03-2022,896.65,916.90,922.00,887.25,4390735.00
16-03-2022,928.65,912.00,936.00,911.55,5705364.00
17-03-2022,932.45,943.95,949.50,929.55,4492246.00
21-03-2022,913.40,938.00,938.00,911.00,2363059.00
22-03-2022,927.70,916.00,932.00,903.60,2764481.00
23-03-2022,931.35,933.00,944.45,928.10,2433056.00
24-03-2022,924.80,922.00,937.95,915.20,2923793.00
25-03-2022,926.25,930.00,933.30,916.05,1984601.00
28-03-2022,935.15,923.05,942.90,920.25,2654339.00
29-03-2022,929.15,939.95,944.50,921.40,3351562.00
30-03-2022,926.30,939.35,945.00,922.95,4849869.00
31-03-2022,935.40,930.00,938.45,924.00,2311242.00
01-04-2022,968.60,929.45,970.95,929.15,5222165.00
04-04-2022,987.20,975.00,994.80,958.05,5033678.00
