Date,Close,Open,High,Low,Volume
04-02-2022,1741.10,1732.00,1753.95,1710.15,4700077.00
07-02-2022,1715.00,1722.20,1732.00,1695.40,4310209.00
08-02-2022,1717.30,1710.00,1725.00,1696.00,6053401.00
09-02-2022,1737.30,1735.00,1743.00,1725.00,3867244.00
10-02-2022,1769.60,1755.65,1773.90,1748.75,4334630.00
11-02-2022,1721.35,1740.00,1745.95,1713.00,7551371.00
14-02-2022,1682.20,1690.00,1718.55,1678.25,7459637.00
15-02-2022,1738.25,1699.00,1746.75,1690.45,4669915.00
16-02-2022,1733.30,1738.25,1755.45,1726.85,5350642.00
17-02-2022,1724.80,1744.00,1749.00,1720.30,3937950.00
18-02-2022,1706.95,1710.00,1722.50,1703.50,5602215.00
21-02-2022,1730.70,1701.00,1737.30,1691.50,5120890.00
22-02-2022,1734.35,1699.90,1751.00,1691.05,8878515.00
23-02-2022,1742.85,1750.00,1758.25,1733.40,5478811.00
24-02-2022,1678.15,1690.10,1714.95,1670.50,13592379.00
25-02-2022,1694.60,1715.00,1728.15,1677.00,9737281.00
28-02-2022,1715.60,1682.20,1728.05,1665.00,15076542.00
02-03-2022,1702.80,1710.00,1714.40,1691.00,6771489.00
03-03-2022,1720.85,1720.20,1733.90,1705.55,7344147.00
04-03-2022,1723.30,1695.25,1736.00,1681.00,9074499.00
07-03-2022,1739.85,1697.00,1751.00,1696.00,9742588.00
08-03-2022,1778.20,1718.45,1800.00,1718.45,10984500.00
09-03-2022,1813.35,1791.00,1831.60,1791.00,10193515.00
10-03-2022,1825.90,1844.75,1844.75,1810.20,6547182.00
11-03-2022,1822.00,1814.00,1831.40,1811.00,4758657.00
14-03-2022,1890.70,1831.55,1895.00,1831.55,10289724.00
15-03-2022,1839.30,1888.35,1888.35,1830.00,7140443.00
16-03-2022,1889.40,1865.00,1893.95,1849.00,5233979.00
17-03-2022,1854.60,1923.30,1923.30,1833.05,17731459.00
21-03-2022,1853.05,1861.00,1886.90,1841.10,8362085.00
22-03-2022,1887.40,1850.00,1890.00,1839.00,5709382.00
23-03-2022,1872.40,1897.00,1900.00,1857.00,6192824.00
24-03-2022,1886.70,1856.15,1894.60,1856.15,3784303.00
25-03-2022,1876.55,1892.00,1894.00,1858.00,3438588.00
28-03-2022,1873.90,1866.00,1880.90,1852.65,4008555.00
29-03-2022,1886.00,1873.90,1889.40,1860.55,3917785.00
30-03-2022,1903.95,1910.00,1919.00,1895.00,7795839.00
31-03-2022,1906.85,1900.00,1913.00,1894.20,5399145.00
01-04-2022,1903.55,1886.85,1910.30,1878.30,6171518.00
04-04-2022,1882.95,1889.75,1893.00,1873.00,7364074.00
05-04-2022,1861.10,1883.80,1889.60,1857.15,5472024.00
06-04-2022,1828.85,1855.00,1857.50,1822.15,5407453.00
07-04-2022,1811.00,1821.05,1828.15,1807.55,5797544.00
08-04-2022,1814.60,1823.00,1838.00,1808.00,5131446.00
11-04-2022,1766.55,1814.00,1814.00,1762.55,8248407.00
12-04-2022,1742.45,1757.50,1757.50,1727.75,6456184.00
13-04-2022,1748.55,1754.95,1757.50,1732.00,6257693.00
18-04-2022,1621.40,1605.50,1650.00,1590.00,30523965.00
19-04-2022,1562.00,1636.65,1636.65,1550.00,17044923.00
20-04-2022,1587.70,1575.00,1596.30,1563.00,10678747.00
21-04-2022,1618.80,1595.00,1627.20,1589.25,7766514.00
22-04-2022,1585.45,1604.35,1610.70,1582.40,8134245.00
25-04-2022,1561.10,1572.80,1572.80,1554.10,7000570.00
26-04-2022,1581.00,1577.20,1592.00,1566.55,5345435.00
27-04-2022,1552.80,1572.75,1572.75,1550.35,8819356.00
28-04-2022,1582.60,1570.00,1601.80,1557.45,9245177.00
29-04-2022,1567.55,1590.00,1597.30,1560.80,9831395.00
02-05-2022,1541.00,1550.90,1552.75,1531.00,7072627.00
04-05-2022,1535.55,1547.25,1570.00,1530.15,6220959.00
05-05-2022,1585.15,1560.05,1589.40,1557.45,6144870.00
06-05-2022,1542.85,1550.00,1561.85,1535.05,6171472.00
09-05-2022,1570.35,1540.00,1586.80,1522.15,6832202.00
10-05-2022,1553.00,1558.00,1569.15,1546.05,6212545.00
11-05-2022,1526.75,1549.95,1549.95,1511.60,7846080.00
12-05-2022,1508.80,1514.00,1527.50,1504.30,7034979.00
13-05-2022,1504.40,1519.30,1529.25,1498.10,6723761.00
16-05-2022,1489.10,1510.00,1511.85,1478.65,6145331.00
17-05-2022,1518.45,1494.90,1525.00,1480.90,6516378.00
18-05-2022,1509.20,1522.00,1549.70,1505.30,6594126.00
19-05-2022,1427.15,1481.00,1484.70,1417.65,16561140.00
20-05-2022,1455.15,1453.00,1466.75,1446.70,10488908.00
23-05-2022,1468.40,1455.10,1488.00,1450.05,5887569.00
24-05-2022,1441.00,1468.60,1469.55,1435.25,5693167.00
25-05-2022,1410.45,1435.00,1442.50,1399.25,9630092.00
26-05-2022,1423.95,1418.00,1430.00,1407.05,13040065.00
27-05-2022,1461.35,1443.95,1467.00,1437.40,8284860.00
30-05-2022,1526.80,1487.00,1530.00,1485.00,10904213.00
