Date,Close,Open,High,Low,Volume
04-02-2022,82.77,83.27,83.57,82.47,7149068.00
07-02-2022,81.93,83.00,83.07,81.67,8968249.00
08-02-2022,80.90,82.07,82.37,80.00,15697108.00
09-02-2022,80.70,79.00,81.13,78.50,11720982.00
10-02-2022,79.97,80.73,80.97,79.77,12080112.00
11-02-2022,81.37,79.67,81.77,79.37,17657900.00
14-02-2022,77.70,80.67,80.67,77.43,10975847.00
15-02-2022,79.17,78.00,79.33,76.33,8652149.00
16-02-2022,81.00,79.50,81.47,79.50,11782127.00
17-02-2022,80.93,81.90,82.63,80.33,11183068.00
18-02-2022,80.77,80.93,81.53,80.40,5319044.00
21-02-2022,79.47,80.00,80.77,79.07,5730295.00
22-02-2022,78.07,78.00,79.10,77.67,7606407.00
23-02-2022,78.10,78.53,78.87,77.67,5683477.00
24-02-2022,73.33,76.63,77.47,72.87,13232094.00
25-02-2022,74.90,75.33,79.00,74.00,18699142.00
28-02-2022,76.67,75.20,77.47,73.73,16521199.00
02-03-2022,74.83,75.83,77.60,74.30,14926831.00
03-03-2022,76.43,76.67,77.67,75.33,18861056.00
04-03-2022,75.50,76.63,76.93,75.20,16670574.00
07-03-2022,74.83,75.97,75.97,74.13,16928369.00
08-03-2022,78.03,74.67,78.50,74.40,22322573.00
09-03-2022,77.97,79.27,79.27,77.20,15650703.00
10-03-2022,80.63,79.37,80.93,78.47,18394923.00
11-03-2022,82.47,80.53,82.93,80.27,12398829.00
14-03-2022,80.53,83.23,83.23,80.03,14878543.00
15-03-2022,79.33,80.53,80.70,78.80,11001228.00
16-03-2022,81.30,80.20,81.73,79.63,10117835.00
17-03-2022,80.90,81.60,81.93,80.07,27800074.00
21-03-2022,78.67,81.20,81.20,78.53,12111014.00
22-03-2022,80.43,79.33,81.23,79.00,20619526.00
23-03-2022,81.13,81.23,82.00,80.43,16847442.00
24-03-2022,80.40,81.20,81.43,80.23,8251754.00
25-03-2022,79.20,80.03,80.57,79.07,8158981.00
28-03-2022,79.97,79.60,80.47,78.47,10228584.00
29-03-2022,78.87,80.20,80.87,78.67,9751383.00
30-03-2022,78.13,79.80,79.80,77.40,106426898.00
31-03-2022,79.30,78.67,80.63,78.67,21134412.00
01-04-2022,81.40,79.40,81.63,79.33,10701784.00
04-04-2022,81.53,81.40,82.00,81.13,9396800.00
05-04-2022,81.77,81.87,82.33,81.57,8714130.00
06-04-2022,84.03,81.63,84.27,81.00,15720227.00
07-04-2022,82.37,82.87,84.50,82.17,20159190.00
08-04-2022,84.63,83.27,85.00,82.70,14466488.00
11-04-2022,85.90,84.60,86.30,84.40,12758301.00
12-04-2022,84.03,85.63,85.87,83.47,9722449.00
13-04-2022,85.27,84.03,86.00,83.77,11783874.00
18-04-2022,85.40,85.13,85.67,84.33,11647900.00
19-04-2022,86.87,86.20,88.67,85.67,20122110.00
20-04-2022,88.93,87.33,89.53,87.10,19126711.00
21-04-2022,90.03,89.63,90.27,88.93,14769541.00
22-04-2022,89.57,89.93,90.70,89.23,9118742.00
25-04-2022,85.17,88.53,88.63,84.93,11069540.00
26-04-2022,86.03,86.27,86.67,85.17,9422276.00
27-04-2022,84.90,85.07,86.00,83.40,9978492.00
28-04-2022,86.63,86.33,86.83,85.07,10515726.00
29-04-2022,84.00,87.60,87.60,83.73,8675536.00
02-05-2022,84.43,83.97,84.87,82.67,5749158.00
04-05-2022,83.90,84.57,85.80,83.40,5412290.00
05-05-2022,83.80,84.67,85.43,83.47,5343427.00
06-05-2022,84.17,83.33,85.17,81.73,9120449.00
09-05-2022,82.67,83.77,83.77,80.90,8241164.00
10-05-2022,81.33,82.93,84.20,80.83,10375582.00
11-05-2022,80.30,82.27,82.93,79.23,9743582.00
12-05-2022,81.40,80.30,82.67,79.70,20411762.00
13-05-2022,80.87,83.33,83.50,80.47,15067646.00
16-05-2022,81.40,82.67,82.67,80.43,8377926.00
17-05-2022,82.93,84.00,84.00,81.07,18261022.00
18-05-2022,78.70,82.67,82.93,78.50,43268313.00
19-05-2022,78.17,78.00,78.93,77.00,14576700.00
20-05-2022,77.97,79.33,79.47,77.43,16158630.00
23-05-2022,78.47,78.40,79.07,77.80,11658604.00
24-05-2022,79.13,78.47,79.73,78.13,12302782.00
25-05-2022,76.53,79.53,79.63,76.13,11544857.00
26-05-2022,76.13,76.67,77.20,74.57,15855279.00
27-05-2022,76.10,76.93,77.03,75.43,7744647.00
30-05-2022,77.40,76.83,77.50,76.03,8148419.00
31-05-2022,77.33,77.13,78.33,77.00,13283897.00
01-06-2022,78.80,78.00,79.37,77.83,11124014.00
02-06-2022,78.43,79.23,79.50,77.33,10849768.00
03-06-2022,78.87,78.70,79.33,78.57,9043106.00
06-06-2022,78.37,78.87,79.07,77.63,8108561.00
07-06-2022,78.80,78.23,79.67,77.77,9867341.00
08-06-2022,78.67,79.10,79.43,78.43,8635359.00
09-06-2022,78.87,78.67,80.47,77.93,21408262.00
10-06-2022,78.17,78.60,78.67,77.67,10782311.00
13-06-2022,75.73,77.53,77.53,75.37,10082086.00
14-06-2022,73.50,75.70,76.00,73.37,15682933.00
15-06-2022,72.80,74.00,74.00,72.20,9591153.00
16-06-2022,72.10,73.70,73.80,71.67,9931675.00
17-06-2022,69.47,72.00,72.00,69.03,15767609.00
20-06-2022,68.70,70.07,70.30,67.70,12775588.00
21-06-2022,70.50,69.37,70.83,69.03,9446372.00
22-06-2022,70.37,70.63,71.07,69.07,12427782.00
23-06-2022,71.53,70.67,71.73,70.10,11052835.00
24-06-2022,72.33,71.73,72.43,71.53,7871986.00
27-06-2022,73.03,73.33,73.90,72.53,11887157.00
28-06-2022,72.20,73.00,73.77,71.70,15087448.00
29-06-2022,73.20,72.40,73.37,72.00,12602600.00
30-06-2022,74.25,73.95,76.00,73.70,34424950.00
01-07-2022,74.55,75.00,75.15,72.85,22029311.00
04-07-2022,74.35,74.70,74.70,73.30,12798384.00
05-07-2022,73.60,74.50,74.50,73.40,17464685.00
06-07-2022,72.60,74.00,74.60,72.25,21856830.00
07-07-2022,72.70,73.30,73.30,72.15,17846046.00
08-07-2022,72.70,73.00,73.25,72.20,11692575.00
11-07-2022,72.55,72.70,72.85,72.05,11548617.00
12-07-2022,70.65,72.45,72.50,70.40,16729806.00
13-07-2022,70.40,70.65,70.95,70.25,13704386.00
14-07-2022,70.75,70.40,71.00,70.20,8917897.00
15-07-2022,70.35,70.70,71.10,70.00,7310057.00
18-07-2022,71.15,70.70,71.25,70.35,6697658.00
19-07-2022,72.00,71.25,72.15,71.00,7585011.00
20-07-2022,72.35,73.00,73.10,72.20,10590222.00
21-07-2022,72.55,72.35,72.75,71.35,9537111.00
22-07-2022,72.15,72.90,72.95,72.00,8740051.00
25-07-2022,72.10,72.20,72.35,71.25,10124538.00
26-07-2022,71.65,72.10,72.15,71.45,8202210.00
27-07-2022,72.10,71.75,72.30,71.40,8726504.00
28-07-2022,72.05,72.05,72.65,71.90,11715079.00
29-07-2022,72.95,72.50,73.25,72.25,16983013.00
01-08-2022,71.10,72.50,72.50,70.80,30168751.00
02-08-2022,71.95,71.40,72.10,71.25,15655719.00
03-08-2022,71.00,72.30,72.40,70.75,18893830.00
04-08-2022,71.20,71.50,71.60,70.55,25024630.00
05-08-2022,73.10,71.45,73.30,70.90,48935830.00
08-08-2022,73.35,73.10,73.75,72.40,16091607.00
10-08-2022,72.50,73.65,73.70,72.40,29085499.00
11-08-2022,70.95,71.35,71.35,70.60,16670568.00
12-08-2022,71.55,70.95,71.70,70.80,12294928.00
16-08-2022,73.15,71.75,73.25,71.25,26772067.00
17-08-2022,73.35,73.30,73.80,73.20,18542371.00
18-08-2022,72.65,73.50,73.65,72.45,18850835.00
19-08-2022,72.15,72.65,72.75,71.80,13357442.00
22-08-2022,71.30,72.10,72.15,70.90,13714233.00
23-08-2022,71.05,70.80,71.60,70.75,11581331.00
24-08-2022,70.55,71.25,71.45,70.25,19584234.00
25-08-2022,71.45,70.90,71.95,70.80,13090152.00
26-08-2022,71.90,71.85,72.30,71.70,10546886.00
29-08-2022,71.05,71.15,71.45,70.35,14387511.00
30-08-2022,71.50,71.45,71.85,71.35,14284488.00
01-09-2022,71.15,71.00,71.50,70.80,17854146.00
02-09-2022,71.30,71.45,71.55,70.85,13349456.00
05-09-2022,70.95,71.50,71.65,70.85,11658725.00
06-09-2022,70.70,71.15,71.20,70.60,10545363.00
07-09-2022,71.40,70.80,71.55,70.70,19254652.00
08-09-2022,73.05,71.90,73.75,71.80,24401527.00
09-09-2022,72.55,73.30,73.40,72.35,9906299.00
12-09-2022,72.65,72.85,72.95,71.95,21463828.00
13-09-2022,72.25,73.05,73.10,72.00,11555561.00
14-09-2022,71.80,71.95,72.25,71.60,9024753.00
15-09-2022,71.55,72.00,72.20,71.30,9985561.00
16-09-2022,69.95,71.55,71.70,69.50,25993505.00
19-09-2022,69.65,70.25,70.40,69.60,13595148.00
20-09-2022,69.10,70.00,70.15,69.05,20693245.00
21-09-2022,68.45,69.30,69.30,68.20,24710729.00
22-09-2022,67.80,68.20,68.25,67.50,15775504.00
23-09-2022,67.45,67.80,67.95,67.20,13578280.00
26-09-2022,66.05,67.20,67.40,65.90,19194238.00
27-09-2022,66.75,66.40,67.10,66.10,14140070.00
28-09-2022,65.75,66.40,66.40,65.55,15974881.00
29-09-2022,65.90,66.10,67.30,65.20,24560255.00
30-09-2022,66.95,65.95,67.20,65.50,16041026.00
03-10-2022,66.70,67.25,68.05,66.55,13288633.00
04-10-2022,67.30,68.00,68.00,67.10,10513995.00
06-10-2022,67.75,67.95,68.10,67.35,13000167.00
07-10-2022,67.45,67.65,67.85,67.05,14879891.00
10-10-2022,67.55,67.00,67.70,66.85,9042660.00
11-10-2022,65.95,67.70,67.70,65.80,14905741.00
12-10-2022,67.25,66.00,67.85,65.95,14459865.00
13-10-2022,66.85,67.30,67.75,66.45,9890714.00
14-10-2022,66.30,68.00,68.00,66.20,10119406.00
17-10-2022,66.05,66.50,66.70,65.55,10841451.00
18-10-2022,66.70,66.40,66.80,66.10,8153819.00
19-10-2022,67.00,66.80,67.25,66.45,7157066.00
20-10-2022,67.85,66.65,68.20,66.55,19426605.00
21-10-2022,67.50,67.40,68.05,67.20,9542021.00
24-10-2022,68.05,68.25,68.45,67.95,3745316.00
25-10-2022,67.90,67.85,68.25,67.20,12609170.00
27-10-2022,68.30,67.90,68.50,67.85,10404151.00
28-10-2022,68.45,68.50,69.20,68.05,9586976.00
31-10-2022,68.25,68.50,68.80,68.10,10549071.00
01-11-2022,68.50,68.40,68.65,68.15,7840600.00
02-11-2022,68.60,68.55,69.05,68.35,6785578.00
03-11-2022,68.70,68.50,69.15,68.50,6466688.00
04-11-2022,68.50,68.65,69.00,68.30,8971834.00
07-11-2022,70.10,68.85,70.30,68.70,13032194.00
09-11-2022,69.55,70.35,70.50,69.40,10410493.00
10-11-2022,69.60,69.45,69.85,69.40,5974147.00
11-11-2022,69.75,69.95,70.00,69.40,8792244.00
14-11-2022,69.45,70.00,70.15,68.85,10222979.00
15-11-2022,69.60,69.80,69.80,69.15,6477425.00
16-11-2022,69.30,69.65,69.70,69.05,5638631.00
17-11-2022,69.10,69.45,69.70,69.00,5264089.00
18-11-2022,69.25,69.35,69.50,68.75,6231903.00
21-11-2022,70.05,69.35,70.40,69.15,14820946.00
22-11-2022,70.00,70.05,70.20,69.45,13456815.00
23-11-2022,69.90,70.05,70.30,69.70,7949141.00
24-11-2022,72.05,70.15,72.70,70.15,29444796.00
25-11-2022,73.35,72.20,73.95,71.65,22422462.00
02-12-2022,77.00,76.20,77.20,76.00,18220281.00
05-12-2022,77.05,77.05,77.70,76.70,10947250.00
06-12-2022,75.80,77.00,77.40,75.65,10369691.00
07-12-2022,76.70,76.75,77.80,76.15,20909569.00
08-12-2022,76.75,77.45,77.50,76.50,11996025.00
09-12-2022,77.00,77.50,78.35,76.70,24702723.00
12-12-2022,78.90,77.00,79.05,76.80,20455051.00
13-12-2022,77.75,79.20,79.25,77.45,16409283.00
14-12-2022,78.15,77.90,78.70,77.55,16268873.00
15-12-2022,78.10,78.15,78.50,77.80,9555282.00
19-12-2022,77.95,77.20,78.15,76.60,12681354.00
20-12-2022,77.80,77.95,78.15,77.05,9368946.00
21-12-2022,76.40,77.80,78.15,76.15,8618706.00
23-12-2022,73.00,74.60,75.10,72.80,15286836.00
27-12-2022,75.10,74.90,75.20,74.35,5815217.00
28-12-2022,74.80,74.85,75.15,74.45,6599386.00
29-12-2022,74.75,74.80,75.15,74.10,10191269.00
02-01-2023,78.00,77.00,78.55,76.45,16878293.00
03-01-2023,78.50,78.00,78.90,77.70,11509540.00
04-01-2023,78.10,78.90,79.50,77.40,11974831.00
05-01-2023,79.10,78.75,79.25,78.35,14449439.00
06-01-2023,80.05,79.30,80.80,79.00,19075518.00
10-01-2023,80.60,80.55,80.80,79.70,11953196.00
11-01-2023,83.55,80.85,84.05,80.60,44099830.00
12-01-2023,81.60,83.75,83.90,81.20,16440461.00
13-01-2023,82.30,81.55,82.45,81.10,8018070.00
16-01-2023,82.25,82.45,82.70,81.75,9367702.00
17-01-2023,81.60,82.30,82.70,81.00,8776414.00
18-01-2023,82.15,81.45,82.90,81.25,7980164.00
19-01-2023,83.25,82.15,83.40,81.90,9857262.00
20-01-2023,82.90,83.20,83.55,82.75,9411562.00
23-01-2023,83.45,83.15,83.60,82.60,6972772.00
24-01-2023,83.15,83.80,83.80,82.70,7069973.00
25-01-2023,82.50,82.90,83.40,82.30,8188678.00
27-01-2023,81.00,82.55,83.05,80.00,10838959.00
30-01-2023,81.75,81.00,82.50,80.40,10783051.00
31-01-2023,81.75,82.50,83.30,81.15,21752061.00
01-02-2023,79.80,81.70,81.95,78.35,20031377.00
02-02-2023,78.55,79.60,80.00,78.15,10817457.00
03-02-2023,78.45,78.90,78.90,76.90,11116563.00
06-02-2023,79.25,78.50,79.60,78.10,9507602.00
07-02-2023,79.05,79.25,79.75,78.65,6876198.00
08-02-2023,79.25,79.00,79.40,78.30,6093832.00
09-02-2023,79.60,79.20,80.70,78.90,8609974.00
10-02-2023,79.80,79.65,80.45,79.50,6286269.00
13-02-2023,79.50,80.00,80.25,79.25,6470826.00
14-02-2023,79.15,79.45,79.85,78.65,5013825.00
16-02-2023,79.80,79.85,80.05,79.20,8603036.00
17-02-2023,80.55,79.90,81.05,79.60,9145422.00
20-02-2023,79.55,80.70,80.95,79.30,6867570.00
21-02-2023,79.20,80.00,80.25,79.00,4633296.00
22-02-2023,77.30,78.65,78.80,77.10,9878001.00
23-02-2023,77.20,77.70,77.90,76.75,6290065.00
24-02-2023,77.35,77.50,77.65,77.10,6103178.00
27-02-2023,76.85,77.35,77.40,76.20,6945215.00
28-02-2023,76.05,76.90,77.05,75.80,10000095.00
01-03-2023,76.95,76.00,77.20,75.85,6694749.00
02-03-2023,77.90,77.00,78.15,76.80,5273986.00
03-03-2023,78.20,78.15,78.45,77.70,5522499.00
08-03-2023,79.20,78.75,79.35,78.50,5969771.00
10-03-2023,78.90,78.50,79.25,77.50,6305111.00
13-03-2023,77.80,78.50,78.90,77.65,7151999.00
14-03-2023,77.70,77.85,78.10,77.25,8316642.00
15-03-2023,78.60,78.25,79.05,78.00,8183051.00
16-03-2023,79.90,79.00,80.45,78.75,27348566.00
17-03-2023,79.30,80.60,80.85,78.85,22904016.00
20-03-2023,80.60,79.20,80.70,78.70,18090005.00
21-03-2023,79.55,80.80,81.15,79.30,9942587.00
22-03-2023,79.60,79.80,79.95,79.10,8162089.00
