Date,Close,Open,High,Low,Volume
04-02-2022,234.30,237.25,238.50,231.55,56705951.00
07-02-2022,230.20,234.00,234.75,228.50,24171083.00
08-02-2022,231.25,230.30,232.30,229.05,16201280.00
09-02-2022,230.15,232.30,233.00,228.75,11893807.00
10-02-2022,232.25,228.70,233.40,227.75,19563580.00
11-02-2022,232.45,232.00,233.30,229.80,18096561.00
14-02-2022,219.45,226.00,226.00,218.50,22745228.00
15-02-2022,223.00,221.00,223.50,218.55,12875311.00
16-02-2022,222.75,223.80,224.70,221.85,11231596.00
17-02-2022,222.65,223.05,224.35,220.85,14024149.00
18-02-2022,221.90,222.65,223.45,221.50,8670947.00
21-02-2022,218.00,220.30,221.30,217.15,16129017.00
22-02-2022,214.85,215.00,216.90,213.00,25749340.00
23-02-2022,215.95,216.80,217.50,215.05,11014283.00
24-02-2022,208.50,210.00,213.30,207.00,41341523.00
25-02-2022,213.95,211.50,216.50,210.55,23633656.00
28-02-2022,215.85,213.20,216.45,210.80,20034633.00
02-03-2022,215.30,214.40,216.60,212.45,19295994.00
03-03-2022,219.40,216.05,220.20,216.00,28532668.00
04-03-2022,225.50,217.70,227.40,217.00,66835736.00
07-03-2022,224.95,222.00,227.00,220.10,45258669.00
08-03-2022,226.90,223.90,228.45,223.75,36036336.00
09-03-2022,229.25,227.70,231.40,226.10,42294906.00
10-03-2022,232.00,231.00,232.50,227.85,36132245.00
11-03-2022,236.35,231.90,237.10,230.15,41699184.00
14-03-2022,239.00,236.25,239.45,235.30,35113638.00
15-03-2022,237.85,239.00,241.40,235.90,32998305.00
16-03-2022,242.60,240.00,243.00,239.10,21629521.00
17-03-2022,244.90,245.25,245.40,242.70,34223740.00
21-03-2022,244.50,245.90,247.75,243.80,27975134.00
22-03-2022,249.75,244.55,250.75,243.55,36945426.00
23-03-2022,252.00,251.45,253.70,248.50,40491633.00
24-03-2022,254.85,251.95,256.50,251.45,38239419.00
25-03-2022,253.35,255.30,255.75,249.25,29284643.00
28-03-2022,257.05,254.00,258.00,252.55,24916402.00
29-03-2022,254.60,257.05,257.50,253.75,18122714.00
