Date,Close,Open,High,Low,Volume
04-02-2022,657.35,647.00,665.90,647.00,3284062.00
07-02-2022,651.15,659.40,666.65,645.60,2768417.00
08-02-2022,660.10,655.60,662.90,644.25,3184065.00
09-02-2022,663.05,662.85,666.60,657.85,2200828.00
10-02-2022,672.55,666.20,678.00,664.10,4284880.00
11-02-2022,671.40,668.95,675.00,659.65,3122555.00
14-02-2022,626.55,656.30,665.00,604.30,6491576.00
15-02-2022,640.65,635.85,643.45,617.10,4001839.00
16-02-2022,638.00,641.15,646.15,635.00,1939683.00
17-02-2022,638.20,641.80,649.45,634.40,2382178.00
18-02-2022,632.85,635.20,642.50,631.15,1458069.00
21-02-2022,623.10,631.90,635.00,621.25,1857572.00
22-02-2022,622.00,611.00,624.70,602.50,3353278.00
23-02-2022,614.70,624.50,627.95,612.85,2339927.00
24-02-2022,569.35,599.00,604.50,566.00,5487481.00
25-02-2022,598.60,576.15,605.95,576.15,4524909.00
28-02-2022,627.45,591.50,629.80,590.20,7142843.00
02-03-2022,644.60,625.00,654.00,622.15,8894940.00
03-03-2022,654.70,650.50,662.50,649.30,5940599.00
04-03-2022,631.95,654.70,660.40,628.70,7605400.00
07-03-2022,637.15,630.00,643.00,622.50,5507113.00
08-03-2022,629.85,639.95,639.95,613.10,5422987.00
09-03-2022,627.15,629.00,634.25,618.00,3784214.00
10-03-2022,650.75,632.00,652.15,624.00,5201836.00
11-03-2022,669.75,648.50,673.00,647.20,8172290.00
14-03-2022,664.85,667.00,673.00,658.60,2529995.00
15-03-2022,641.15,659.00,660.80,635.00,4754984.00
16-03-2022,655.25,648.65,662.75,647.50,3150421.00
17-03-2022,685.10,662.00,692.95,660.35,9991824.00
21-03-2022,681.30,689.70,699.00,679.00,4609771.00
22-03-2022,696.50,678.85,699.90,677.45,4811589.00
23-03-2022,704.40,702.90,710.00,692.25,8964532.00
24-03-2022,715.10,704.50,719.50,704.20,6069039.00
25-03-2022,721.35,718.00,726.50,710.25,16121868.00
28-03-2022,730.10,722.00,731.45,718.15,8935680.00
29-03-2022,753.90,731.50,764.75,726.65,7285191.00
30-03-2022,717.55,750.00,750.70,714.95,5994838.00
31-03-2022,732.65,724.00,737.50,720.55,5946576.00
01-04-2022,732.20,735.00,749.95,728.50,5079937.00
04-04-2022,732.70,732.50,738.00,726.80,4901374.00
05-04-2022,733.45,737.90,746.00,730.15,3524949.00
06-04-2022,737.40,730.50,746.50,729.80,4111360.00
07-04-2022,728.05,735.00,742.75,725.75,2954985.00
08-04-2022,756.60,734.45,762.05,731.20,8125253.00
11-04-2022,767.40,756.00,775.00,756.00,7926472.00
12-04-2022,755.90,769.40,773.75,738.15,8595936.00
13-04-2022,766.35,760.00,781.10,760.00,6722613.00
18-04-2022,767.85,764.00,775.85,758.40,5866740.00
19-04-2022,746.40,772.70,790.00,736.10,7301285.00
20-04-2022,738.85,758.00,758.00,732.50,4679947.00
21-04-2022,734.20,744.00,747.25,725.50,3995936.00
22-04-2022,723.40,730.00,737.00,722.05,2244262.00
25-04-2022,715.70,711.00,719.50,695.25,4935672.00
26-04-2022,721.20,722.35,724.30,713.05,3260695.00
27-04-2022,720.60,713.00,734.20,711.00,3391522.00
28-04-2022,729.10,729.85,734.25,722.65,4079934.00
29-04-2022,727.15,731.10,740.00,723.30,3622889.00
