Date,Close,Open,High,Low,volume
04-02-2022,841.70,861.40,861.40,836.15,2080640.00
07-02-2022,829.50,841.00,844.70,822.20,1801701.00
08-02-2022,832.05,830.00,837.70,817.15,2729631.00
09-02-2022,840.20,838.00,845.95,833.15,2165223.00
10-02-2022,853.05,844.00,857.75,830.15,6949276.00
11-02-2022,853.65,853.00,861.95,835.60,5146850.00
14-02-2022,825.05,841.75,845.40,780.70,4202165.00
15-02-2022,854.60,828.00,858.00,820.40,2728328.00
16-02-2022,864.25,854.60,878.50,854.60,4401342.00
17-02-2022,862.25,872.00,877.30,859.00,2041741.00
18-02-2022,852.00,857.20,869.75,847.15,1616856.00
21-02-2022,841.10,845.20,850.50,832.00,2255753.00
22-02-2022,853.25,827.00,856.00,823.35,2768989.00
23-02-2022,850.30,856.00,869.70,845.70,2265060.00
24-02-2022,795.80,818.10,831.90,790.50,5677898.00
25-02-2022,807.60,812.70,825.00,802.00,3470318.00
28-02-2022,790.85,807.00,807.00,786.75,5026913.00
02-03-2022,778.35,785.50,810.75,769.00,5779175.00
03-03-2022,762.05,792.00,793.15,760.05,2763929.00
04-03-2022,732.30,750.00,756.00,730.00,4829850.00
07-03-2022,690.55,719.85,719.85,681.75,7008637.00
08-03-2022,700.65,690.55,703.05,671.15,4000294.00
09-03-2022,734.85,705.00,739.90,700.00,5490287.00
10-03-2022,738.85,761.95,762.50,735.00,4064470.00
11-03-2022,734.80,734.00,741.80,728.70,2364792.00
14-03-2022,743.20,734.80,746.00,725.45,3563695.00
15-03-2022,761.20,745.00,769.20,745.00,4811450.00
16-03-2022,773.65,768.85,776.00,765.00,2277631.00
17-03-2022,794.40,785.00,799.90,777.00,3787641.00
21-03-2022,783.50,789.60,791.10,780.10,3008019.00
22-03-2022,785.60,783.00,789.05,769.00,5436875.00
23-03-2022,774.10,790.00,794.20,772.10,3277274.00
24-03-2022,765.65,773.70,780.00,762.65,2248114.00
25-03-2022,764.75,773.00,773.00,758.20,3148869.00
28-03-2022,769.25,764.90,772.70,751.30,4719388.00
29-03-2022,773.35,771.00,783.00,770.70,3519610.00
30-03-2022,793.35,779.30,795.00,775.90,4407033.00
31-03-2022,806.55,798.00,813.00,798.00,7059986.00
01-04-2022,826.55,811.00,829.50,807.70,3406177.00
04-04-2022,833.70,818.00,836.00,810.00,4163250.00
05-04-2022,836.55,837.00,852.00,833.70,2669967.00
06-04-2022,827.85,838.70,838.70,822.95,2049292.00
07-04-2022,834.30,826.00,840.30,822.30,2913537.00
08-04-2022,857.40,830.00,860.65,827.05,4145522.00
11-04-2022,856.85,854.95,861.35,846.20,2922901.00
12-04-2022,860.80,850.00,867.40,843.30,2961076.00
13-04-2022,866.10,862.50,875.00,862.35,3695363.00
18-04-2022,874.10,866.10,876.00,858.10,3076843.00
19-04-2022,872.50,878.10,887.80,865.10,3301212.00
20-04-2022,881.25,873.45,889.90,873.45,2208791.00
21-04-2022,911.00,881.25,914.00,880.75,3206906.00
22-04-2022,920.65,903.80,927.05,889.05,4924905.00
25-04-2022,904.00,914.35,928.00,895.10,5476626.00
26-04-2022,940.15,906.60,942.90,906.60,6384561.00
27-04-2022,926.85,930.00,940.70,922.95,3154605.00
28-04-2022,922.90,945.00,945.00,918.50,2869224.00
29-04-2022,922.10,928.90,939.25,918.00,3467791.00
02-05-2022,921.35,915.00,933.70,909.70,2740823.00
04-05-2022,896.10,917.90,923.95,891.05,2408261.00
05-05-2022,899.05,910.00,921.00,895.65,2690817.00
06-05-2022,893.85,890.00,914.80,887.30,4247088.00
09-05-2022,895.30,880.00,901.90,875.00,1790691.00
10-05-2022,888.35,895.30,910.95,884.10,2436623.00
11-05-2022,887.05,888.60,898.40,876.50,3048794.00
12-05-2022,865.25,884.90,889.00,853.70,4908042.00
13-05-2022,889.50,879.80,905.00,870.10,4956950.00
16-05-2022,903.35,895.00,908.90,892.70,2856221.00
17-05-2022,910.80,907.00,917.00,898.15,3469290.00
18-05-2022,913.30,910.00,922.75,905.20,3203522.00
19-05-2022,882.55,901.00,913.00,880.15,2658159.00
20-05-2022,903.80,896.90,911.35,888.65,3426756.00
23-05-2022,941.90,911.00,943.45,910.25,6613972.00
24-05-2022,946.85,949.00,960.40,943.10,4546511.00
25-05-2022,928.40,953.80,953.80,923.35,1363358.00
26-05-2022,929.80,930.10,933.50,914.80,2384886.00
27-05-2022,952.85,940.00,958.00,923.00,3269005.00
30-05-2022,998.35,972.25,1011.75,957.05,11690785.00
31-05-2022,1034.35,997.95,1043.00,992.00,13301109.00
01-06-2022,1047.35,1035.00,1057.25,1014.80,7889745.00
02-06-2022,1044.55,1044.95,1057.95,1035.00,4081658.00
03-06-2022,1028.65,1050.10,1056.55,1025.70,2660682.00
06-06-2022,1035.95,1028.00,1048.60,1018.00,3443406.00
07-06-2022,1042.55,1034.80,1045.00,1018.10,2162861.00
08-06-2022,1045.00,1056.95,1056.95,1034.25,4293398.00
09-06-2022,1045.10,1036.00,1049.30,1032.00,2757706.00
10-06-2022,1036.50,1033.00,1043.50,1026.60,2425545.00
13-06-2022,1004.30,1023.65,1029.00,998.55,4047155.00
14-06-2022,1019.25,1000.00,1025.00,999.05,3614327.00
15-06-2022,1025.50,1024.65,1039.30,1020.00,3333753.00
16-06-2022,1005.25,1037.70,1037.70,997.00,3255301.00
17-06-2022,997.65,1000.00,1007.95,983.15,5318310.00
20-06-2022,982.70,1005.00,1008.00,979.10,3722583.00
21-06-2022,997.95,982.70,1004.75,981.80,6263423.00
22-06-2022,983.80,995.15,1003.95,972.65,2629024.00
23-06-2022,1027.70,986.00,1031.60,985.20,7303072.00
24-06-2022,1072.05,1036.90,1074.50,1031.60,7273273.00
27-06-2022,1082.70,1089.80,1095.00,1072.05,6316257.00
28-06-2022,1112.00,1082.00,1121.45,1079.45,11020641.00
29-06-2022,1111.75,1106.00,1115.45,1090.70,5052023.00
30-06-2022,1093.15,1109.30,1117.50,1088.05,4165189.00
01-07-2022,1107.35,1092.40,1113.35,1064.00,2839545.00
04-07-2022,1091.20,1101.00,1102.00,1079.40,2784613.00
05-07-2022,1081.95,1091.00,1102.00,1078.00,3675577.00
06-07-2022,1104.55,1082.70,1112.00,1080.60,4957228.00
07-07-2022,1133.30,1119.00,1138.95,1114.60,4917004.00
08-07-2022,1133.60,1184.95,1194.90,1126.15,10482265.00
11-07-2022,1165.05,1128.95,1167.90,1122.65,4520273.00
12-07-2022,1146.65,1164.00,1164.45,1142.00,2452632.00
13-07-2022,1140.35,1153.20,1156.50,1138.10,3379695.00
14-07-2022,1142.65,1134.80,1151.35,1131.20,2423203.00
