Date,Close,Open,High,low,volume
04-02-2022,8550.55,8639.90,8680.00,8492.10,404421.00
07-02-2022,8511.65,8545.00,8615.00,8400.00,446099.00
08-02-2022,8599.45,8616.70,8789.10,8436.05,998182.00
09-02-2022,8949.45,8622.00,8989.80,8622.00,1403525.00
10-02-2022,8805.45,9050.00,9050.00,8789.90,811887.00
11-02-2022,8737.15,8738.00,8865.00,8673.30,671572.00
14-02-2022,8366.40,8500.00,8615.05,8325.00,995540.00
15-02-2022,8622.70,8410.00,8664.25,8356.50,682766.00
16-02-2022,8582.95,8720.00,8736.40,8544.00,422704.00
17-02-2022,8552.45,8575.00,8658.30,8525.00,305313.00
18-02-2022,8569.10,8550.00,8645.95,8520.05,385273.00
21-02-2022,8612.70,8544.05,8724.25,8443.60,626049.00
22-02-2022,8622.80,8495.00,8659.80,8384.85,620828.00
23-02-2022,8698.85,8690.00,8789.95,8655.20,557954.00
24-02-2022,8210.15,8402.00,8587.25,8155.00,947351.00
25-02-2022,8356.10,8260.00,8466.00,8209.55,1344343.00
28-02-2022,8314.15,8300.00,8339.95,8114.10,961303.00
02-03-2022,7814.20,8197.70,8199.00,7764.00,1783011.00
03-03-2022,7595.55,7924.00,7939.95,7558.50,1050154.00
04-03-2022,7247.30,7482.00,7519.20,7130.00,2511658.00
07-03-2022,6769.05,6992.00,7029.85,6730.00,2469925.00
08-03-2022,6806.30,6705.00,6855.00,6536.55,2840376.00
09-03-2022,7026.85,6874.00,7078.10,6777.00,1827539.00
10-03-2022,7211.80,7255.00,7399.85,7177.30,1535070.00
11-03-2022,7102.55,7200.00,7200.00,7080.00,1024452.00
14-03-2022,7316.75,7050.00,7335.00,7012.00,1023874.00
15-03-2022,7420.10,7321.00,7620.00,7318.00,1586111.00
16-03-2022,7485.80,7570.00,7595.75,7440.00,584457.00
17-03-2022,7693.00,7574.00,7741.95,7530.00,1133271.00
21-03-2022,7705.55,7844.00,7940.00,7650.00,1354525.00
22-03-2022,7766.65,7714.95,7809.00,7536.65,1093502.00
23-03-2022,7644.85,7800.00,7862.80,7611.00,808597.00
24-03-2022,7556.95,7599.30,7655.00,7526.35,565485.00
25-03-2022,7415.45,7515.00,7542.30,7385.00,686637.00
28-03-2022,7477.35,7425.00,7539.00,7413.00,599515.00
29-03-2022,7439.15,7535.00,7563.10,7401.00,446257.00
30-03-2022,7598.60,7521.00,7629.95,7490.00,589206.00
31-03-2022,7561.30,7598.55,7652.75,7528.00,434317.00
01-04-2022,7700.05,7574.00,7729.00,7517.35,449386.00
04-04-2022,7774.80,7650.00,7794.00,7631.65,491029.00
05-04-2022,7761.85,7781.00,7900.00,7730.00,488132.00
06-04-2022,7744.20,7739.00,7849.00,7675.00,393628.00
07-04-2022,7640.50,7659.75,7748.00,7621.05,458566.00
08-04-2022,7557.95,7708.80,7730.50,7515.40,849846.00
11-04-2022,7565.40,7614.85,7616.55,7485.00,496254.00
12-04-2022,7618.35,7540.00,7711.50,7500.00,598047.00
13-04-2022,7469.50,7618.35,7704.95,7440.00,527991.00
18-04-2022,7573.50,7374.50,7599.00,7355.00,551783.00
19-04-2022,7435.10,7580.00,7678.00,7350.00,425990.00
20-04-2022,7666.70,7499.00,7699.00,7472.60,542622.00
21-04-2022,7879.20,7709.80,7899.80,7686.05,772708.00
22-04-2022,7904.50,7789.00,8016.65,7731.00,960818.00
25-04-2022,7912.35,7810.00,7998.00,7810.00,701521.00
26-04-2022,7906.75,8000.00,8067.50,7830.00,801963.00
27-04-2022,7788.40,7851.00,7865.00,7720.00,570519.00
