Date,Close,Open,High,Low,Volume
04-02-2022,1833.16,1840.00,1840.00,1820.28,44924.00
07-02-2022,1807.28,1833.16,1842.00,1791.10,48469.00
08-02-2022,1808.72,1820.50,1821.42,1799.00,39385.00
09-02-2022,1813.50,1809.00,1823.72,1802.14,48243.00
10-02-2022,1813.98,1810.10,1821.29,1801.00,50422.00
11-02-2022,1781.52,1813.50,1813.50,1762.00,95980.00
14-02-2022,1767.02,1771.60,1780.02,1742.98,42917.00
15-02-2022,1818.71,1767.02,1832.32,1757.14,50170.00
16-02-2022,1822.38,1816.70,1839.74,1803.35,40410.00
17-02-2022,1812.60,1840.00,1840.00,1796.02,113840.00
18-02-2022,1800.93,1798.80,1823.24,1781.11,96328.00
21-02-2022,1810.61,1797.70,1816.00,1782.50,37036.00
22-02-2022,1811.10,1798.50,1819.34,1773.96,63087.00
23-02-2022,1792.66,1811.10,1820.96,1783.50,59248.00
24-02-2022,1774.48,1773.00,1796.87,1756.00,112105.00
25-02-2022,1771.51,1780.00,1789.50,1760.00,80989.00
28-02-2022,1763.92,1770.00,1776.93,1733.00,157873.00
02-03-2022,1784.46,1760.00,1788.94,1745.70,86631.00
03-03-2022,1743.65,1788.00,1788.00,1738.96,66964.00
04-03-2022,1739.18,1730.00,1754.40,1702.10,51705.00
07-03-2022,1734.20,1710.00,1740.78,1704.00,66542.00
08-03-2022,1726.33,1730.00,1753.00,1696.50,97724.00
09-03-2022,1714.56,1738.00,1738.00,1706.56,71122.00
10-03-2022,1764.91,1730.00,1768.52,1722.10,66489.00
11-03-2022,1732.74,1760.00,1761.80,1723.00,73279.00
14-03-2022,1736.72,1747.74,1747.74,1715.80,38665.00
15-03-2022,1746.16,1742.00,1756.00,1724.50,62211.00
16-03-2022,1782.34,1761.00,1788.55,1747.10,48390.00
17-03-2022,1828.42,1778.60,1837.48,1778.60,100890.00
21-03-2022,1787.64,1835.00,1837.00,1781.35,40335.00
22-03-2022,1742.92,1772.70,1787.00,1725.36,140224.00
23-03-2022,1734.42,1753.50,1755.00,1726.10,59279.00
24-03-2022,1740.81,1732.80,1750.00,1726.00,43181.00
25-03-2022,1716.12,1747.80,1747.80,1707.50,53217.00
28-03-2022,1686.00,1725.00,1734.90,1679.00,80111.00
29-03-2022,1692.19,1690.00,1700.00,1682.00,83759.00
30-03-2022,1729.80,1710.80,1734.76,1702.26,74970.00
31-03-2022,1738.06,1725.00,1743.38,1720.29,62281.00
01-04-2022,1755.72,1738.06,1760.77,1725.00,31159.00
04-04-2022,1782.02,1761.00,1786.65,1746.20,39784.00
05-04-2022,1802.32,1782.60,1806.00,1771.84,39782.00
06-04-2022,1821.68,1797.50,1826.00,1786.30,47058.00
07-04-2022,1818.84,1815.00,1825.00,1798.50,37487.00
08-04-2022,1845.28,1815.20,1849.60,1806.96,34281.00
11-04-2022,1842.64,1841.80,1852.02,1821.30,37669.00
12-04-2022,1841.78,1827.53,1849.90,1822.25,54900.00
13-04-2022,1838.24,1847.50,1854.90,1825.00,27330.00
18-04-2022,1856.15,1830.00,1868.60,1830.00,53773.00
19-04-2022,1794.86,1854.05,1872.50,1783.22,65942.00
20-04-2022,1830.52,1819.89,1841.90,1799.00,88177.00
21-04-2022,1820.30,1805.10,1856.79,1775.10,185341.00
22-04-2022,1818.78,1804.01,1824.94,1783.21,108707.00
25-04-2022,1817.47,1790.00,1835.00,1785.01,84507.00
26-04-2022,1841.58,1830.00,1854.42,1820.00,70593.00
27-04-2022,1822.30,1815.20,1846.57,1815.00,67430.00
28-04-2022,1842.77,1823.85,1853.48,1817.50,78958.00
29-04-2022,1833.03,1841.00,1866.56,1826.58,63398.00
02-05-2022,1844.06,1826.90,1848.00,1821.00,41597.00
04-05-2022,1808.78,1828.11,1847.21,1797.06,60857.00
05-05-2022,1760.38,1831.02,1837.84,1750.60,63313.00
06-05-2022,1699.54,1749.98,1759.97,1697.50,89997.00
09-05-2022,1650.44,1699.34,1705.53,1645.00,115147.00
10-05-2022,1652.06,1664.00,1668.00,1640.10,67177.00
11-05-2022,1651.24,1652.06,1663.91,1623.49,61787.00
12-05-2022,1622.00,1648.45,1648.45,1612.68,71776.00
13-05-2022,1640.30,1649.00,1656.23,1630.49,55439.00
16-05-2022,1621.88,1650.20,1652.00,1613.44,52483.00
17-05-2022,1632.34,1639.00,1639.00,1616.46,86305.00
18-05-2022,1634.36,1632.34,1641.84,1621.20,96009.00
19-05-2022,1609.42,1617.00,1624.50,1600.00,70502.00
20-05-2022,1686.20,1632.10,1696.00,1625.00,152477.00
23-05-2022,1699.43,1706.00,1737.00,1691.13,103173.00
24-05-2022,1718.71,1714.90,1727.83,1685.31,92410.00
25-05-2022,1728.38,1728.00,1758.60,1720.34,81501.00
26-05-2022,1765.25,1743.50,1773.00,1732.14,105581.00
27-05-2022,1764.10,1775.00,1782.70,1748.72,42527.00
30-05-2022,1770.69,1770.00,1798.69,1763.48,52058.00
31-05-2022,1769.15,1770.50,1815.76,1745.70,359537.00
01-06-2022,1724.16,1758.00,1784.84,1718.01,58247.00
02-06-2022,1739.38,1724.00,1747.64,1702.00,68899.00
03-06-2022,1717.10,1756.30,1756.74,1712.56,52686.00
06-06-2022,1699.69,1717.10,1723.68,1695.31,36001.00
