Date,Close,Open,High,Low,Volume
04-02-2022,134.2,137,137.45,133.9,7213085
07-02-2022,135.15,134.2,136.35,134.2,10562489
08-02-2022,135,135.45,135.65,132.8,8721631
09-02-2022,135.05,135.3,135.6,133.85,5144026
10-02-2022,136.45,135.15,136.85,134.3,6081460
11-02-2022,137.15,134.45,137.7,134.45,8426925
14-02-2022,132.5,134.7,136.45,131.8,7705072
15-02-2022,135.35,132.1,135.8,130.65,12674466
16-02-2022,133.2,134.9,136.7,132.85,12946623
17-02-2022,132.75,134.5,134.9,132.45,5811964
18-02-2022,132.35,132.75,134.1,131.9,6760078
21-02-2022,131.95,132.4,134.15,131.15,12212740
22-02-2022,132.1,131.05,132.5,127.9,13578566
23-02-2022,130.2,132,133.45,129.85,9263264
24-02-2022,124.4,127,129,123.65,18045779
25-02-2022,130.35,125,131,125,10424521
28-02-2022,133.5,128.95,133.95,128.8,13262687
02-03-2022,130.95,132.8,135,130.45,12587947
03-03-2022,132.1,132.1,133.45,130.25,15628119
04-03-2022,130.2,132,133.35,129.75,15883138
07-03-2022,130.05,129,130.5,126.9,14985637
08-03-2022,133.75,130.5,135.8,130.5,28572640
09-03-2022,131.5,133.95,133.95,131.1,14286413
10-03-2022,132.95,132.9,135,131.95,13101323
11-03-2022,131.95,132.9,133.4,131.5,8669803
14-03-2022,132.15,131.95,132.9,130.75,5670284
15-03-2022,131.05,131.3,132.95,130.65,6895190
16-03-2022,132.75,132.4,133,131.55,5561866
17-03-2022,132.9,133.5,134.3,131.9,13995384
21-03-2022,132.9,132.9,133.4,131.7,9172207
22-03-2022,132.85,133.3,134.15,131.75,10343712
23-03-2022,133.45,132.9,133.75,132.2,11892811
24-03-2022,135.4,133.5,135.7,133.35,11276181
25-03-2022,134.75,136,136.15,134.2,7266868
28-03-2022,134.8,135.5,135.5,133.8,7778682
29-03-2022,134.35,135,135.3,133.9,5116935
30-03-2022,135.3,135,135.95,133.45,24047012
31-03-2022,135,134.3,135.6,134.3,11615450
01-04-2022,142.95,138,143.45,136.8,32589741
04-04-2022,144.3,141.85,146,141.5,15437496
05-04-2022,149.1,145.4,150.6,144.75,23958626
06-04-2022,153,150.35,155.3,148.3,52737388
07-04-2022,153.5,152.95,158,152.2,37738903
08-04-2022,152.05,154.9,154.9,151.2,17585569
11-04-2022,153.1,152.45,154.6,151.85,15583159
12-04-2022,152.6,152.7,153.6,150.85,11306524
13-04-2022,153.95,153.05,156.2,152.75,19454061
18-04-2022,163.2,154.9,163.75,154.5,82098517
19-04-2022,160.65,164.9,166.35,159.5,38522118
20-04-2022,160.5,162.15,163.2,159,20047692
21-04-2022,162.7,161.6,163.4,160.35,21966151
22-04-2022,160.45,161.25,163,159.85,9922564
25-04-2022,156.1,158.6,160.9,155.4,12008027
26-04-2022,157,157.6,158.45,156,11735823
27-04-2022,155.65,156.8,159.6,155.2,17873048
28-04-2022,159.7,158,160.1,155.25,29123808
29-04-2022,156.2,160.4,161,155.7,28941216
02-05-2022,157.5,154.6,158.35,153,13368198
04-05-2022,158.65,158,161.9,157.3,24511385
05-05-2022,158.4,159.6,160.75,157,33396072
06-05-2022,159,156.45,160.35,156.05,22604305
09-05-2022,159,158.95,159.8,155.95,22958742
10-05-2022,155.45,158.95,161.25,154.5,20322427
11-05-2022,152.55,154.05,156.95,150.05,13794764
12-05-2022,148.55,151.1,153,148,11818556
13-05-2022,144.15,150,150,143.5,22913410
16-05-2022,148.25,143.4,148.9,141.65,16286682
17-05-2022,150.5,147.5,150.75,146.3,13925542
18-05-2022,148.5,150.5,150.9,147.2,17611218
19-05-2022,148,147.5,148.55,145.75,11701170
20-05-2022,149.6,150.95,150.95,147.65,17841739
23-05-2022,150.15,154.4,155.35,148.4,26055890
24-05-2022,146.9,150.15,151.85,146.3,16581141
25-05-2022,152.65,148.4,153.15,147.4,19926619
26-05-2022,154.15,153.15,155.1,150.6,22698086
27-05-2022,150.45,155,155,149.5,10245727
30-05-2022,150.9,150.05,152.5,148.8,12513990
31-05-2022,156,151.1,158,150.35,124665699
01-06-2022,156.8,156.45,160.2,156.25,16084988
02-06-2022,159.05,155.5,159.3,154.25,17646975
03-06-2022,155,159,159.45,154.7,14063328
06-06-2022,155.2,155.8,158.65,154.6,18485464
07-06-2022,157.25,155.2,157.7,153.5,14911957
08-06-2022,157.05,156.1,159.75,156.1,16416591
09-06-2022,155.15,155.3,158,154.7,13821409
10-06-2022,155.25,154.1,156.6,154,7908849
13-06-2022,148.9,154,154.9,147.75,19208167
14-06-2022,151.4,148.9,152.45,148.9,17034328
15-06-2022,148.15,152.55,153.7,147.55,15172295
16-06-2022,142.95,150.1,150.15,142,18494040
17-06-2022,140.45,141.1,144.45,139.55,21387729
20-06-2022,137.25,140.45,141.4,135,16578770
21-06-2022,139.95,138.2,141.25,137.75,51398446
22-06-2022,137.65,139.95,139.95,136.55,8317317
23-06-2022,136.5,137.9,139.15,135.65,11257409
24-06-2022,136.6,137.9,137.9,134.95,21879039
27-06-2022,138.5,137.25,139.05,136.75,12872030
28-06-2022,138.6,138.5,139.3,137.15,14272044
29-06-2022,141.75,137.8,143.1,136.8,53487394
30-06-2022,142.9,142.3,143.95,141.15,19270932
