Date,Close,Open,High,Low,Volume
04-02-2022,169.60,170.00,172.70,169.05,17434362.00
07-02-2022,172.10,170.70,173.30,169.20,11723574.00
08-02-2022,166.95,172.00,173.00,166.50,13231599.00
09-02-2022,163.95,167.90,169.60,163.10,17938632.00
10-02-2022,169.10,165.85,170.40,165.15,26763203.00
11-02-2022,168.15,167.95,170.50,167.10,12884995.00
14-02-2022,166.20,168.90,176.35,165.20,44604164.00
15-02-2022,164.15,170.00,170.00,156.40,31146458.00
16-02-2022,168.55,164.50,168.90,164.50,15960268.00
17-02-2022,171.75,168.55,172.40,168.50,24640791.00
18-02-2022,167.90,171.20,171.75,166.70,11829998.00
21-02-2022,163.40,167.40,167.55,163.05,14222260.00
22-02-2022,164.95,166.50,166.50,163.25,29399172.00
23-02-2022,160.75,166.25,166.40,159.65,21301826.00
24-02-2022,156.65,160.75,162.40,156.00,28766189.00
25-02-2022,159.50,159.40,160.40,156.80,20225258.00
28-02-2022,160.65,160.50,161.85,155.80,20210070.00
02-03-2022,162.95,165.65,168.35,161.90,41103406.00
03-03-2022,170.30,168.30,171.80,162.90,42345653.00
04-03-2022,165.25,170.10,171.00,163.85,32658756.00
07-03-2022,186.95,167.10,189.80,167.10,132538155.00
08-03-2022,179.10,190.00,194.95,177.80,73127816.00
09-03-2022,175.40,183.00,183.80,173.85,51977091.00
10-03-2022,174.35,168.25,176.90,165.00,62112814.00
11-03-2022,175.70,172.50,176.40,171.70,26187452.00
14-03-2022,171.80,174.00,175.50,170.60,20214021.00
15-03-2022,163.75,168.30,169.50,161.65,42333127.00
16-03-2022,167.30,166.00,167.85,161.85,25545119.00
17-03-2022,170.30,166.60,171.50,164.60,66314748.00
21-03-2022,172.55,171.70,175.00,170.30,20614652.00
22-03-2022,175.45,176.20,181.25,173.80,39742745.00
23-03-2022,175.60,176.50,177.70,174.85,10994784.00
24-03-2022,177.45,178.90,180.40,176.50,20332589.00
25-03-2022,175.80,178.50,179.25,175.10,13608989.00
28-03-2022,176.35,175.50,177.90,174.65,15253027.00
29-03-2022,171.00,174.95,175.20,170.55,14210783.00
30-03-2022,162.00,163.00,164.85,161.15,95239532.00
31-03-2022,163.90,161.85,165.25,161.15,33523683.00
01-04-2022,167.95,163.90,168.25,163.55,28335224.00
04-04-2022,168.05,166.95,169.05,165.35,17745513.00
05-04-2022,171.85,170.25,172.75,169.30,20054934.00
06-04-2022,172.80,170.60,173.50,170.30,12969222.00
07-04-2022,168.85,170.60,173.80,168.20,24550313.00
08-04-2022,170.90,169.00,171.30,168.70,9529874.00
11-04-2022,171.20,171.00,172.75,169.55,9724979.00
12-04-2022,168.90,171.00,172.20,168.20,13184429.00
13-04-2022,174.25,171.40,174.85,170.70,23458303.00
18-04-2022,175.80,176.00,179.00,175.10,23916912.00
19-04-2022,177.15,177.30,179.80,176.00,17880666.00
20-04-2022,175.50,176.90,177.35,174.80,10076403.00
