Date,Close,Open,High,Low,Volume
04-02-2022,157.28,159.00,160.01,156.82,5496948.00
07-02-2022,160.24,158.29,160.72,157.50,5901928.00
08-02-2022,157.54,160.50,161.55,156.38,6805678.00
09-02-2022,157.01,157.95,158.74,156.52,7375489.00
10-02-2022,159.04,157.54,161.78,157.54,14385251.00
11-02-2022,155.85,157.65,159.00,155.29,15053348.00
14-02-2022,151.39,155.21,155.21,150.94,9082032.00
15-02-2022,152.59,151.50,152.89,149.25,14284546.00
16-02-2022,147.22,148.95,150.75,146.78,15202546.00
17-02-2022,147.75,148.69,149.14,147.00,12304164.00
18-02-2022,146.78,147.60,150.11,146.44,10950483.00
21-02-2022,148.61,146.78,149.25,146.66,8011979.00
22-02-2022,148.61,145.65,148.84,143.85,10204544.00
23-02-2022,148.54,148.76,149.62,148.20,4870098.00
24-02-2022,143.32,145.50,147.00,142.43,9858778.00
25-02-2022,147.98,144.41,148.43,144.11,8190704.00
28-02-2022,156.86,148.09,157.69,147.04,23953789.00
02-03-2022,158.18,155.81,159.86,154.65,15376962.00
03-03-2022,163.39,158.02,164.51,158.02,14854167.00
04-03-2022,161.29,161.96,163.12,158.21,9595738.00
07-03-2022,159.60,157.88,161.40,156.64,13226740.00
08-03-2022,159.26,160.50,167.55,157.35,21307868.00
09-03-2022,156.07,161.36,162.00,154.95,17123219.00
10-03-2022,156.64,158.25,158.55,155.29,12387415.00
11-03-2022,159.34,156.98,159.75,155.81,9744638.00
14-03-2022,160.05,159.34,160.50,157.20,9448995.00
15-03-2022,157.24,159.90,161.29,156.22,10896214.00
16-03-2022,157.01,158.44,158.85,156.71,8950331.00
17-03-2022,158.66,159.00,159.56,155.81,21348466.00
21-03-2022,153.68,162.00,162.00,153.38,13348062.00
22-03-2022,156.52,153.75,157.12,153.04,9963973.00
23-03-2022,157.57,157.12,157.95,156.22,7056588.00
24-03-2022,158.06,157.50,158.40,156.00,8391719.00
25-03-2022,157.24,158.06,158.10,155.02,7382003.00
28-03-2022,159.22,157.24,159.56,155.62,9617684.00
29-03-2022,158.48,160.39,160.84,157.28,7852887.00
30-03-2022,162.82,159.82,164.02,158.85,40663864.00
31-03-2022,162.60,161.66,162.94,161.06,7744520.00
01-04-2022,168.79,162.07,169.31,162.07,29747971.00
04-04-2022,170.55,169.50,171.08,168.04,7430648.00
05-04-2022,174.79,172.46,175.95,170.18,12875616.00
06-04-2022,177.49,173.51,178.84,173.36,12865257.00
07-04-2022,173.51,176.96,179.92,172.50,8935434.00
08-04-2022,174.45,174.75,175.58,172.95,5060077.00
11-04-2022,173.18,174.38,176.66,171.30,9310367.00
12-04-2022,174.82,171.94,175.24,171.45,11077431.00
13-04-2022,172.12,176.21,176.51,170.66,8261580.00
18-04-2022,173.32,172.12,173.85,170.66,14302443.00
19-04-2022,170.89,174.52,175.01,169.88,11277707.00
20-04-2022,170.25,171.19,171.75,167.59,7360981.00
21-04-2022,170.44,169.58,171.49,168.94,8350750.00
22-04-2022,169.09,168.79,172.65,168.52,9024187.00
25-04-2022,167.14,167.96,170.18,166.12,8282013.00
26-04-2022,173.70,170.25,174.15,168.26,11541867.00
27-04-2022,171.98,173.51,174.64,170.59,9510157.00
28-04-2022,176.70,175.05,177.19,172.54,13783610.00
29-04-2022,170.81,176.32,177.26,170.29,6769749.00
02-05-2022,173.66,169.42,174.94,169.42,9475765.00
04-05-2022,178.20,174.75,179.59,174.68,17343483.00
05-05-2022,175.31,178.80,180.49,174.64,12361452.00
06-05-2022,178.80,173.59,179.36,173.59,13286390.00
09-05-2022,183.86,179.25,184.84,176.74,40589105.00
10-05-2022,182.74,184.35,186.26,181.88,23248121.00
11-05-2022,179.40,183.00,186.00,179.02,11559464.00
12-05-2022,176.92,179.25,181.42,174.11,19904246.00
13-05-2022,177.22,179.89,179.89,174.82,11305915.00
16-05-2022,176.40,176.62,178.42,174.75,5970397.00
17-05-2022,178.99,176.18,179.48,174.56,11603203.00
18-05-2022,170.92,178.12,178.69,170.32,14386163.00
19-05-2022,171.22,167.25,172.24,166.24,11314202.00
20-05-2022,171.79,173.06,174.82,170.06,11361211.00
23-05-2022,168.45,174.00,174.00,168.15,8679376.00
24-05-2022,170.25,168.75,172.24,168.45,12252644.00
25-05-2022,168.64,171.30,172.05,166.91,8296961.00
26-05-2022,170.40,170.25,171.82,167.92,10612841.00
27-05-2022,168.52,171.45,171.49,167.55,6322869.00
30-05-2022,171.19,168.38,172.42,168.22,6979319.00
31-05-2022,174.68,171.19,176.36,171.15,19763659.00
01-06-2022,171.90,174.11,174.75,171.11,7711507.00
02-06-2022,169.16,172.05,172.05,168.41,7553924.00
03-06-2022,169.50,169.50,171.08,168.75,12061889.00
06-06-2022,168.60,169.50,170.59,167.66,9519970.00
07-06-2022,168.75,167.96,169.69,167.78,6827397.00
08-06-2022,168.41,167.29,169.88,167.29,8430098.00
09-06-2022,168.64,168.52,169.28,165.75,7101031.00
10-06-2022,168.34,166.54,170.59,166.54,6764430.00
13-06-2022,166.76,166.39,169.12,166.12,7640082.00
14-06-2022,167.96,166.76,170.48,166.50,12767972.00
15-06-2022,166.69,168.19,169.72,166.42,4423923.00
16-06-2022,162.26,167.51,168.22,161.74,8912500.00
17-06-2022,158.51,160.65,162.68,157.69,14756420.00
20-06-2022,156.19,156.82,158.18,154.76,5551705.00
21-06-2022,157.76,156.79,159.86,155.48,7094715.00
22-06-2022,157.99,158.10,158.44,156.15,7693228.00
23-06-2022,156.41,157.57,158.78,154.61,9835894.00
24-06-2022,156.71,159.00,159.00,155.81,7124329.00
27-06-2022,158.66,160.01,160.01,157.24,13159043.00
28-06-2022,157.72,157.16,158.66,156.26,5077566.00
29-06-2022,158.32,156.82,161.25,156.34,31127189.00
30-06-2022,158.93,158.62,161.06,157.80,16695542.00
01-07-2022,154.88,158.29,159.68,153.90,8350248.00
04-07-2022,158.02,153.79,159.11,153.79,15133710.00
05-07-2022,160.61,158.25,161.96,158.21,15062998.00
06-07-2022,157.84,160.50,160.61,156.15,14402646.00
07-07-2022,159.41,159.94,161.48,159.07,10551977.00
08-07-2022,164.10,160.50,164.55,159.49,12856693.00
11-07-2022,162.79,165.00,165.94,162.15,8119560.00
12-07-2022,160.12,161.32,162.71,159.86,6377772.00
13-07-2022,160.84,160.88,162.52,160.09,7657504.00
14-07-2022,161.14,164.44,164.44,159.64,8173803.00
15-07-2022,156.98,162.75,162.75,156.60,16550610.00
18-07-2022,157.69,157.76,159.30,156.68,11366741.00
19-07-2022,157.50,157.43,158.62,157.20,11191797.00
20-07-2022,156.94,158.48,159.22,156.38,10635776.00
21-07-2022,159.22,157.46,159.90,157.09,9346166.00
22-07-2022,157.50,160.46,160.46,157.12,6954150.00
25-07-2022,155.93,157.50,158.25,155.55,4976396.00
26-07-2022,156.82,155.93,158.25,155.32,8588487.00
27-07-2022,157.99,157.43,158.25,157.05,6907016.00
28-07-2022,160.65,158.25,161.10,157.54,9894482.00
29-07-2022,160.46,162.30,163.35,159.64,11574801.00
01-08-2022,164.21,161.29,165.11,160.61,9102418.00
02-08-2022,166.95,164.96,167.55,163.01,13311561.00
03-08-2022,167.70,167.51,168.56,164.74,9304529.00
