Date,Close,Open,High,Low,Volume
04-02-2022,1172.10,1194.00,1194.00,1165.15,856452.00
07-02-2022,1144.00,1161.80,1171.70,1131.90,1519928.00
08-02-2022,1131.15,1145.00,1149.00,1117.35,1511667.00
09-02-2022,1125.70,1132.00,1140.80,1118.00,1741687.00
10-02-2022,1146.25,1125.00,1150.00,1108.00,2030639.00
11-02-2022,1133.30,1144.85,1144.85,1124.00,1942394.00
14-02-2022,1096.30,1125.00,1127.00,1090.00,2448602.00
15-02-2022,1119.95,1096.00,1123.65,1086.20,1245681.00
16-02-2022,1122.15,1128.00,1131.50,1102.00,1294606.00
17-02-2022,1126.35,1128.00,1132.85,1111.90,1182862.00
18-02-2022,1150.50,1124.80,1160.90,1111.35,1734791.00
21-02-2022,1134.75,1145.00,1150.50,1123.00,1020384.00
22-02-2022,1100.95,1106.00,1126.50,1096.10,2115917.00
23-02-2022,1101.75,1108.00,1114.95,1098.70,1743770.00
24-02-2022,1054.20,1078.00,1091.50,1040.70,2088599.00
25-02-2022,1055.60,1060.00,1077.70,1049.00,1415912.00
28-02-2022,1060.15,1049.00,1062.80,1016.85,1566146.00
02-03-2022,1121.15,1060.00,1125.00,1056.05,3762611.00
03-03-2022,1081.30,1120.10,1126.75,1075.15,1105747.00
04-03-2022,1057.35,1071.50,1077.40,1049.75,1586668.00
07-03-2022,1028.90,1026.60,1048.80,1023.00,852067.00
08-03-2022,1031.95,1009.00,1039.75,1003.50,1580056.00
09-03-2022,1025.20,1035.80,1041.95,1020.80,1409037.00
10-03-2022,1050.05,1039.00,1057.10,1036.05,1580932.00
11-03-2022,1058.50,1050.00,1066.10,1041.65,698477.00
14-03-2022,1069.70,1047.00,1072.60,1040.15,1278905.00
15-03-2022,1070.55,1069.05,1079.35,1060.00,1068905.00
16-03-2022,1085.75,1075.90,1097.80,1075.00,1616431.00
17-03-2022,1128.55,1096.00,1140.00,1088.10,1867149.00
21-03-2022,1095.80,1139.00,1139.00,1094.00,849763.00
22-03-2022,1097.65,1092.50,1101.85,1070.00,998586.00
23-03-2022,1092.25,1110.45,1117.70,1079.10,1054362.00
24-03-2022,1088.95,1088.00,1097.50,1084.30,526345.00
25-03-2022,1092.60,1094.00,1101.30,1085.60,598919.00
28-03-2022,1077.00,1092.90,1103.80,1056.00,926829.00
29-03-2022,1101.25,1111.00,1114.95,1086.40,2864668.00
30-03-2022,1121.80,1110.00,1127.65,1103.50,1287813.00
31-03-2022,1121.45,1128.00,1128.00,1114.45,749342.00
01-04-2022,1113.35,1119.00,1120.80,1089.00,1519104.00
04-04-2022,1126.30,1113.35,1129.90,1104.00,1802143.00
05-04-2022,1118.35,1123.05,1130.20,1111.00,773451.00
06-04-2022,1107.10,1111.00,1122.45,1101.50,1354847.00
07-04-2022,1108.85,1103.50,1115.75,1100.00,966698.00
08-04-2022,1160.45,1109.00,1165.00,1109.00,2390240.00
11-04-2022,1142.50,1160.00,1160.00,1133.05,1318874.00
12-04-2022,1149.10,1141.00,1153.00,1119.05,1506254.00
13-04-2022,1146.90,1150.00,1157.90,1140.00,509293.00
18-04-2022,1173.40,1145.00,1181.95,1133.60,2382085.00
19-04-2022,1124.70,1184.95,1184.95,1112.00,971382.00
20-04-2022,1128.35,1127.50,1135.70,1117.70,645638.00
21-04-2022,1144.55,1125.20,1148.60,1125.20,731288.00
22-04-2022,1137.25,1133.50,1140.00,1122.00,824665.00
25-04-2022,1091.25,1120.00,1129.20,1087.45,1073577.00
26-04-2022,1094.85,1106.00,1106.00,1083.60,922785.00
27-04-2022,1074.20,1093.00,1098.90,1061.20,1202603.00
28-04-2022,1116.85,1068.50,1125.00,1066.40,1643102.00
29-04-2022,1105.50,1114.50,1132.60,1066.25,3259418.00
02-05-2022,1081.05,1088.95,1093.40,1064.20,1925857.00
04-05-2022,1077.85,1081.05,1096.95,1065.00,1169983.00
05-05-2022,1083.65,1082.00,1115.00,1080.00,814132.00
06-05-2022,1059.15,1073.00,1081.00,1052.20,1350057.00
09-05-2022,1064.45,1034.00,1074.90,1033.20,1201027.00
10-05-2022,1081.05,1070.00,1096.80,1062.00,1410429.00
11-05-2022,1087.15,1079.00,1104.45,1079.00,1886732.00
12-05-2022,1060.60,1075.50,1081.95,1048.00,1457225.00
13-05-2022,1044.95,1075.00,1079.00,1038.55,1108831.00
16-05-2022,1044.65,1045.00,1054.00,1034.15,590395.00
17-05-2022,1070.40,1042.00,1075.35,1036.30,545334.00
18-05-2022,1073.90,1063.50,1085.00,1061.00,775879.00
19-05-2022,1056.65,1073.90,1073.90,1047.00,1069562.00
20-05-2022,1071.35,1081.00,1083.50,1061.35,941175.00
23-05-2022,1076.50,1062.00,1091.90,1062.00,620152.00
24-05-2022,1073.40,1072.75,1083.60,1057.25,847697.00
25-05-2022,1096.00,1078.00,1116.00,1078.00,3185769.00
26-05-2022,1105.35,1097.00,1109.80,1073.40,1177148.00
27-05-2022,1121.10,1115.00,1129.40,1102.85,687512.00
30-05-2022,1148.40,1125.40,1150.00,1118.85,580398.00
31-05-2022,1174.15,1154.00,1180.90,1139.60,2649820.00
01-06-2022,1152.75,1162.00,1176.00,1144.05,683413.00
02-06-2022,1143.75,1140.20,1148.00,1121.30,950691.00
03-06-2022,1141.15,1154.00,1161.85,1138.95,917466.00
06-06-2022,1142.00,1135.60,1149.60,1134.10,1199089.00
07-06-2022,1134.30,1135.05,1138.00,1113.50,848821.00
08-06-2022,1136.05,1144.25,1159.20,1129.20,1387431.00
09-06-2022,1163.70,1136.95,1167.25,1130.55,1142045.00
10-06-2022,1154.90,1154.75,1163.70,1152.25,611509.00
13-06-2022,1133.70,1137.05,1161.80,1130.35,1014220.00
14-06-2022,1132.10,1125.00,1145.00,1124.15,768306.00
15-06-2022,1125.75,1140.00,1144.70,1122.80,947417.00
16-06-2022,1105.15,1131.35,1137.65,1099.90,1385141.00
17-06-2022,1082.10,1105.15,1114.35,1075.90,1535565.00
20-06-2022,1075.95,1078.15,1092.80,1069.15,532685.00
21-06-2022,1096.35,1080.10,1098.50,1077.35,659138.00
22-06-2022,1070.45,1095.50,1096.00,1062.60,560136.00
23-06-2022,1073.85,1077.00,1083.00,1061.45,895014.00
24-06-2022,1078.55,1072.10,1092.90,1072.10,492066.00
27-06-2022,1084.55,1083.90,1096.60,1077.05,793805.00
28-06-2022,1078.05,1085.00,1090.00,1068.00,572706.00
29-06-2022,1067.65,1070.05,1088.00,1051.55,1224658.00
30-06-2022,1081.60,1073.50,1092.65,1057.55,1569542.00
01-07-2022,1099.85,1085.45,1105.35,1075.00,696341.00
