Date,Close,Open,High,Low,Volume
04-02-2022,530.30,542.15,546.40,527.30,25332894.00
07-02-2022,533.25,531.90,549.00,525.25,52289545.00
08-02-2022,531.35,535.50,537.65,519.00,26567546.00
09-02-2022,535.25,534.95,536.50,527.75,14856155.00
10-02-2022,540.55,537.10,543.95,534.40,18659370.00
11-02-2022,529.60,536.25,537.70,527.10,14607095.00
14-02-2022,501.40,515.00,515.60,499.70,26153332.00
15-02-2022,524.80,502.00,526.85,497.10,23842951.00
16-02-2022,516.70,526.50,528.00,514.00,19773807.00
17-02-2022,512.95,520.00,520.00,511.15,16408356.00
18-02-2022,515.30,510.10,520.90,510.10,15111223.00
21-02-2022,511.85,511.55,517.50,504.65,16866932.00
22-02-2022,498.40,500.90,505.30,495.50,27108772.00
23-02-2022,498.70,503.00,505.35,497.25,13899433.00
24-02-2022,472.65,480.00,487.95,468.00,32356037.00
25-02-2022,482.95,480.00,491.90,479.30,21792287.00
28-02-2022,483.20,476.90,485.30,473.10,18069367.00
02-03-2022,474.25,478.00,479.80,467.00,22003848.00
03-03-2022,467.40,480.00,483.40,464.60,20358590.00
04-03-2022,461.95,460.30,470.90,457.65,20684268.00
07-03-2022,440.30,447.50,453.95,433.45,33720472.00
08-03-2022,440.30,438.00,442.10,425.00,42510207.00
09-03-2022,451.70,442.00,454.30,438.55,32331325.00
10-03-2022,468.70,469.90,476.65,461.65,34553299.00
11-03-2022,470.35,466.40,474.80,462.00,22091309.00
14-03-2022,485.15,471.00,486.00,470.55,27750689.00
15-03-2022,485.85,489.00,490.50,480.65,27204899.00
16-03-2022,492.75,493.00,494.30,489.40,16211288.00
17-03-2022,501.90,499.00,503.50,498.30,22947673.00
21-03-2022,490.60,502.00,502.00,489.00,19064060.00
22-03-2022,493.70,490.60,495.80,477.25,26157969.00
23-03-2022,490.65,498.50,502.40,489.20,15800195.00
24-03-2022,487.10,485.00,494.80,483.50,18174877.00
25-03-2022,490.70,491.75,493.30,486.60,11541196.00
28-03-2022,497.50,490.95,498.60,481.95,16738684.00
29-03-2022,495.00,500.00,501.40,491.70,14301429.00
30-03-2022,494.30,499.30,500.40,492.30,16461225.00
31-03-2022,493.55,494.30,497.55,492.20,10240982.00
01-04-2022,508.20,491.00,509.75,491.00,18527226.00
04-04-2022,512.40,509.30,514.90,506.00,16257176.00
05-04-2022,509.40,514.40,516.40,507.70,13602384.00
06-04-2022,513.95,507.00,515.20,506.00,13738275.00
07-04-2022,514.95,510.05,519.90,510.05,19620958.00
08-04-2022,516.10,519.50,519.50,512.35,13572638.00
11-04-2022,514.90,513.50,522.00,513.20,12370288.00
12-04-2022,512.85,512.75,516.70,504.35,14460680.00
13-04-2022,517.70,514.30,520.90,513.75,15440525.00
18-04-2022,509.50,512.00,515.00,504.00,14492183.00
19-04-2022,511.80,513.25,520.95,505.10,20362934.00
20-04-2022,509.30,512.00,513.70,507.00,11881305.00
21-04-2022,516.30,513.40,518.00,512.20,10035638.00
22-04-2022,500.60,512.90,513.50,499.00,16760456.00
25-04-2022,494.75,495.00,499.20,490.05,14057444.00
26-04-2022,505.50,499.00,507.90,498.45,12137213.00
27-04-2022,497.25,500.00,502.80,491.85,12367342.00
28-04-2022,507.50,499.15,510.00,496.50,12154792.00
29-04-2022,496.30,508.10,512.50,494.00,12894773.00
02-05-2022,491.00,492.65,495.00,481.30,18590895.00
04-05-2022,479.65,492.00,496.45,477.50,14645323.00
05-05-2022,480.00,485.00,494.00,478.65,14130385.00
06-05-2022,483.95,471.00,486.10,471.00,16710020.00
09-05-2022,475.90,477.10,483.70,473.80,13544947.00
10-05-2022,475.20,477.00,482.55,473.50,10884328.00
11-05-2022,476.55,475.25,479.00,463.65,14771351.00
12-05-2022,462.65,473.00,473.00,456.35,18947096.00
13-05-2022,444.65,469.45,477.00,439.75,61403008.00
16-05-2022,455.00,445.00,461.50,438.85,27940958.00
17-05-2022,467.30,458.30,469.65,456.15,16880698.00
18-05-2022,458.00,467.90,468.60,457.10,15644497.00
