Date,Close,Open,High,Low,Volume
04-02-2022,24724,24805,25224,24625,34121
07-02-2022,24865,24489,25125,24300,39058
08-02-2022,24764,24920,25029,24507,29111
09-02-2022,25466,24925,25599,24677,32205
10-02-2022,25247,25467,25559,25183,19294
11-02-2022,24900,24900,25174,24680,19479
14-02-2022,23589,24550,24630,23511,35182
15-02-2022,24909,23605,24972,23589,53569
16-02-2022,24916,24931,25184,24565,35980
17-02-2022,24723,25189,25189,24579,30441
18-02-2022,24349,24590,24740,24110,36614
21-02-2022,24678,24340,24993,24050,65698
22-02-2022,24393,23991,24550,23910,62313
23-02-2022,24603,24600,24799,24146,46904
24-02-2022,23152,24100,24229,22832,93756
25-02-2022,23983,23615,24090,23500,46935
28-02-2022,24414,23870,24496,23560,39994
02-03-2022,23932,24105,24200,23656,44055
03-03-2022,22827,24026,24226,22748,80837
04-03-2022,22550,22899,22899,22116,92672
07-03-2022,21990,22149,22370,21650,55412
08-03-2022,22583,21985,22703,21712,51900
09-03-2022,21964,22583,22697,21848,246411
10-03-2022,22197,22300,22749,22050,342415
11-03-2022,22394,22150,22434,21919,45123
14-03-2022,22361,22394,22424,21960,31448
15-03-2022,22800,22322,22850,22301,83329
16-03-2022,23595,22950,23714,22762,58201
17-03-2022,24090,23801,24385,23701,65189
21-03-2022,23390,24188,24188,23333,50943
22-03-2022,23373,23345,23669,23032,39121
23-03-2022,23413,23460,23650,23275,39577
24-03-2022,23273,23413,23630,23200,29951
25-03-2022,23259,23495,23495,23151,34349
28-03-2022,23197,23411,23449,22905,28362
29-03-2022,23645,23230,23740,23230,31238
30-03-2022,24089,23840,24150,23709,34361
31-03-2022,24032,24309,24329,23905,22006
01-04-2022,24612,23995,24651,23951,34916
04-04-2022,24765,24590,24820,24328,23605
05-04-2022,25157,24720,25270,24682,32602
06-04-2022,24733,25000,25278,24657,33643
07-04-2022,24742,24730,25066,24567,30112
08-04-2022,25260,24750,25290,24601,29884
11-04-2022,25203,25260,25492,24951,35975
12-04-2022,25122,25100,25399,24850,46653
13-04-2022,25363,25122,25515,25120,36907
18-04-2022,25435,25170,25500,24900,34525
19-04-2022,24860,25400,25775,24649,38327
20-04-2022,25713,25099,25775,24880,46140
21-04-2022,26056,25750,26100,25625,20640
22-04-2022,25855,25801,26015,25605,17334
25-04-2022,25649,25700,26023,25515,26453
26-04-2022,26171,25975,26330,25840,26557
27-04-2022,25574,26011,26080,25441,26064
28-04-2022,25872,25890,26075,25482,27928
29-04-2022,25921,25872,26340,25777,34276
02-05-2022,26230,25812,26284,25601,33592
04-05-2022,25193,26199,26199,25108,29265
05-05-2022,25088,25427,26100,25018,33435
06-05-2022,23973,24850,25059,23850,43939
09-05-2022,24058,23880,24187,23500,35191
10-05-2022,24300,24000,24516,23899,33489
11-05-2022,23382,24460,24740,23251,43449
12-05-2022,22627,23172,23382,22508,43801
13-05-2022,22565,23000,23080,22400,44842
16-05-2022,21980,22845,22845,21690,51382
17-05-2022,22035,22010,22223,21790,43000
18-05-2022,22501,22115,22587,21978,57388
19-05-2022,22216,21705,22300,21705,28366
20-05-2022,22001,22670,23975,21820,50620
23-05-2022,21941,21805,22174,21750,56200
24-05-2022,21647,22001,22098,21575,39072
25-05-2022,21253,21744,21779,21079,34128
26-05-2022,21691,21230,21866,20676,67112
27-05-2022,21927,21700,21986,21660,17959
30-05-2022,22460,21900,22639,21900,30978
31-05-2022,22116,22390,22441,22010,59959
01-06-2022,21791,22100,22172,21600,29100
02-06-2022,21634,21750,21779,21414,38808
03-06-2022,20638,21810,21848,20550,105159
06-06-2022,20002,20599,20599,19913,69175
07-06-2022,19785,19810,19991,19502,72631
08-06-2022,19583,19900,19904,19515,72900
09-06-2022,19198,19526,19574,19080,60727
10-06-2022,19178,18977,19331,18760,64693
13-06-2022,19135,18603,19345,18591,46950
14-06-2022,19208,19128,19424,18898,36353
15-06-2022,19314,19347,19375,19051,30378
16-06-2022,18711,19435,19489,18650,49042
17-06-2022,18045,18738,18738,17980,75217
20-06-2022,18414,17949,18503,17865,37518
21-06-2022,18551,18504,18680,18414,26893
22-06-2022,18496,18551,18590,18135,27406
23-06-2022,18533,18496,18646,18239,20770
24-06-2022,18793,18600,18937,18561,30264
27-06-2022,19101,18900,19186,18852,28772
28-06-2022,19236,19090,19352,18815,37399
29-06-2022,19384,19101,19591,19011,125068
30-06-2022,19009,19400,19449,18870,54351
01-07-2022,19213,19050,19272,18898,17699
04-07-2022,19292,19265,19527,19051,18325
05-07-2022,19565,19388,19693,19303,35621
06-07-2022,19990,19450,20100,19400,25203
07-07-2022,20014,20060,20172,19920,19677
08-07-2022,19932,20325,20348,19860,21583
11-07-2022,19854,19919,20040,19764,16712
12-07-2022,19962,19800,20500,19586,26628
13-07-2022,19736,19890,20082,19651,22871
14-07-2022,19562,19800,19945,19375,21860
15-07-2022,19701,19499,19793,19450,19672
18-07-2022,20055,19799,20099,19780,18144
19-07-2022,20068,19980,20187,19902,16234
20-07-2022,20208,20290,20375,20112,19629
21-07-2022,20442,20208,20510,20101,21427
22-07-2022,20780,20449,20887,20351,45573
25-07-2022,20679,20700,20815,20311,27434
26-07-2022,20652,20650,20740,20400,21917
27-07-2022,21023,20622,21130,20539,25232
28-07-2022,20415,21150,21622,20039,116841
29-07-2022,20498,20425,20714,20172,54333
01-08-2022,20947,20625,20985,20550,32066
02-08-2022,21110,20900,21288,20810,32690
03-08-2022,20956,21200,21290,20834,23018
04-08-2022,20687,21050,21249,20539,28415
05-08-2022,21237,20791,21277,20700,32998
08-08-2022,21195,21199,21272,21003,20766
10-08-2022,21104,21240,21450,20855,25095
11-08-2022,21192,21210,21450,21150,17013
12-08-2022,21152,21298,21300,21050,16651
16-08-2022,21440,21205,21599,21050,31930
17-08-2022,21420,21459,21800,21361,28971
18-08-2022,21622,21400,21672,21202,27367
19-08-2022,21423,21650,21775,21335,26082
22-08-2022,20931,21390,21471,20818,50277
23-08-2022,21126,20899,21295,20742,41131
24-08-2022,21348,21185,21444,21080,19541
25-08-2022,21712,21400,21935,21349,88611
26-08-2022,22097,21712,22200,21580,35767
29-08-2022,21895,21415,22226,21410,33834
30-08-2022,22073,21960,22550,21900,52105
01-09-2022,21586,22010,22050,21545,34381
02-09-2022,21088,21586,21607,21011,87390
05-09-2022,21293,21193,21367,20801,40749
06-09-2022,21654,21293,21700,21172,31067
07-09-2022,23181,21580,23574,21500,227529
08-09-2022,24458,23350,24880,23146,368238
09-09-2022,24505,24587,25550,24232,434043
12-09-2022,24135,24599,25000,23903,174699
13-09-2022,23932,24380,24947,23850,137542
14-09-2022,24131,23750,24299,23505,161087
15-09-2022,23912,24350,24536,23710,102259
16-09-2022,23317,23965,24067,23211,122585
19-09-2022,23401,23400,23735,23011,74383
20-09-2022,23242,23518,23722,22813,59048
21-09-2022,22023,23294,23408,21800,135651
22-09-2022,21703,21862,22680,21523,175114
23-09-2022,21201,21812,21999,21151,85503
26-09-2022,20748,21150,21350,20636,100129
27-09-2022,21163,20852,21483,20585,129321
28-09-2022,20844,21040,21150,20764,78914
29-09-2022,21287,20948,21588,20660,655229
30-09-2022,21033,21242,21990,20832,217810
03-10-2022,20719,21102,21219,20611,98780
04-10-2022,21009,20890,21168,20835,59059
06-10-2022,21321,21114,21446,20924,56605
07-10-2022,21283,21250,21345,20910,41735
10-10-2022,21142,21100,21245,20980,39434
11-10-2022,20802,21210,21250,20721,47401
12-10-2022,21012,20906,21097,20685,104160
13-10-2022,21075,20870,21131,20740,63593
14-10-2022,21188,21349,21499,20971,63317
17-10-2022,20831,20725,20990,20150,179228
18-10-2022,20967,20805,21190,20765,74047
19-10-2022,21324,21003,21475,21003,62446
20-10-2022,21895,21099,22090,21099,69424
21-10-2022,20935,21940,22198,20852,108220
24-10-2022,21044,21250,21250,21000,7274
25-10-2022,21299,21088,21350,20998,93534
27-10-2022,21512,21365,21585,21201,52523
28-10-2022,21779,21600,21820,21361,42127
31-10-2022,22740,21760,22800,21760,74994
01-11-2022,22639,22800,23000,22400,48449
02-11-2022,22327,22700,22941,22230,78457
03-11-2022,22815,22330,23037,22230,129148
04-11-2022,22963,22721,22999,22638,49873
07-11-2022,23406,22970,23495,22935,49932
09-11-2022,23081,23500,23676,22935,57776
10-11-2022,22399,23000,23072,22303,34107
