Date,Close,Open,High,Low,Volume
04-02-2022,893.95,882.90,902.85,881.35,4222492.00
07-02-2022,887.05,901.45,901.45,879.70,3494623.00
08-02-2022,894.10,886.00,895.95,882.00,4766558.00
09-02-2022,886.45,893.90,894.55,885.35,2874380.00
10-02-2022,894.30,891.40,896.25,880.00,3159839.00
11-02-2022,880.10,894.60,895.80,874.65,2682532.00
14-02-2022,864.85,870.00,886.65,862.20,5163415.00
15-02-2022,876.80,862.50,880.00,859.05,3219287.00
16-02-2022,868.85,876.00,881.15,867.10,2136415.00
17-02-2022,862.55,872.35,872.35,861.30,2275289.00
18-02-2022,862.90,862.55,867.90,856.40,1797851.00
21-02-2022,843.85,855.50,864.00,839.50,2305713.00
22-02-2022,845.80,836.00,849.00,824.60,3171552.00
23-02-2022,840.25,849.85,853.00,838.05,1979574.00
24-02-2022,818.25,830.60,836.95,815.00,3679222.00
25-02-2022,831.55,820.50,835.00,817.05,2098988.00
28-02-2022,843.90,821.00,847.00,821.00,4123139.00
02-03-2022,820.90,844.35,844.95,815.70,3807036.00
03-03-2022,820.90,832.80,832.80,817.00,2657776.00
04-03-2022,829.65,816.30,839.60,809.35,4082674.00
07-03-2022,822.65,818.00,829.00,809.10,3065234.00
08-03-2022,855.00,826.20,861.70,826.20,4864275.00
09-03-2022,868.25,863.40,885.80,860.00,7276355.00
10-03-2022,869.55,869.90,881.90,866.60,2899758.00
11-03-2022,902.00,872.00,907.00,869.05,7194497.00
14-03-2022,892.25,901.95,911.80,889.95,3861194.00
15-03-2022,891.65,893.70,908.00,881.35,4039746.00
16-03-2022,889.20,900.00,900.00,880.45,3134307.00
17-03-2022,911.60,892.20,915.00,892.20,5484100.00
21-03-2022,913.80,912.50,931.00,911.30,3878744.00
22-03-2022,914.10,913.80,922.00,902.50,2174495.00
23-03-2022,900.80,918.00,926.00,895.80,2578669.00
24-03-2022,908.85,886.00,914.70,885.50,3141478.00
25-03-2022,902.35,911.85,914.95,896.30,1571676.00
28-03-2022,905.90,908.90,910.90,899.30,1545077.00
29-03-2022,919.35,908.05,922.00,901.10,3177777.00
30-03-2022,920.60,922.00,922.00,908.40,2084073.00
31-03-2022,914.75,920.60,927.00,910.80,1901705.00
01-04-2022,908.70,914.00,919.00,904.10,1184766.00
04-04-2022,926.05,908.00,928.80,902.60,1876408.00
05-04-2022,929.10,928.00,940.70,924.15,2911697.00
06-04-2022,928.10,927.80,938.80,925.00,1881754.00
07-04-2022,930.95,928.10,948.00,926.85,2728625.00
08-04-2022,924.60,937.00,937.30,919.30,1453271.00
11-04-2022,925.40,920.00,933.55,918.60,1102625.00
12-04-2022,921.30,920.00,928.15,911.40,1420380.00
13-04-2022,936.75,921.30,943.00,921.30,1825531.00
18-04-2022,927.50,927.60,941.05,919.25,1287320.00
19-04-2022,922.00,930.95,937.75,915.05,2001066.00
20-04-2022,923.50,918.00,931.00,916.05,1455897.00
21-04-2022,944.10,931.00,946.00,920.60,2410164.00
22-04-2022,924.80,941.00,942.25,918.35,1745381.00
25-04-2022,900.00,915.55,922.35,896.60,1146270.00
26-04-2022,918.05,905.00,924.75,904.05,3142879.00
27-04-2022,906.10,910.05,921.70,903.60,1586283.00
28-04-2022,921.00,920.00,927.35,909.30,3150038.00
29-04-2022,928.65,924.00,967.05,919.55,4290688.00
02-05-2022,923.40,922.45,925.00,902.55,2119174.00
04-05-2022,900.90,920.10,920.90,895.00,3925917.00
05-05-2022,878.15,905.00,919.20,872.60,4462293.00
06-05-2022,883.30,862.00,885.70,861.50,2350532.00
09-05-2022,885.40,868.05,891.40,868.05,2522123.00
10-05-2022,861.85,885.00,890.85,846.50,6975331.00
11-05-2022,854.80,853.00,867.00,851.00,2768829.00
12-05-2022,850.00,852.90,855.85,835.20,2700591.00
13-05-2022,882.50,862.95,889.00,860.15,4870689.00
16-05-2022,885.60,881.95,894.75,875.05,2739020.00
17-05-2022,891.75,880.15,895.60,878.70,2317400.00
18-05-2022,899.15,891.00,909.00,888.00,2878378.00
