Date,Close,Open,High,Low,Volume
04-02-2022,733.80,741.00,746.55,722.20,1931658.00
07-02-2022,704.80,729.00,736.75,702.05,1908753.00
08-02-2022,697.10,705.10,710.00,691.35,2410446.00
09-02-2022,700.20,706.00,709.00,696.55,2206837.00
10-02-2022,706.70,706.25,711.00,699.00,1770292.00
11-02-2022,701.00,695.00,703.10,690.00,2013324.00
14-02-2022,694.30,689.00,700.80,684.05,2069409.00
15-02-2022,702.00,693.00,706.00,689.15,2209622.00
16-02-2022,701.00,705.50,708.35,696.05,1217196.00
17-02-2022,720.35,701.50,726.15,701.50,3442092.00
18-02-2022,717.50,715.60,724.60,712.20,1686289.00
21-02-2022,713.20,710.50,721.35,704.50,1542807.00
22-02-2022,715.20,690.00,716.90,690.00,1861977.00
23-02-2022,723.25,715.00,731.20,714.10,1816654.00
24-02-2022,677.70,699.00,714.55,674.05,3091298.00
25-02-2022,709.50,690.00,713.35,685.60,1771881.00
28-02-2022,718.60,699.50,720.80,694.55,1935344.00
02-03-2022,711.00,711.95,718.60,701.55,1938441.00
03-03-2022,687.05,712.15,718.75,684.55,2112330.00
04-03-2022,669.95,688.40,688.40,657.50,2833168.00
07-03-2022,659.85,659.00,673.50,650.20,2137318.00
08-03-2022,683.70,659.00,687.75,658.00,2850859.00
09-03-2022,699.15,685.00,705.90,678.30,1920634.00
10-03-2022,724.20,705.55,727.50,705.55,2574455.00
11-03-2022,716.45,724.30,726.05,707.45,2305707.00
14-03-2022,722.25,720.00,724.00,709.65,1584725.00
15-03-2022,748.60,724.00,774.00,723.75,9386502.00
16-03-2022,747.85,754.00,755.55,740.60,1959778.00
17-03-2022,772.30,758.00,774.45,754.25,3099238.00
21-03-2022,747.80,772.00,773.85,745.30,1889226.00
22-03-2022,752.90,750.00,758.00,731.40,3047970.00
23-03-2022,748.80,759.50,760.00,745.10,1103251.00
24-03-2022,740.50,748.00,751.60,738.70,1179087.00
25-03-2022,733.35,740.00,740.00,708.60,2968621.00
28-03-2022,741.25,734.00,746.20,728.15,1833105.00
29-03-2022,743.20,742.00,747.75,735.60,985708.00
