Date,Close,Open,High,Low,Volume
04-02-2022,117.63,117.38,119.78,117.02,9317418
07-02-2022,118.3,116.83,121.46,116.1,14510525
08-02-2022,121.96,119.5,122.24,117.15,14083984
09-02-2022,122.24,123.1,123.4,120.82,7352060
10-02-2022,124.84,123,125.42,122.6,9392057
11-02-2022,125.44,123.9,126.5,123.31,9676226
14-02-2022,118.68,122.01,122.78,118.01,8021613
15-02-2022,120.78,119.68,121.2,115.16,10188921
16-02-2022,119.18,121.5,121.79,118.65,6609214
17-02-2022,119.1,120.11,120.95,118.62,5655792
18-02-2022,119.08,118.7,120.5,118.3,4725120
21-02-2022,118.18,118.8,120.2,117.44,4978732
22-02-2022,113.87,115.8,116.66,111.92,9385857
23-02-2022,113.9,114.8,115.26,113.4,4960838
24-02-2022,107.4,109.4,112,106.71,12126867
25-02-2022,114.54,109.77,115.07,109.56,9212886
28-02-2022,122.08,113.4,122.5,112.92,17605446
02-03-2022,128.94,122.08,129.96,121.86,24847532
03-03-2022,130.33,130.6,132.86,129.36,17450338
04-03-2022,127.71,130.24,131.99,127.3,16282923
07-03-2022,129.19,127.59,130.18,126.4,11040001
08-03-2022,126.95,129.3,129.4,124.4,9107822
09-03-2022,125.54,127.39,127.68,124.86,6934888
10-03-2022,130.87,125.78,131.38,124.1,13674062
11-03-2022,130.17,131.5,133.99,129.62,11882299
14-03-2022,129.7,130.5,131.17,127.77,5278082
15-03-2022,123.38,129.18,129.3,122.8,9614313
16-03-2022,126.52,124.5,127.12,124.02,6302451
17-03-2022,130.34,127.5,131.78,127.11,10623976
21-03-2022,130.29,130.8,133.4,129.45,8422763
22-03-2022,130.2,132,133,128.8,8179588
23-03-2022,133.1,132.4,134.78,129.24,13055238
24-03-2022,135.06,133.1,135.95,132.6,9460527
25-03-2022,133.9,135.49,136.6,133.35,6945744
28-03-2022,133.9,134,135.5,132.76,4655491
29-03-2022,133.46,134.4,134.62,132.7,4320237
30-03-2022,130.8,133.5,133.56,130,5848316
31-03-2022,130.72,130.8,132.04,130.01,4006795
01-04-2022,131.71,131,134.09,130.54,5532159
04-04-2022,134.19,131.71,135.4,131.44,6967032
05-04-2022,134.49,134.84,135.8,132.93,6329642
06-04-2022,137.07,135,138.67,134.68,11409754
07-04-2022,134.95,137.7,138.1,134.1,5565064
08-04-2022,137.07,136.1,138,135.62,5228771
11-04-2022,135.79,137.07,138.4,135.3,4477882
12-04-2022,132.02,135.3,136,129.61,6919168
13-04-2022,131.95,133.5,134.6,131.5,4493780
18-04-2022,133.91,133.19,135.8,132.88,8070042
19-04-2022,132.66,135.26,136.66,130.9,6477219
20-04-2022,131.43,132.97,133.65,130.3,5410021
21-04-2022,130.22,131.6,132.28,128.58,6669028
22-04-2022,127.76,130.16,131.16,127.38,5584823
25-04-2022,122.04,125,126.3,121.28,7231046
26-04-2022,123.36,123.5,124.17,122.5,4481271
27-04-2022,124.67,122.7,125.5,121.04,7120974
28-04-2022,126.08,125.95,126.86,124.3,5129583
29-04-2022,127.1,126.8,129.17,126.56,5717352
02-05-2022,129.52,125.7,130.28,124.88,5442617
04-05-2022,126.14,132.73,133,125.45,13837402
05-05-2022,128.43,128,131.65,127.8,8733816
06-05-2022,128.37,126.8,129,124.3,6925676
09-05-2022,125.22,126,127.42,124.4,5055297
10-05-2022,116.49,125.1,125.46,115.86,14553742
11-05-2022,116.57,117.5,119.09,112.34,10706315
12-05-2022,111.77,115.69,116.24,110.3,9419161
13-05-2022,109.7,113.5,115.18,109.2,8292441
16-05-2022,110.35,111.9,113.48,109.4,6266527
17-05-2022,118.87,112.4,119.72,111.54,11287601
18-05-2022,118.02,119.7,120.9,117.5,8157580
19-05-2022,112.22,115.1,115.49,111.52,6654563
20-05-2022,117.06,116.24,117.84,114.12,6552750
23-05-2022,102.3,109.7,109.7,100.16,27388346
24-05-2022,100.64,103.1,103.99,100.2,12311666
25-05-2022,99.91,100.64,101.84,99.18,9934340
26-05-2022,105.2,100.7,106.76,99.52,15053673
27-05-2022,104.35,106.25,106.76,103.2,7477220
30-05-2022,104.74,105.9,106.38,104.35,7270159
31-05-2022,105.56,104.5,107.19,103.7,12124885
01-06-2022,106.36,106.55,107.9,105.33,9405529
02-06-2022,108.16,106.78,108.48,105.91,7917704
03-06-2022,106.73,109.2,109.28,106.5,5395486
06-06-2022,107.81,106.5,108.29,104.92,5726249
07-06-2022,106.85,106.7,108.15,106.36,4334157
08-06-2022,108.68,108.1,108.89,107.4,6473434
09-06-2022,104.48,107.5,108.72,104.12,9854781
10-06-2022,102.37,103,103.14,101.06,9522563
13-06-2022,99.2,100.43,101.2,99,8223575
14-06-2022,99.62,98.82,101.37,98.56,7720260
15-06-2022,95.96,95.4,97.42,95.06,9244333
16-06-2022,90.17,97.5,97.5,89.82,12274105
17-06-2022,90.67,89.8,92.74,89.55,12129026
20-06-2022,86.14,90.5,90.5,84.26,13986689
21-06-2022,88.48,87.5,89.55,86.4,12452697
22-06-2022,83.81,87.3,87.38,83.57,10987739
23-06-2022,84.13,84,85.6,82.7,11151584
24-06-2022,85.28,85,86.48,84.46,8543381
27-06-2022,86.78,87.05,87.88,86.3,7281473
28-06-2022,87.89,86.6,88.44,86.04,8464733
29-06-2022,88.16,87,88.88,86.85,7231847
30-06-2022,86.7,88.15,89.45,86.33,8467209
01-07-2022,87.28,86.7,87.5,85.91,5476189
04-07-2022,85.46,86.85,87.12,84.33,7755441
05-07-2022,86.02,86.2,87.92,85.78,7905829
06-07-2022,85.82,85.84,86.11,83.8,8143971
07-07-2022,90,86.7,90.66,85.85,11100794
08-07-2022,88.59,91.79,91.79,88.05,11200063
11-07-2022,91.28,88.52,92.9,87.5,15019334
12-07-2022,90.21,90.49,91.6,89.36,10017505
13-07-2022,90.48,90.6,91.42,90.06,7013511
14-07-2022,90.8,91,91.1,89.5,7449858
15-07-2022,88.38,90.5,91.03,87.75,8125351
18-07-2022,90.43,89.7,90.8,89.22,7306081
19-07-2022,91.94,90.1,92.19,90.1,8534158
20-07-2022,92.84,93.6,93.8,92.52,7708865
21-07-2022,93.43,93,93.88,92.45,5087714
22-07-2022,93.6,94.25,94.4,93.2,4860894
25-07-2022,96.07,93.5,96.48,93.36,9963563
26-07-2022,94.95,97.2,97.67,94.6,12626469
27-07-2022,95.94,95.1,96.16,94.36,5255902
28-07-2022,100.35,98.1,102,97.15,137156107
29-07-2022,107.6,103,109.3,102.15,166959934
01-08-2022,108.25,110.5,111.45,106.15,125365761
02-08-2022,107,108,108,105.35,64935371
03-08-2022,107.05,107,108.45,106,61428846
04-08-2022,107.7,107.5,109.5,106.05,79526154
05-08-2022,107.35,107.65,109.25,107.1,54469112
08-08-2022,107.2,107.85,108.15,106.7,41384943
10-08-2022,109.2,107.9,109.9,106.5,73880698
11-08-2022,109.1,110.3,110.65,108.6,75321498
12-08-2022,112.65,109.35,112.9,108.8,95942333
16-08-2022,113,113.7,113.7,111.1,69207437
17-08-2022,112.5,113.5,113.5,112.25,54008422
18-08-2022,112.55,112.5,113,111.4,49396425
19-08-2022,110.05,112.55,112.9,109.55,57134813
22-08-2022,105.05,109.5,109.6,104.7,74037526
23-08-2022,107.6,104.2,108.25,103.5,70531639
24-08-2022,106.55,107.55,108.15,105.75,55686404
25-08-2022,106.25,107.05,107.9,105.75,42186335
26-08-2022,107.35,107.25,109.2,107.1,71257092
29-08-2022,104.85,104.05,105.65,103.25,59895805
30-08-2022,108.3,106.5,108.5,106.05,67401780
01-09-2022,106.4,107,107.75,105.9,52454732
02-09-2022,105.5,107,107,105,45601352
05-09-2022,106.9,106.05,107.3,105.8,40352735
06-09-2022,108.6,107.4,108.8,106.05,59505849
07-09-2022,107.6,107.55,108.9,107.1,43945660
08-09-2022,105.85,108.4,108.4,105.35,71228405
09-09-2022,105.7,107,107.35,105.5,63647166
12-09-2022,107.75,106.8,107.95,106.5,40838533
13-09-2022,107.75,108,108.7,107.55,44179394
14-09-2022,109.15,106.3,110.4,105.8,86379872
15-09-2022,107,108.65,109,106.5,62926791
16-09-2022,105.7,106.2,107.5,105,107967267
19-09-2022,103.1,106.2,106.2,103,51146568
20-09-2022,105.8,104.2,106.35,104,52140254
21-09-2022,104.45,105.8,107.2,104.3,46142823
22-09-2022,103.6,104.45,105.3,103.5,61380323
23-09-2022,104.3,106.2,107.9,103.75,109765520
26-09-2022,99.85,104.4,104.45,98.5,101291962
27-09-2022,97.65,101.35,101.35,96.5,104949032
28-09-2022,95.2,96.55,97.85,95,71724106
29-09-2022,96.85,97,98.25,96.4,60884592
30-09-2022,99.3,96.85,100.4,95.7,66436616
03-10-2022,98.35,99.6,99.65,98,37282313
04-10-2022,101.15,100.3,101.5,100,40186702
06-10-2022,103.55,102,103.8,101.75,48169310
07-10-2022,103.3,103.3,103.5,101.9,36080875
10-10-2022,103.2,102,103.5,101.15,36641275
11-10-2022,100.35,103.55,103.65,99.8,41083734
12-10-2022,100.55,100.35,101.2,99,41357469
13-10-2022,100.1,101.1,101.8,98.8,34668093
14-10-2022,100.1,101.85,102.8,99.9,32456805
17-10-2022,99.55,99.75,100.4,98.1,37568783
18-10-2022,100.65,100.3,101,99.8,30722156
19-10-2022,100.05,100.6,101.25,99.7,38764542
20-10-2022,100.9,99.5,101.2,98.8,38091315
21-10-2022,100.2,100.85,101.45,99.35,30973997
24-10-2022,101.2,102,102.1,101,7480281
25-10-2022,101.2,101.15,102.5,100.7,37163180
27-10-2022,104.2,102.25,104.65,102.05,74349009
28-10-2022,101.6,104.1,104.6,100.8,51006232
31-10-2022,101.55,101.9,102.15,100.3,38715841
01-11-2022,101.2,98.55,101.45,98.55,69031178
02-11-2022,101.25,101,103,100.8,42336049
03-11-2022,102,100.75,102.45,100,39110676
04-11-2022,104.75,102.5,105,102.2,70299020
07-11-2022,106.7,105.9,107.45,104.6,74426059
09-11-2022,106.1,107.25,107.55,105.55,38295904
10-11-2022,104.7,105.2,106,104.45,27864285
11-11-2022,107.55,106.25,108.2,106.25,77933417
14-11-2022,108.7,108.5,110,108.25,55474425
15-11-2022,108.55,109,109.35,107.2,35007427
16-11-2022,106.55,108.45,108.8,105.2,40404167
17-11-2022,105.85,105.9,106.8,104.5,32894825
18-11-2022,105.5,105.85,106.3,104.7,28992538
21-11-2022,104.25,107.7,107.7,103.85,58404309
22-11-2022,105.2,104.4,105.4,103.55,27846186
23-11-2022,105.45,105.7,106,104.95,22809651
24-11-2022,105.5,105.85,105.95,104.6,23737867
25-11-2022,106.2,105.6,106.5,105.1,27361785
02-12-2022,112,110.8,112.5,110.15,70541914
05-12-2022,115.85,113.3,116.1,112.65,96441799
06-12-2022,112.95,115.35,115.35,112.25,50581245
07-12-2022,111.2,113.4,113.5,110.85,39494279
08-12-2022,111.85,111.75,113,110.8,32416724
09-12-2022,110.45,112.8,113.75,109.7,35665257
12-12-2022,111.7,110.2,112.1,108.7,37082389
13-12-2022,111.2,112.55,112.85,110.8,32264080
14-12-2022,113.05,111.6,113.2,111.1,38606984
15-12-2022,110.95,112.65,113.45,110.7,34361613
19-12-2022,111.8,111.05,112.1,110.8,17297590
20-12-2022,110.95,111.15,111.5,109,34836506
21-12-2022,109.4,111.8,112,108.7,32303565
23-12-2022,102.25,106,106.75,101.95,46756489
27-12-2022,111.15,106.65,111.55,105.85,76033410
28-12-2022,110,111.05,112.3,109.7,50660601
29-12-2022,111.75,109,112,108.85,51751642
02-01-2023,119.25,114.4,119.7,113.75,143444095
03-01-2023,118.45,119.8,120.5,117.75,74419090
04-01-2023,115.75,118.75,119.05,115.35,55634568
05-01-2023,116.55,116.5,117,114.5,58806907
06-01-2023,115.65,117,117.85,115.25,58551863
10-01-2023,118.85,117.65,119.75,117.55,56750710
11-01-2023,118.85,119.45,120.35,118,49321252
12-01-2023,118.1,118.95,119.25,117.6,33740024
13-01-2023,120.45,118.55,121.6,118.15,68884010
16-01-2023,119.95,121.45,121.45,118.8,44362359
17-01-2023,119.35,119.75,119.9,118,27880531
18-01-2023,122.45,120,123,120,64749065
19-01-2023,123.55,121.8,124.3,121.15,53564076
20-01-2023,122.95,123.4,124.2,122,37784498
23-01-2023,122,123.4,123.85,121.5,28601260
24-01-2023,120.4,122.5,122.55,120.1,27707765
25-01-2023,121,120.35,122.25,120.1,46522102
27-01-2023,120.65,121.9,123.25,119.1,58771746
30-01-2023,118.75,120.45,121.1,116.9,46551837
31-01-2023,119.7,118.75,120.45,117.75,43986769
01-02-2023,122.05,120.1,124.15,119.3,72919626
02-02-2023,119.95,121.95,122.5,118.4,38768010
03-02-2023,120.35,120.05,121,117.2,46977350
06-02-2023,117.45,120,120,117,49546361
07-02-2023,111.45,112.6,115.35,110.55,110953246
08-02-2023,111.45,111.45,112.75,110.1,66523699
09-02-2023,111.25,112.15,112.95,109.95,64710455
10-02-2023,108.8,111,111.25,108.3,60810058
13-02-2023,108.75,108.8,110.6,108.4,56186469
14-02-2023,109.25,109.55,109.9,108.25,31163587
16-02-2023,112,111,112.2,110.65,30956191
17-02-2023,112.25,111.55,113.1,111.3,34107244
20-02-2023,112.35,112.3,112.7,111.05,19896764
21-02-2023,113.15,112.9,114.2,112.75,29830864
22-02-2023,111.15,113.25,113.7,110.65,24391211
23-02-2023,112.05,111.55,113.65,111.35,30845778
24-02-2023,109.75,112.5,112.9,109.55,34326940
27-02-2023,106.1,109.8,110.05,105.15,56217189
28-02-2023,103.95,106.85,107.05,103.55,76540448
01-03-2023,105.5,104.7,107.1,104.5,76175319
02-03-2023,104.65,106.05,106.9,104.35,55276248
03-03-2023,107,106,107.45,105,117175295
08-03-2023,106.5,105.3,106.9,104,43939583
10-03-2023,108.1,107,108.35,106.6,47699832
13-03-2023,106.8,108.25,109,106.35,34552596
14-03-2023,106.4,107,108.55,106.2,48584984
15-03-2023,108.65,107.5,109.15,107.4,38930902
16-03-2023,105.05,107.25,107.25,103.7,81088340
17-03-2023,107,106.45,107.35,105,48962238
20-03-2023,104.5,106.1,106.45,103.85,41569640
21-03-2023,104.75,105.1,105.4,104.3,26434897
22-03-2023,104.8,104.75,105.95,104.4,25891259
23-03-2023,104.9,104.4,105.5,104.35,20913844
24-03-2023,102.1,105,105.05,101.55,39014278
27-03-2023,102.3,102.55,103.4,102.1,24753289
28-03-2023,102.5,102.85,103.1,102.35,18703734
29-03-2023,103.6,102.5,104.5,101.65,37221124
31-03-2023,104.5,105,105.5,104.1,34579415
03-04-2023,104.1,105.1,105.25,103.8,21840428
05-04-2023,104.85,104.1,105,103.2,25194802
06-04-2023,104.35,104.85,105.1,104.2,21053782
10-04-2023,104.95,104.5,105.75,104.5,19992257
12-04-2023,107.6,108.2,108.4,106.95,27349538
13-04-2023,107.5,107.5,108.15,105.9,34880922
17-04-2023,107.15,107.6,108.3,106.75,24642162
18-04-2023,107.6,107.2,107.9,106.85,25476339
19-04-2023,108.1,107.85,110.4,107.75,62100775
20-04-2023,108,108.2,108.7,107.4,18337948
21-04-2023,106.15,108,108.1,105.35,37638506
24-04-2023,106.5,106.4,106.7,105.35,23475012
25-04-2023,107.05,106.7,107.6,106.25,23333425
26-04-2023,106.85,106.5,107.05,105.85,23590297
27-04-2023,107.65,106.3,107.85,106.3,22364308
28-04-2023,107.95,107.8,108.5,107.3,30072920
02-05-2023,110.3,108,110.85,108,52822162
03-05-2023,109.7,109.8,111,108.75,51272624
04-05-2023,111.05,110,111.9,109.5,38636907
05-05-2023,108.65,110.85,110.85,108.4,32958346
08-05-2023,109.55,109.25,109.85,108.25,23130472
09-05-2023,109.55,109.6,111.2,109.15,27999202
10-05-2023,109.25,109.6,110,108.6,19213215
11-05-2023,108.55,109.2,109.5,108.25,19817637
12-05-2023,106.75,108.35,108.4,106.55,36794838
15-05-2023,107.7,107.05,108.2,105.65,22148028
16-05-2023,107.4,108.2,108.65,107.2,18587658
17-05-2023,106,107.4,107.5,105.55,28895465
18-05-2023,105.2,106.5,107.15,105.1,24208481
19-05-2023,104.65,105.6,105.7,104.05,29848841
22-05-2023,105,105,105.25,104.3,21588716
23-05-2023,105.6,105.1,106.05,105,21304034
24-05-2023,105.2,105.1,105.8,104.9,28454367
25-05-2023,104.85,105,105.2,104.3,25885062
26-05-2023,106.4,105,106.75,104.95,28362042
29-05-2023,108.45,107,108.85,106.3,41062311
30-05-2023,107.05,108.95,108.95,106.9,33475211
31-05-2023,105.8,106.4,106.95,105.6,41249944
01-06-2023,105.95,105.9,106.7,105.8,21211538
02-06-2023,108,106.5,108.3,106.5,46686933
05-06-2023,109.4,108.65,109.9,107.8,39642539
06-06-2023,109,109.75,109.85,108.3,26751372
08-06-2023,111.15,111.5,113,110.95,46380294
09-06-2023,108.9,111.25,111.65,108.65,36392617
12-06-2023,109.5,109.15,110.6,109.15,23472313
13-06-2023,111.15,110,111.85,109.65,30018212
14-06-2023,113.8,111.5,114,111.4,66696433
15-06-2023,113.75,113.9,114.2,113.25,39430138
16-06-2023,114.25,114.4,114.8,113.85,31715807
19-06-2023,114.1,115.45,115.6,113.05,33502185
20-06-2023,114.25,114.1,115.25,113.5,30371599
21-06-2023,113.9,114.9,114.9,112.85,35627983
23-06-2023,109.6,110.5,110.75,109.2,22190233
26-06-2023,109.85,109.6,110.2,108.1,25332751
27-06-2023,110.75,110.6,111.5,110.15,24129403
28-06-2023,111.55,111.5,112.05,110.9,23895274
30-06-2023,112,111.6,112.2,110.4,26741918
03-07-2023,113.1,112.25,114.25,112.05,30979256
04-07-2023,112.4,113.2,113.4,112.1,25080307
05-07-2023,112.95,112.55,113.55,112.2,27877180
06-07-2023,112.65,112,112.85,111.5,34320086
07-07-2023,111.6,112,113.3,111.25,30034274
10-07-2023,115.3,112.25,115.7,111.65,60652690
11-07-2023,115.15,115.6,116.1,114.8,37999385
12-07-2023,114.7,115.15,116.05,114,32771204
13-07-2023,114.85,116,116.95,114.5,44847814
14-07-2023,117.15,115.7,117.9,114.8,34521821
17-07-2023,117.75,117.95,119.35,117.1,49115369
18-07-2023,116.6,118,118.15,116.4,23433431
19-07-2023,116.7,116.7,117.2,116.1,17222355
20-07-2023,116.95,116.7,117.25,116.35,22303831
21-07-2023,116.6,116.6,117.95,115.5,31546136
24-07-2023,115.5,116.5,116.5,114.35,38113555
25-07-2023,119.25,115,119.9,114.35,88035259
26-07-2023,119.95,119.8,120.6,118.85,29716336
27-07-2023,119.8,120.25,121.45,119.15,39664251
28-07-2023,120.6,120.2,121.1,118.7,33996691
31-07-2023,123.15,120.6,123.85,120.6,52330311
01-08-2023,123.2,123.55,124.15,122.55,27863562
02-08-2023,118.95,122.9,122.9,118.25,54951586
03-08-2023,118.2,118.7,119.65,117.5,34624188
04-08-2023,119,119.4,119.75,118,22303966
07-08-2023,118.85,119.6,119.6,118,20711952
08-08-2023,118.15,119,119.5,117.95,21275054
09-08-2023,120.2,118.35,120.5,116.9,34154214
10-08-2023,120,120,120.65,119.25,24439101
11-08-2023,120.3,120.3,121.4,119.15,26337436
14-08-2023,118.15,120.3,120.4,117.35,33095516
17-08-2023,116.05,115.9,116.8,114.7,28461865
18-08-2023,115.8,116.3,116.4,114.75,30381609
21-08-2023,116.9,116.75,117.1,115.85,22629651
22-08-2023,117.55,117.15,117.75,116.5,17343131
23-08-2023,118.95,117.85,119.25,117.65,43744909
24-08-2023,118.25,119.5,120.1,118.05,27103446
28-08-2023,117.6,117,118.25,117,19218821
29-08-2023,119.55,118.5,120.15,117.75,36038317
30-08-2023,122.1,120.5,122.7,120.25,51467177
31-08-2023,122.9,122.85,123.6,122.15,60626985
01-09-2023,127.05,123.5,128.7,123.4,76460408
04-09-2023,131.75,129.2,132.9,128.85,68525900
05-09-2023,131.7,131.75,132.45,128.85,36466807
06-09-2023,129.6,132.4,132.4,128.2,36058850
07-09-2023,130.15,129.5,130.8,128.6,30268235
08-09-2023,129.5,131.4,131.65,129.2,34313523
11-09-2023,131.15,129.5,131.85,129.2,33377857
12-09-2023,129,132.8,133.15,128.65,38065283
13-09-2023,129.55,129.6,130.5,127.7,23371459
14-09-2023,131.7,131,134.2,130.8,58800620
15-09-2023,131.95,132.6,133.3,129.85,85058495
18-09-2023,130.45,135,135,130.05,62420823
20-09-2023,128.3,130.45,131.8,128,43627379
21-09-2023,127.8,128.3,129.25,127.2,29826091
22-09-2023,126.75,127.15,128.7,125.5,34059194
25-09-2023,127.4,127.3,128.3,126.1,23466981
26-09-2023,128.9,129,130.55,128.4,48936598
27-09-2023,128.15,128.75,128.75,126.7,33277329
28-09-2023,126.8,128.35,129.3,126.3,29982233
29-09-2023,128.9,128.2,129.55,127.55,28406435
03-10-2023,128,129,129.1,127.25,18613557
04-10-2023,125.3,127,127.1,124.5,33272725
05-10-2023,125.25,125.9,126.15,124.55,27063441
06-10-2023,125.9,126.5,127,125.1,21928671
09-10-2023,123.85,124.8,124.9,122.6,21457836
10-10-2023,125.3,124.7,125.9,123.75,28745957
11-10-2023,124.95,126,126.3,124.7,24455932
12-10-2023,125.9,125.35,126.9,125.1,19361688
13-10-2023,125.05,125,125.75,124,26912800
16-10-2023,127,125.1,127.25,124.95,23868700
17-10-2023,127.4,127.9,128.55,127,24241710
18-10-2023,127.1,127.85,128.7,126.6,20926079
19-10-2023,126,125.5,126.5,124.35,30941319
20-10-2023,123.1,125,125.75,122.7,30746140
23-10-2023,120,123.35,123.4,119.7,30699479
25-10-2023,121.35,121.2,122.8,120.75,27346103
26-10-2023,119.9,120.85,120.9,118.9,36298907
30-10-2023,119.15,121.05,121.25,118.95,18753217
31-10-2023,118.75,120,120.15,118.4,22319950
01-11-2023,116.6,119,119.1,116,24717941
02-11-2023,118.1,114.6,118.55,114.6,72538804
