Date,Close,Open,High,Low,Volume
04-02-2022,117.63,117.38,119.78,117.02,"93,17,418"
07-02-2022,118.3,116.83,121.46,116.1,"1,45,10,525"
08-02-2022,121.96,119.5,122.24,117.15,"1,40,83,984"
09-02-2022,122.24,123.1,123.4,120.82,"73,52,060"
10-02-2022,124.84,123,125.42,122.6,"93,92,057"
11-02-2022,125.44,123.9,126.5,123.31,"96,76,226"
14-02-2022,118.68,122.01,122.78,118.01,"80,21,613"
15-02-2022,120.78,119.68,121.2,115.16,"1,01,88,921"
16-02-2022,119.18,121.5,121.79,118.65,"66,09,214"
17-02-2022,119.1,120.11,120.95,118.62,"56,55,792"
18-02-2022,119.08,118.7,120.5,118.3,"47,25,120"
21-02-2022,118.18,118.8,120.2,117.44,"49,78,732"
22-02-2022,113.87,115.8,116.66,111.92,"93,85,857"
23-02-2022,113.9,114.8,115.26,113.4,"49,60,838"
24-02-2022,107.4,109.4,112,106.71,"1,21,26,867"
25-02-2022,114.54,109.77,115.07,109.56,"92,12,886"
28-02-2022,122.08,113.4,122.5,112.92,"1,76,05,446"
02-03-2022,128.94,122.08,129.96,121.86,"2,48,47,532"
03-03-2022,130.33,130.6,132.86,129.36,"1,74,50,338"
04-03-2022,127.71,130.24,131.99,127.3,"1,62,82,923"
07-03-2022,129.19,127.59,130.18,126.4,"1,10,40,001"
08-03-2022,126.95,129.3,129.4,124.4,"91,07,822"
09-03-2022,125.54,127.39,127.68,124.86,"69,34,888"
10-03-2022,130.87,125.78,131.38,124.1,"1,36,74,062"
11-03-2022,130.17,131.5,133.99,129.62,"1,18,82,299"
14-03-2022,129.7,130.5,131.17,127.77,"52,78,082"
15-03-2022,123.38,129.18,129.3,122.8,"96,14,313"
16-03-2022,126.52,124.5,127.12,124.02,"63,02,451"
17-03-2022,130.34,127.5,131.78,127.11,"1,06,23,976"
21-03-2022,130.29,130.8,133.4,129.45,"84,22,763"
22-03-2022,130.2,132,133,128.8,"81,79,588"
23-03-2022,133.1,132.4,134.78,129.24,"1,30,55,238"
24-03-2022,135.06,133.1,135.95,132.6,"94,60,527"
25-03-2022,133.9,135.49,136.6,133.35,"69,45,744"
28-03-2022,133.9,134,135.5,132.76,"46,55,491"
29-03-2022,133.46,134.4,134.62,132.7,"43,20,237"
30-03-2022,130.8,133.5,133.56,130,"58,48,316"
31-03-2022,130.72,130.8,132.04,130.01,"40,06,795"
01-04-2022,131.71,131,134.09,130.54,"55,32,159"
04-04-2022,134.19,131.71,135.4,131.44,"69,67,032"
05-04-2022,134.49,134.84,135.8,132.93,"63,29,642"
06-04-2022,137.07,135,138.67,134.68,"1,14,09,754"
07-04-2022,134.95,137.7,138.1,134.1,"55,65,064"
08-04-2022,137.07,136.1,138,135.62,"52,28,771"
11-04-2022,135.79,137.07,138.4,135.3,"44,77,882"
12-04-2022,132.02,135.3,136,129.61,"69,19,168"
13-04-2022,131.95,133.5,134.6,131.5,"44,93,780"
18-04-2022,133.91,133.19,135.8,132.88,"80,70,042"
19-04-2022,132.66,135.26,136.66,130.9,"64,77,219"
20-04-2022,131.43,132.97,133.65,130.3,"54,10,021"
21-04-2022,130.22,131.6,132.28,128.58,"66,69,028"
22-04-2022,127.76,130.16,131.16,127.38,"55,84,823"
25-04-2022,122.04,125,126.3,121.28,"72,31,046"
26-04-2022,123.36,123.5,124.17,122.5,"44,81,271"
27-04-2022,124.67,122.7,125.5,121.04,"71,20,974"
28-04-2022,126.08,125.95,126.86,124.3,"51,29,583"
29-04-2022,127.1,126.8,129.17,126.56,"57,17,352"
02-05-2022,129.52,125.7,130.28,124.88,"54,42,617"
04-05-2022,126.14,132.73,133,125.45,"1,38,37,402"
05-05-2022,128.43,128,131.65,127.8,"87,33,816"
06-05-2022,128.37,126.8,129,124.3,"69,25,676"
09-05-2022,125.22,126,127.42,124.4,"50,55,297"
10-05-2022,116.49,125.1,125.46,115.86,"1,45,53,742"
11-05-2022,116.57,117.5,119.09,112.34,"1,07,06,315"
12-05-2022,111.77,115.69,116.24,110.3,"94,19,161"
13-05-2022,109.7,113.5,115.18,109.2,"82,92,441"
16-05-2022,110.35,111.9,113.48,109.4,"62,66,527"
17-05-2022,118.87,112.4,119.72,111.54,"1,12,87,601"
18-05-2022,118.02,119.7,120.9,117.5,"81,57,580"
19-05-2022,112.22,115.1,115.49,111.52,"66,54,563"
20-05-2022,117.06,116.24,117.84,114.12,"65,52,750"
23-05-2022,102.3,109.7,109.7,100.16,"2,73,88,346"
24-05-2022,100.64,103.1,103.99,100.2,"1,23,11,666"
25-05-2022,99.91,100.64,101.84,99.18,"99,34,340"
26-05-2022,105.2,100.7,106.76,99.52,"1,50,53,673"
27-05-2022,104.35,106.25,106.76,103.2,"74,77,220"
30-05-2022,104.74,105.9,106.38,104.35,"72,70,159"
31-05-2022,105.56,104.5,107.19,103.7,"1,21,24,885"
01-06-2022,106.36,106.55,107.9,105.33,"94,05,529"
02-06-2022,108.16,106.78,108.48,105.91,"79,17,704"
03-06-2022,106.73,109.2,109.28,106.5,"53,95,486"
06-06-2022,107.81,106.5,108.29,104.92,"57,26,249"
07-06-2022,106.85,106.7,108.15,106.36,"43,34,157"
08-06-2022,108.68,108.1,108.89,107.4,"64,73,434"
09-06-2022,104.48,107.5,108.72,104.12,"98,54,781"
10-06-2022,102.37,103,103.14,101.06,"95,22,563"
13-06-2022,99.2,100.43,101.2,99,"82,23,575"
14-06-2022,99.62,98.82,101.37,98.56,"77,20,260"
15-06-2022,95.96,95.4,97.42,95.06,"92,44,333"
16-06-2022,90.17,97.5,97.5,89.82,"1,22,74,105"
17-06-2022,90.67,89.8,92.74,89.55,"1,21,29,026"
20-06-2022,86.14,90.5,90.5,84.26,"1,39,86,689"
21-06-2022,88.48,87.5,89.55,86.4,"1,24,52,697"
22-06-2022,83.81,87.3,87.38,83.57,"1,09,87,739"
23-06-2022,84.13,84,85.6,82.7,"1,11,51,584"
24-06-2022,85.28,85,86.48,84.46,"85,43,381"
27-06-2022,86.78,87.05,87.88,86.3,"72,81,473"
28-06-2022,87.89,86.6,88.44,86.04,"84,64,733"
29-06-2022,88.16,87,88.88,86.85,"72,31,847"
30-06-2022,86.7,88.15,89.45,86.33,"84,67,209"
01-07-2022,87.28,86.7,87.5,85.91,"54,76,189"
04-07-2022,85.46,86.85,87.12,84.33,"77,55,441"
05-07-2022,86.02,86.2,87.92,85.78,"79,05,829"
06-07-2022,85.82,85.84,86.11,83.8,"81,43,971"
07-07-2022,90,86.7,90.66,85.85,"1,11,00,794"
08-07-2022,88.59,91.79,91.79,88.05,"1,12,00,063"
11-07-2022,91.28,88.52,92.9,87.5,"1,50,19,334"
12-07-2022,90.21,90.49,91.6,89.36,"1,00,17,505"
13-07-2022,90.48,90.6,91.42,90.06,"70,13,511"
14-07-2022,90.8,91,91.1,89.5,"74,49,858"
15-07-2022,88.38,90.5,91.03,87.75,"81,25,351"
18-07-2022,90.43,89.7,90.8,89.22,"73,06,081"
19-07-2022,91.94,90.1,92.19,90.1,"85,34,158"
20-07-2022,92.84,93.6,93.8,92.52,"77,08,865"
21-07-2022,93.43,93,93.88,92.45,"50,87,714"
22-07-2022,93.6,94.25,94.4,93.2,"48,60,894"
25-07-2022,96.07,93.5,96.48,93.36,"99,63,563"
26-07-2022,94.95,97.2,97.67,94.6,"1,26,26,469"
27-07-2022,95.94,95.1,96.16,94.36,"52,55,902"
28-07-2022,100.35,98.1,102,97.15,"13,71,56,107"
29-07-2022,107.6,103,109.3,102.15,"16,69,59,934"
01-08-2022,108.25,110.5,111.45,106.15,"12,53,65,761"
02-08-2022,107,108,108,105.35,"6,49,35,371"
03-08-2022,107.05,107,108.45,106,"6,14,28,846"
04-08-2022,107.7,107.5,109.5,106.05,"7,95,26,154"
05-08-2022,107.35,107.65,109.25,107.1,"5,44,69,112"
08-08-2022,107.2,107.85,108.15,106.7,"4,13,84,943"
10-08-2022,109.2,107.9,109.9,106.5,"7,38,80,698"
11-08-2022,109.1,110.3,110.65,108.6,"7,53,21,498"
12-08-2022,112.65,109.35,112.9,108.8,"9,59,42,333"
16-08-2022,113,113.7,113.7,111.1,"6,92,07,437"
17-08-2022,112.5,113.5,113.5,112.25,"5,40,08,422"
18-08-2022,112.55,112.5,113,111.4,"4,93,96,425"
19-08-2022,110.05,112.55,112.9,109.55,"5,71,34,813"
22-08-2022,105.05,109.5,109.6,104.7,"7,40,37,526"
23-08-2022,107.6,104.2,108.25,103.5,"7,05,31,639"
24-08-2022,106.55,107.55,108.15,105.75,"5,56,86,404"
25-08-2022,106.25,107.05,107.9,105.75,"4,21,86,335"
26-08-2022,107.35,107.25,109.2,107.1,"7,12,57,092"
29-08-2022,104.85,104.05,105.65,103.25,"5,98,95,805"
30-08-2022,108.3,106.5,108.5,106.05,"6,74,01,780"
01-09-2022,106.4,107,107.75,105.9,"5,24,54,732"
02-09-2022,105.5,107,107,105,"4,56,01,352"
05-09-2022,106.9,106.05,107.3,105.8,"4,03,52,735"
06-09-2022,108.6,107.4,108.8,106.05,"5,95,05,849"
07-09-2022,107.6,107.55,108.9,107.1,"4,39,45,660"
08-09-2022,105.85,108.4,108.4,105.35,"7,12,28,405"
09-09-2022,105.7,107,107.35,105.5,"6,36,47,166"
12-09-2022,107.75,106.8,107.95,106.5,"4,08,38,533"
13-09-2022,107.75,108,108.7,107.55,"4,41,79,394"
14-09-2022,109.15,106.3,110.4,105.8,"8,63,79,872"
15-09-2022,107,108.65,109,106.5,"6,29,26,791"
16-09-2022,105.7,106.2,107.5,105,"10,79,67,267"
19-09-2022,103.1,106.2,106.2,103,"5,11,46,568"
20-09-2022,105.8,104.2,106.35,104,"5,21,40,254"
21-09-2022,104.45,105.8,107.2,104.3,"4,61,42,823"
22-09-2022,103.6,104.45,105.3,103.5,"6,13,80,323"
23-09-2022,104.3,106.2,107.9,103.75,"10,97,65,520"
26-09-2022,99.85,104.4,104.45,98.5,"10,12,91,962"
27-09-2022,97.65,101.35,101.35,96.5,"10,49,49,032"
28-09-2022,95.2,96.55,97.85,95,"7,17,24,106"
29-09-2022,96.85,97,98.25,96.4,"6,08,84,592"
30-09-2022,99.3,96.85,100.4,95.7,"6,64,36,616"
03-10-2022,98.35,99.6,99.65,98,"3,72,82,313"
04-10-2022,101.15,100.3,101.5,100,"4,01,86,702"
06-10-2022,103.55,102,103.8,101.75,"4,81,69,310"
07-10-2022,103.3,103.3,103.5,101.9,"3,60,80,875"
10-10-2022,103.2,102,103.5,101.15,"3,66,41,275"
11-10-2022,100.35,103.55,103.65,99.8,"4,10,83,734"
12-10-2022,100.55,100.35,101.2,99,"4,13,57,469"
13-10-2022,100.1,101.1,101.8,98.8,"3,46,68,093"
14-10-2022,100.1,101.85,102.8,99.9,"3,24,56,805"
17-10-2022,99.55,99.75,100.4,98.1,"3,75,68,783"
18-10-2022,100.65,100.3,101,99.8,"3,07,22,156"
19-10-2022,100.05,100.6,101.25,99.7,"3,87,64,542"
20-10-2022,100.9,99.5,101.2,98.8,"3,80,91,315"
21-10-2022,100.2,100.85,101.45,99.35,"3,09,73,997"
24-10-2022,101.2,102,102.1,101,"74,80,281"
25-10-2022,101.2,101.15,102.5,100.7,"3,71,63,180"
27-10-2022,104.2,102.25,104.65,102.05,"7,43,49,009"
28-10-2022,101.6,104.1,104.6,100.8,"5,10,06,232"
31-10-2022,101.55,101.9,102.15,100.3,"3,87,15,841"
01-11-2022,101.2,98.55,101.45,98.55,"6,90,31,178"
02-11-2022,101.25,101,103,100.8,"4,23,36,049"
03-11-2022,102,100.75,102.45,100,"3,91,10,676"
04-11-2022,104.75,102.5,105,102.2,"7,02,99,020"
07-11-2022,106.7,105.9,107.45,104.6,"7,44,26,059"
09-11-2022,106.1,107.25,107.55,105.55,"3,82,95,904"
10-11-2022,104.7,105.2,106,104.45,"2,78,64,285"
11-11-2022,107.55,106.25,108.2,106.25,"7,79,33,417"
14-11-2022,108.7,108.5,110,108.25,"5,54,74,425"
15-11-2022,108.55,109,109.35,107.2,"3,50,07,427"
16-11-2022,106.55,108.45,108.8,105.2,"4,04,04,167"
17-11-2022,105.85,105.9,106.8,104.5,"3,28,94,825"
18-11-2022,105.5,105.85,106.3,104.7,"2,89,92,538"
21-11-2022,104.25,107.7,107.7,103.85,"5,84,04,309"
22-11-2022,105.2,104.4,105.4,103.55,"2,78,46,186"
23-11-2022,105.45,105.7,106,104.95,"2,28,09,651"
24-11-2022,105.5,105.85,105.95,104.6,"2,37,37,867"
25-11-2022,106.2,105.6,106.5,105.1,"2,73,61,785"
02-12-2022,112,110.8,112.5,110.15,"7,05,41,914"
05-12-2022,115.85,113.3,116.1,112.65,"9,64,41,799"
06-12-2022,112.95,115.35,115.35,112.25,"5,05,81,245"
07-12-2022,111.2,113.4,113.5,110.85,"3,94,94,279"
08-12-2022,111.85,111.75,113,110.8,"3,24,16,724"
09-12-2022,110.45,112.8,113.75,109.7,"3,56,65,257"
12-12-2022,111.7,110.2,112.1,108.7,"3,70,82,389"
13-12-2022,111.2,112.55,112.85,110.8,"3,22,64,080"
14-12-2022,113.05,111.6,113.2,111.1,"3,86,06,984"
15-12-2022,110.95,112.65,113.45,110.7,"3,43,61,613"
19-12-2022,111.8,111.05,112.1,110.8,"1,72,97,590"
20-12-2022,110.95,111.15,111.5,109,"3,48,36,506"
21-12-2022,109.4,111.8,112,108.7,"3,23,03,565"
23-12-2022,102.25,106,106.75,101.95,"4,67,56,489"
27-12-2022,111.15,106.65,111.55,105.85,"7,60,33,410"
28-12-2022,110,111.05,112.3,109.7,"5,06,60,601"
29-12-2022,111.75,109,112,108.85,"5,17,51,642"
02-01-2023,119.25,114.4,119.7,113.75,"14,34,44,095"
03-01-2023,118.45,119.8,120.5,117.75,"7,44,19,090"
04-01-2023,115.75,118.75,119.05,115.35,"5,56,34,568"
05-01-2023,116.55,116.5,117,114.5,"5,88,06,907"
06-01-2023,115.65,117,117.85,115.25,"5,85,51,863"
10-01-2023,118.85,117.65,119.75,117.55,"5,67,50,710"
11-01-2023,118.85,119.45,120.35,118,"4,93,21,252"
12-01-2023,118.1,118.95,119.25,117.6,"3,37,40,024"
13-01-2023,120.45,118.55,121.6,118.15,"6,88,84,010"
16-01-2023,119.95,121.45,121.45,118.8,"4,43,62,359"
17-01-2023,119.35,119.75,119.9,118,"2,78,80,531"
18-01-2023,122.45,120,123,120,"6,47,49,065"
19-01-2023,123.55,121.8,124.3,121.15,"5,35,64,076"
20-01-2023,122.95,123.4,124.2,122,"3,77,84,498"
23-01-2023,122,123.4,123.85,121.5,"2,86,01,260"
24-01-2023,120.4,122.5,122.55,120.1,"2,77,07,765"
25-01-2023,121,120.35,122.25,120.1,"4,65,22,102"
27-01-2023,120.65,121.9,123.25,119.1,"5,87,71,746"
30-01-2023,118.75,120.45,121.1,116.9,"4,65,51,837"
31-01-2023,119.7,118.75,120.45,117.75,"4,39,86,769"
01-02-2023,122.05,120.1,124.15,119.3,"7,29,19,626"
02-02-2023,119.95,121.95,122.5,118.4,"3,87,68,010"
03-02-2023,120.35,120.05,121,117.2,"4,69,77,350"
06-02-2023,117.45,120,120,117,"4,95,46,361"
07-02-2023,111.45,112.6,115.35,110.55,"11,09,53,246"
08-02-2023,111.45,111.45,112.75,110.1,"6,65,23,699"
09-02-2023,111.25,112.15,112.95,109.95,"6,47,10,455"
10-02-2023,108.8,111,111.25,108.3,"6,08,10,058"
13-02-2023,108.75,108.8,110.6,108.4,"5,61,86,469"
14-02-2023,109.25,109.55,109.9,108.25,"3,11,63,587"
16-02-2023,112,111,112.2,110.65,"3,09,56,191"
17-02-2023,112.25,111.55,113.1,111.3,"3,41,07,244"
20-02-2023,112.35,112.3,112.7,111.05,"1,98,96,764"
21-02-2023,113.15,112.9,114.2,112.75,"2,98,30,864"
22-02-2023,111.15,113.25,113.7,110.65,"2,43,91,211"
23-02-2023,112.05,111.55,113.65,111.35,"3,08,45,778"
24-02-2023,109.75,112.5,112.9,109.55,"3,43,26,940"
27-02-2023,106.1,109.8,110.05,105.15,"5,62,17,189"
28-02-2023,103.95,106.85,107.05,103.55,"7,65,40,448"
01-03-2023,105.5,104.7,107.1,104.5,"7,61,75,319"
02-03-2023,104.65,106.05,106.9,104.35,"5,52,76,248"
03-03-2023,107,106,107.45,105,"11,71,75,295"
08-03-2023,106.5,105.3,106.9,104,"4,39,39,583"
10-03-2023,108.1,107,108.35,106.6,"4,76,99,832"
13-03-2023,106.8,108.25,109,106.35,"3,45,52,596"
14-03-2023,106.4,107,108.55,106.2,"4,85,84,984"
15-03-2023,108.65,107.5,109.15,107.4,"3,89,30,902"
16-03-2023,105.05,107.25,107.25,103.7,"8,10,88,340"
17-03-2023,107,106.45,107.35,105,"4,89,62,238"
20-03-2023,104.5,106.1,106.45,103.85,"4,15,69,640"
21-03-2023,104.75,105.1,105.4,104.3,"2,64,34,897"
22-03-2023,104.8,104.75,105.95,104.4,"2,58,91,259"
23-03-2023,104.9,104.4,105.5,104.35,"2,09,13,844"
24-03-2023,102.1,105,105.05,101.55,"3,90,14,278"
27-03-2023,102.3,102.55,103.4,102.1,"2,47,53,289"
28-03-2023,102.5,102.85,103.1,102.35,"1,87,03,734"
29-03-2023,103.6,102.5,104.5,101.65,"3,72,21,124"
31-03-2023,104.5,105,105.5,104.1,"3,45,79,415"
03-04-2023,104.1,105.1,105.25,103.8,"2,18,40,428"
05-04-2023,104.85,104.1,105,103.2,"2,51,94,802"
06-04-2023,104.35,104.85,105.1,104.2,"2,10,53,782"
10-04-2023,104.95,104.5,105.75,104.5,"1,99,92,257"
12-04-2023,107.6,108.2,108.4,106.95,"2,73,49,538"
13-04-2023,107.5,107.5,108.15,105.9,"3,48,80,922"
17-04-2023,107.15,107.6,108.3,106.75,"2,46,42,162"
18-04-2023,107.6,107.2,107.9,106.85,"2,54,76,339"
19-04-2023,108.1,107.85,110.4,107.75,"6,21,00,775"
20-04-2023,108,108.2,108.7,107.4,"1,83,37,948"
21-04-2023,106.15,108,108.1,105.35,"3,76,38,506"
24-04-2023,106.5,106.4,106.7,105.35,"2,34,75,012"
25-04-2023,107.05,106.7,107.6,106.25,"2,33,33,425"
26-04-2023,106.85,106.5,107.05,105.85,"2,35,90,297"
27-04-2023,107.65,106.3,107.85,106.3,"2,23,64,308"
28-04-2023,107.95,107.8,108.5,107.3,"3,00,72,920"
02-05-2023,110.3,108,110.85,108,"5,28,22,162"
03-05-2023,109.7,109.8,111,108.75,"5,12,72,624"
04-05-2023,111.05,110,111.9,109.5,"3,86,36,907"
05-05-2023,108.65,110.85,110.85,108.4,"3,29,58,346"
08-05-2023,109.55,109.25,109.85,108.25,"2,31,30,472"
09-05-2023,109.55,109.6,111.2,109.15,"2,79,99,202"
10-05-2023,109.25,109.6,110,108.6,"1,92,13,215"
11-05-2023,108.55,109.2,109.5,108.25,"1,98,17,637"
12-05-2023,106.75,108.35,108.4,106.55,"3,67,94,838"
15-05-2023,107.7,107.05,108.2,105.65,"2,21,48,028"
16-05-2023,107.4,108.2,108.65,107.2,"1,85,87,658"
17-05-2023,106,107.4,107.5,105.55,"2,88,95,465"
18-05-2023,105.2,106.5,107.15,105.1,"2,42,08,481"
19-05-2023,104.65,105.6,105.7,104.05,"2,98,48,841"
22-05-2023,105,105,105.25,104.3,"2,15,88,716"
23-05-2023,105.6,105.1,106.05,105,"2,13,04,034"
24-05-2023,105.2,105.1,105.8,104.9,"2,84,54,367"
25-05-2023,104.85,105,105.2,104.3,"2,58,85,062"
26-05-2023,106.4,105,106.75,104.95,"2,83,62,042"
29-05-2023,108.45,107,108.85,106.3,"4,10,62,311"
30-05-2023,107.05,108.95,108.95,106.9,"3,34,75,211"
31-05-2023,105.8,106.4,106.95,105.6,"4,12,49,944"
01-06-2023,105.95,105.9,106.7,105.8,"2,12,11,538"
02-06-2023,108,106.5,108.3,106.5,"4,66,86,933"
05-06-2023,109.4,108.65,109.9,107.8,"3,96,42,539"
06-06-2023,109,109.75,109.85,108.3,"2,67,51,372"
08-06-2023,111.15,111.5,113,110.95,"4,63,80,294"
09-06-2023,108.9,111.25,111.65,108.65,"3,63,92,617"
12-06-2023,109.5,109.15,110.6,109.15,"2,34,72,313"
13-06-2023,111.15,110,111.85,109.65,"3,00,18,212"
14-06-2023,113.8,111.5,114,111.4,"6,66,96,433"
15-06-2023,113.75,113.9,114.2,113.25,"3,94,30,138"
16-06-2023,114.25,114.4,114.8,113.85,"3,17,15,807"
19-06-2023,114.1,115.45,115.6,113.05,"3,35,02,185"
20-06-2023,114.25,114.1,115.25,113.5,"3,03,71,599"
21-06-2023,113.9,114.9,114.9,112.85,"3,56,27,983"
23-06-2023,109.6,110.5,110.75,109.2,"2,21,90,233"
26-06-2023,109.85,109.6,110.2,108.1,"2,53,32,751"
27-06-2023,110.75,110.6,111.5,110.15,"2,41,29,403"
28-06-2023,111.55,111.5,112.05,110.9,"2,38,95,274"
30-06-2023,112,111.6,112.2,110.4,"2,67,41,918"
03-07-2023,113.1,112.25,114.25,112.05,"3,09,79,256"
04-07-2023,112.4,113.2,113.4,112.1,"2,50,80,307"
05-07-2023,112.95,112.55,113.55,112.2,"2,78,77,180"
06-07-2023,112.65,112,112.85,111.5,"3,43,20,086"
07-07-2023,111.6,112,113.3,111.25,"3,00,34,274"
10-07-2023,115.3,112.25,115.7,111.65,"6,06,52,690"
11-07-2023,115.15,115.6,116.1,114.8,"3,79,99,385"
12-07-2023,114.7,115.15,116.05,114,"3,27,71,204"
13-07-2023,114.85,116,116.95,114.5,"4,48,47,814"
14-07-2023,117.15,115.7,117.9,114.8,"3,45,21,821"
