Date,Close,Open,High,Low,Volume
04-02-2022,1448.20,1464.00,1464.95,1435.00,2406272.00
07-02-2022,1444.30,1450.00,1465.75,1434.00,2741520.00
08-02-2022,1434.20,1446.50,1456.15,1420.20,1981111.00
09-02-2022,1454.80,1440.05,1470.95,1440.05,2282701.00
10-02-2022,1468.50,1465.00,1472.00,1450.30,1850405.00
11-02-2022,1424.90,1449.85,1449.95,1421.00,2426039.00
14-02-2022,1390.15,1390.00,1418.80,1371.00,2149302.00
15-02-2022,1439.65,1404.05,1442.60,1395.05,1955525.00
16-02-2022,1444.00,1450.50,1463.95,1428.85,2164650.00
17-02-2022,1447.55,1461.45,1461.45,1440.25,1669669.00
18-02-2022,1437.95,1438.45,1445.00,1417.10,2374188.00
21-02-2022,1418.20,1427.15,1440.00,1410.10,2109461.00
22-02-2022,1412.55,1380.50,1420.70,1375.00,2111878.00
23-02-2022,1413.30,1422.00,1424.95,1409.20,1319711.00
24-02-2022,1333.00,1370.50,1400.00,1330.00,4108603.00
25-02-2022,1389.70,1355.00,1400.00,1350.10,1885454.00
28-02-2022,1410.00,1380.00,1419.85,1363.25,4983140.00
02-03-2022,1394.35,1400.00,1420.70,1382.75,2160190.00
03-03-2022,1426.65,1409.80,1443.60,1405.15,2730530.00
04-03-2022,1453.60,1415.00,1460.00,1398.50,3567738.00
07-03-2022,1424.10,1428.00,1464.00,1411.05,3341715.00
08-03-2022,1461.95,1420.00,1466.90,1420.00,2365949.00
09-03-2022,1504.75,1461.95,1511.00,1461.95,3667977.00
10-03-2022,1485.35,1525.00,1525.95,1474.50,2835942.00
11-03-2022,1486.80,1476.00,1491.85,1472.50,1116432.00
14-03-2022,1503.00,1487.00,1508.90,1487.00,1372791.00
15-03-2022,1458.60,1514.00,1515.00,1448.00,2188506.00
16-03-2022,1489.90,1475.20,1494.50,1468.40,1453944.00
17-03-2022,1493.50,1505.00,1509.95,1487.00,2346185.00
21-03-2022,1479.80,1495.00,1520.00,1476.20,2110200.00
22-03-2022,1538.20,1486.90,1543.95,1475.05,3030660.00
23-03-2022,1542.15,1550.00,1561.70,1529.20,3741783.00
24-03-2022,1568.55,1530.15,1571.95,1530.15,2085571.00
25-03-2022,1530.55,1571.00,1574.95,1522.40,1755511.00
28-03-2022,1524.45,1534.00,1538.95,1516.55,1928306.00
29-03-2022,1522.35,1537.00,1539.55,1519.10,2311150.00
30-03-2022,1496.30,1534.30,1534.30,1485.00,3792481.00
31-03-2022,1499.45,1496.30,1509.60,1487.20,2036984.00
01-04-2022,1487.10,1499.00,1502.65,1475.45,2537230.00
04-04-2022,1498.65,1487.10,1504.30,1483.65,1675276.00
05-04-2022,1489.05,1508.00,1522.50,1480.00,3207223.00
06-04-2022,1459.35,1482.00,1482.00,1454.00,2627895.00
07-04-2022,1468.55,1454.00,1474.65,1450.70,3336784.00
08-04-2022,1448.75,1475.00,1483.40,1440.00,5402943.00
11-04-2022,1449.20,1455.95,1462.35,1435.65,3268704.00
12-04-2022,1415.00,1436.35,1441.60,1406.45,2021088.00
13-04-2022,1410.45,1418.10,1428.70,1403.40,1430399.00
18-04-2022,1344.55,1390.00,1390.00,1330.20,3968044.00
19-04-2022,1301.20,1361.85,1361.85,1285.65,2677360.00
20-04-2022,1309.20,1305.40,1320.95,1295.75,3025261.00
21-04-2022,1312.70,1313.90,1319.00,1297.45,3728173.00
22-04-2022,1306.50,1305.00,1324.00,1292.85,1954666.00
25-04-2022,1270.40,1295.00,1297.95,1262.60,2686619.00
26-04-2022,1275.45,1281.40,1285.70,1265.00,2568317.00
27-04-2022,1261.25,1267.75,1274.50,1246.25,2382463.00
28-04-2022,1271.30,1273.80,1284.40,1250.20,2576887.00
29-04-2022,1259.00,1284.00,1284.80,1248.35,3811317.00
02-05-2022,1231.20,1240.00,1249.00,1224.20,2149957.00
04-05-2022,1212.80,1232.45,1243.95,1200.00,2797667.00
05-05-2022,1263.35,1232.85,1266.10,1222.15,3563713.00
06-05-2022,1290.75,1239.70,1299.00,1228.70,5745203.00
09-05-2022,1261.15,1280.00,1280.00,1210.00,5712061.00
10-05-2022,1242.30,1255.00,1271.45,1235.00,2852416.00
11-05-2022,1224.45,1243.00,1265.65,1207.30,3244609.00
12-05-2022,1212.80,1209.00,1232.85,1197.05,3110220.00
13-05-2022,1202.85,1228.00,1234.55,1195.00,1892084.00
16-05-2022,1189.05,1190.00,1221.00,1156.95,3474480.00
17-05-2022,1198.20,1195.80,1210.00,1183.15,4434968.00
18-05-2022,1172.05,1209.00,1230.50,1168.50,5294021.00
19-05-2022,1108.35,1153.00,1153.90,1100.00,4393100.00
20-05-2022,1130.90,1128.00,1134.80,1114.75,2461651.00
23-05-2022,1142.90,1134.00,1147.80,1115.65,2783695.00
24-05-2022,1098.35,1148.00,1151.85,1091.00,3666196.00
25-05-2022,1060.15,1091.05,1094.90,1045.00,4711542.00
26-05-2022,1078.60,1070.00,1089.50,1055.95,2946857.00
27-05-2022,1123.25,1095.00,1126.20,1092.00,3367600.00
30-05-2022,1164.00,1142.90,1170.50,1135.45,2469771.00
31-05-2022,1180.25,1152.00,1192.00,1148.65,9674664.00
01-06-2022,1146.60,1186.15,1197.00,1143.10,2419021.00
02-06-2022,1146.00,1140.00,1155.40,1131.70,3206663.00
03-06-2022,1147.90,1160.00,1182.00,1144.10,3229236.00
06-06-2022,1144.20,1146.00,1149.00,1111.10,3938875.00
07-06-2022,1130.30,1130.10,1139.80,1120.70,1656444.00
08-06-2022,1124.20,1134.90,1139.30,1119.90,1303551.00
09-06-2022,1138.60,1122.00,1141.95,1111.65,1323539.00
10-06-2022,1109.85,1119.00,1123.90,1100.25,3119792.00
13-06-2022,1051.95,1081.20,1084.60,1050.00,2012004.00
14-06-2022,1030.15,1034.00,1056.55,1020.40,5775453.00
15-06-2022,1020.05,1037.00,1037.00,1017.80,3238141.00
16-06-2022,975.30,1024.05,1033.60,971.00,5600443.00
17-06-2022,965.05,971.10,974.35,943.70,7043370.00
20-06-2022,979.35,965.00,988.15,948.05,2985094.00
21-06-2022,1000.10,991.40,1004.65,980.00,3433536.00
22-06-2022,980.00,996.95,996.95,968.00,2719988.00
23-06-2022,991.10,981.10,998.55,971.25,2915172.00
24-06-2022,981.20,1001.00,1001.00,974.00,4056588.00
27-06-2022,1007.20,996.00,1024.10,996.00,3796002.00
28-06-2022,1020.70,1002.00,1029.00,984.05,2755698.00
29-06-2022,1021.10,1008.00,1027.40,1002.55,3770663.00
30-06-2022,1000.00,1016.00,1026.00,997.00,3264301.00
01-07-2022,1010.70,997.00,1014.00,989.30,1842102.00
04-07-2022,999.95,1010.70,1013.80,995.00,1814322.00
05-07-2022,1003.20,1005.00,1021.90,999.00,3045188.00
06-07-2022,1009.90,1008.00,1014.90,1001.60,2188175.00
07-07-2022,1020.75,1020.95,1026.90,1016.00,1901699.00
08-07-2022,1026.50,1031.00,1034.70,1014.55,2841036.00
11-07-2022,1007.55,1015.00,1017.35,988.00,2892507.00
12-07-2022,997.35,1000.00,1016.80,994.50,2013304.00
13-07-2022,990.05,1001.40,1004.20,987.05,2067142.00
14-07-2022,975.80,998.00,998.60,968.80,2212219.00
15-07-2022,973.80,980.00,988.90,965.05,2544737.00
18-07-2022,1008.00,985.00,1022.00,984.20,3946821.00
19-07-2022,1007.70,999.95,1010.95,991.00,2985845.00
20-07-2022,1045.50,1021.25,1051.70,1017.25,5574762.00
21-07-2022,1032.75,1025.00,1035.80,1011.05,4935223.00
22-07-2022,1028.70,1040.00,1043.70,1013.25,2985409.00
25-07-2022,1017.25,1028.90,1028.90,1008.25,2888919.00
26-07-2022,999.35,1015.00,1037.25,994.15,5939871.00
27-07-2022,1007.65,1000.00,1009.95,992.00,2546052.00
28-07-2022,1038.00,1021.20,1043.45,1015.40,3428026.00
29-07-2022,1048.65,1055.00,1068.00,1044.10,6185909.00
01-08-2022,1049.60,1058.95,1058.95,1037.80,2540084.00
02-08-2022,1032.60,1046.00,1049.50,1030.00,2802273.00
03-08-2022,1052.65,1027.45,1057.00,1024.70,3509019.00
04-08-2022,1056.05,1063.00,1072.70,1036.20,5360632.00
05-08-2022,1058.20,1060.00,1067.95,1050.45,2641829.00
08-08-2022,1056.60,1056.00,1064.85,1049.05,2579239.00
10-08-2022,1055.20,1056.00,1059.15,1043.05,2823021.00
11-08-2022,1077.25,1072.00,1093.90,1070.20,3201408.00
12-08-2022,1065.90,1073.30,1076.40,1062.00,1771561.00
16-08-2022,1077.70,1076.00,1079.95,1056.55,2222701.00
17-08-2022,1104.50,1072.50,1106.90,1072.20,4280823.00
18-08-2022,1105.15,1100.00,1109.20,1088.10,3041422.00
19-08-2022,1104.15,1110.00,1135.00,1100.00,4577717.00
22-08-2022,1078.70,1096.00,1100.00,1075.25,2157609.00
23-08-2022,1065.90,1062.00,1070.10,1047.00,2875768.00
24-08-2022,1070.95,1066.00,1073.40,1055.10,2180800.00
25-08-2022,1070.60,1080.00,1089.65,1065.55,2734931.00
26-08-2022,1085.55,1083.00,1097.55,1081.00,2624896.00
29-08-2022,1035.55,1046.00,1047.60,1017.30,6118233.00
30-08-2022,1076.10,1048.00,1080.50,1042.30,4453769.00
01-09-2022,1052.90,1056.00,1065.00,1043.10,6112823.00
02-09-2022,1056.40,1058.20,1066.50,1047.05,1645341.00
05-09-2022,1065.05,1056.00,1070.80,1054.80,1677079.00
06-09-2022,1063.70,1065.05,1071.00,1050.30,3051076.00
07-09-2022,1055.85,1052.00,1061.00,1044.00,2615897.00
08-09-2022,1089.60,1070.00,1092.90,1067.10,2634786.00
09-09-2022,1126.65,1102.65,1132.35,1086.25,3394349.00
12-09-2022,1150.10,1140.00,1165.00,1139.95,5230075.00
13-09-2022,1147.45,1156.00,1164.45,1143.10,2483685.00
14-09-2022,1114.70,1112.00,1121.85,1095.00,5179539.00
15-09-2022,1083.00,1120.30,1124.30,1078.00,3392174.00
16-09-2022,1033.20,1065.00,1073.95,1028.00,6635089.00
19-09-2022,1039.50,1036.00,1051.85,1023.10,2485826.00
20-09-2022,1056.15,1054.00,1065.70,1050.00,2321528.00
21-09-2022,1060.15,1047.20,1066.95,1047.00,2760138.00
22-09-2022,1048.40,1050.00,1072.00,1042.25,3867282.00
23-09-2022,1035.10,1038.00,1049.90,1022.00,3230711.00
26-09-2022,1032.90,1029.00,1052.25,1013.55,3314114.00
27-09-2022,1022.50,1034.95,1045.00,1019.05,4448875.00
28-09-2022,1029.70,1016.00,1036.40,1008.55,1965519.00
29-09-2022,1007.10,1042.85,1044.50,1001.65,3176310.00
30-09-2022,1008.60,1001.00,1018.80,984.55,3848885.00
03-10-2022,1005.50,1010.00,1018.25,999.15,2431236.00
04-10-2022,1028.30,1022.00,1036.00,1017.90,2715420.00
06-10-2022,1031.30,1033.45,1045.00,1027.35,2397633.00
07-10-2022,1023.85,1029.90,1036.45,1021.05,1539126.00
10-10-2022,1029.35,1008.10,1033.00,1003.50,1660433.00
11-10-2022,1004.85,1034.50,1035.00,1000.55,2310765.00
12-10-2022,1015.90,1007.80,1018.80,998.20,2192421.00
13-10-2022,1012.95,1018.85,1021.00,1003.05,1344162.00
14-10-2022,1019.85,1035.00,1049.90,1016.05,3492929.00
17-10-2022,1023.25,1019.00,1027.95,1007.45,1426207.00
18-10-2022,1019.40,1028.40,1033.95,1014.00,2395805.00
19-10-2022,1019.20,1024.50,1030.00,1016.30,1304927.00
