Date,Close,Open,High,Low,Volume
04-02-2022,2471.15,2510.00,2520.00,2430.00,2718069.00
07-02-2022,2409.20,2480.00,2498.15,2388.00,1119632.00
08-02-2022,2443.65,2418.40,2465.00,2400.90,1524580.00
09-02-2022,2484.80,2465.00,2495.00,2456.05,826261.00
10-02-2022,2491.85,2499.95,2503.95,2465.55,788689.00
11-02-2022,2442.25,2480.00,2480.00,2421.25,1030760.00
14-02-2022,2398.00,2380.00,2423.00,2351.25,816491.00
15-02-2022,2495.90,2421.95,2499.80,2399.00,1293933.00
16-02-2022,2488.05,2510.00,2519.90,2460.25,1008929.00
17-02-2022,2493.20,2509.50,2537.50,2487.00,960885.00
18-02-2022,2488.95,2479.30,2499.50,2460.80,654373.00
21-02-2022,2454.35,2488.00,2488.00,2411.05,788568.00
22-02-2022,2450.10,2377.00,2457.00,2377.00,874150.00
23-02-2022,2495.70,2452.00,2525.00,2452.00,2096198.00
24-02-2022,2406.60,2402.00,2466.00,2395.00,1875086.00
25-02-2022,2468.45,2423.50,2474.00,2423.50,1284338.00
28-02-2022,2546.55,2430.00,2563.65,2430.00,2355891.00
02-03-2022,2592.65,2550.00,2604.80,2524.35,3536974.00
03-03-2022,2574.25,2620.00,2639.80,2560.00,2153478.00
04-03-2022,2441.00,2565.00,2565.00,2430.00,2652474.00
07-03-2022,2389.70,2414.80,2419.95,2330.00,1545686.00
08-03-2022,2371.25,2400.00,2419.50,2325.60,1467595.00
09-03-2022,2433.65,2393.00,2460.50,2375.00,1581979.00
10-03-2022,2467.80,2498.00,2504.75,2444.85,1051744.00
11-03-2022,2493.60,2478.00,2498.20,2448.85,812330.00
14-03-2022,2539.00,2490.00,2545.00,2475.00,1004492.00
15-03-2022,2556.95,2559.00,2579.00,2543.20,1571483.00
16-03-2022,2587.30,2577.80,2593.50,2566.00,757197.00
17-03-2022,2703.00,2600.10,2721.65,2600.10,3336088.00
21-03-2022,2707.25,2740.00,2768.00,2700.00,1889261.00
22-03-2022,2712.75,2716.25,2718.80,2646.45,1279904.00
23-03-2022,2690.00,2730.00,2742.95,2677.85,1281815.00
24-03-2022,2618.50,2694.00,2694.00,2612.55,1835380.00
25-03-2022,2523.90,2631.00,2634.00,2518.00,2863040.00
28-03-2022,2535.90,2536.50,2545.55,2483.00,1316800.00
29-03-2022,2538.80,2550.00,2559.00,2525.30,908172.00
30-03-2022,2523.15,2556.30,2565.75,2510.00,866666.00
31-03-2022,2536.15,2525.25,2545.40,2519.95,910316.00
01-04-2022,2520.85,2538.00,2550.00,2491.85,1208002.00
04-04-2022,2517.00,2540.35,2562.00,2508.75,1424995.00
05-04-2022,2549.20,2532.00,2577.80,2520.05,1586304.00
06-04-2022,2540.05,2547.00,2564.90,2523.30,1349078.00
07-04-2022,2458.35,2502.30,2544.45,2452.00,2785215.00
08-04-2022,2509.95,2468.35,2532.65,2465.00,1217812.00
11-04-2022,2489.85,2503.00,2509.95,2477.40,660112.00
