Date,Close,Open,High,Low,Volume
04-02-2022,7439.65,7389.00,7529.90,7380.15,462491.00
07-02-2022,7469.35,7439.65,7518.95,7362.50,391483.00
08-02-2022,7421.35,7475.95,7499.00,7355.80,270604.00
09-02-2022,7504.05,7436.00,7547.90,7421.45,253643.00
10-02-2022,7474.50,7514.70,7548.95,7460.30,284223.00
11-02-2022,7323.60,7460.10,7460.10,7294.10,265177.00
14-02-2022,7089.10,7242.50,7242.50,7050.00,266661.00
15-02-2022,7290.30,7100.00,7318.45,7031.05,255775.00
16-02-2022,7178.90,7285.00,7320.00,7166.95,322839.00
17-02-2022,7045.95,7145.00,7225.00,7030.00,499955.00
18-02-2022,6916.60,7049.00,7064.85,6900.00,510600.00
21-02-2022,6813.45,6900.00,6912.55,6791.00,424346.00
22-02-2022,6749.55,6713.00,6770.00,6676.15,359236.00
23-02-2022,6780.20,6780.00,6866.00,6735.00,506540.00
24-02-2022,6418.45,6624.90,6649.15,6396.20,610393.00
25-02-2022,6570.25,6550.00,6656.65,6520.00,376464.00
28-02-2022,6567.90,6538.00,6602.00,6440.15,557289.00
02-03-2022,6399.35,6539.00,6539.00,6342.00,686927.00
03-03-2022,5980.70,6416.00,6437.15,5964.85,2406110.00
04-03-2022,6050.30,5949.75,6170.00,5850.80,1336552.00
07-03-2022,5698.10,5929.30,5929.30,5684.65,1280108.00
08-03-2022,5833.45,5631.00,5875.00,5629.20,955847.00
09-03-2022,6017.35,5890.00,6058.75,5821.20,813790.00
10-03-2022,6052.55,6202.00,6261.20,6004.55,967482.00
11-03-2022,6021.00,6043.00,6119.95,5980.00,533023.00
14-03-2022,6035.90,6050.00,6067.90,5956.05,466938.00
15-03-2022,6021.25,6095.85,6172.00,5972.05,819263.00
16-03-2022,6305.90,6130.00,6317.20,6080.00,888929.00
17-03-2022,6373.60,6380.35,6469.50,6340.00,979987.00
21-03-2022,6191.25,6370.00,6370.00,6176.05,531422.00
22-03-2022,6211.60,6160.00,6225.85,6059.10,1073804.00
23-03-2022,6234.00,6312.50,6312.50,6195.05,664235.00
24-03-2022,6351.85,6202.00,6379.55,6200.00,642226.00
25-03-2022,6312.70,6385.00,6390.65,6284.05,321023.00
28-03-2022,6359.95,6345.00,6394.95,6245.05,325668.00
29-03-2022,6526.60,6377.00,6548.00,6376.00,671879.00
30-03-2022,6642.70,6542.50,6668.80,6542.50,705385.00
31-03-2022,6602.30,6660.00,6699.00,6581.00,399272.00
01-04-2022,6670.55,6603.00,6688.85,6565.05,216837.00
04-04-2022,6743.90,6632.00,6758.45,6622.00,268314.00
05-04-2022,6726.15,6770.00,6816.00,6680.05,412049.00
06-04-2022,6736.15,6700.00,6792.00,6690.00,297453.00
07-04-2022,6736.65,6696.00,6796.50,6696.00,234000.00
08-04-2022,6837.00,6799.00,6850.00,6722.85,309692.00
11-04-2022,6858.75,6834.65,6918.50,6800.00,359038.00
12-04-2022,6775.55,6850.00,6858.75,6721.80,385829.00
13-04-2022,6730.05,6750.00,6840.00,6694.20,386535.00
18-04-2022,6639.60,6645.50,6689.90,6570.05,240392.00
19-04-2022,6585.70,6700.00,6764.25,6506.05,353426.00
20-04-2022,6807.15,6587.00,6827.75,6585.70,328054.00
21-04-2022,6846.50,6830.00,6887.00,6808.00,181457.00
22-04-2022,6744.10,6800.00,6809.95,6710.10,237385.00
25-04-2022,6595.05,6694.00,6713.05,6556.65,227496.00
26-04-2022,6660.20,6680.00,6694.20,6615.00,279555.00
27-04-2022,6548.45,6575.00,6629.85,6536.05,327597.00
28-04-2022,6616.95,6598.00,6635.00,6551.05,243308.00
29-04-2022,6630.25,6617.40,6797.00,6520.20,1139560.00
02-05-2022,6679.00,6607.60,6730.00,6542.90,329548.00
04-05-2022,6521.95,6679.00,6708.60,6501.00,228457.00
