Date,Close,Open,High,Low,Volume
04-02-2022,767.20,773.60,776.80,765.00,992052.00
07-02-2022,756.60,764.20,774.90,750.25,1255955.00
08-02-2022,758.65,757.00,763.95,744.10,2063533.00
09-02-2022,770.50,764.50,772.45,760.00,1342782.00
10-02-2022,770.10,775.00,778.95,767.95,2561635.00
11-02-2022,753.20,765.85,766.95,750.00,1621795.00
14-02-2022,721.70,744.30,749.05,716.00,1950243.00
15-02-2022,744.70,725.10,746.95,716.15,1467359.00
16-02-2022,735.80,750.00,750.00,732.30,1398493.00
17-02-2022,727.05,737.00,742.70,725.75,1174134.00
18-02-2022,724.95,728.00,736.20,719.00,1973922.00
21-02-2022,704.15,724.90,724.90,701.85,2577455.00
22-02-2022,693.35,689.00,695.70,676.25,2841052.00
23-02-2022,688.00,700.05,702.65,684.85,2713053.00
24-02-2022,632.30,673.00,674.75,622.00,5453651.00
25-02-2022,654.70,656.20,663.85,644.65,3890925.00
28-02-2022,665.45,651.00,668.95,644.10,3060915.00
02-03-2022,689.55,663.65,697.00,659.50,8499711.00
03-03-2022,713.75,707.90,724.60,688.95,9676442.00
04-03-2022,713.75,712.00,735.90,704.80,10189495.00
07-03-2022,731.90,710.05,735.00,685.75,6969575.00
08-03-2022,724.20,730.40,740.95,707.60,4117923.00
09-03-2022,725.20,732.50,734.80,712.70,2888800.00
10-03-2022,724.20,731.55,742.40,720.00,4218131.00
11-03-2022,725.45,723.85,729.00,716.20,2559363.00
14-03-2022,730.75,728.00,733.55,720.10,2845328.00
15-03-2022,741.00,730.00,746.00,728.55,4051465.00
16-03-2022,752.45,749.95,756.65,743.90,2879590.00
17-03-2022,761.60,759.00,764.50,754.55,2297497.00
21-03-2022,775.90,770.00,777.75,760.00,3221656.00
22-03-2022,780.95,775.00,787.00,771.05,2788207.00
23-03-2022,793.95,780.50,796.40,780.00,2365083.00
24-03-2022,799.10,795.00,801.85,789.05,2117672.00
25-03-2022,798.55,807.00,814.50,791.60,4762541.00
28-03-2022,780.75,795.05,797.95,778.00,2207764.00
29-03-2022,782.00,781.50,790.40,779.05,1636109.00
30-03-2022,776.15,782.00,785.50,774.00,1113587.00
31-03-2022,769.60,778.55,778.95,765.00,1874608.00
01-04-2022,781.55,770.50,783.50,770.50,1467955.00
04-04-2022,784.35,781.45,790.00,779.05,1111794.00
05-04-2022,793.55,791.95,800.65,790.30,2326745.00
06-04-2022,805.30,796.20,811.80,792.10,2880663.00
07-04-2022,803.35,797.00,809.00,790.45,2227078.00
08-04-2022,809.75,806.00,819.50,805.65,3285707.00
11-04-2022,819.85,811.00,824.00,810.15,3167295.00
12-04-2022,805.65,817.65,817.65,800.50,3123878.00
13-04-2022,818.65,805.65,836.45,805.00,4974212.00
18-04-2022,805.15,813.65,817.70,792.30,3037877.00
19-04-2022,804.90,807.00,823.90,800.00,2907063.00
20-04-2022,825.25,809.50,826.90,807.05,3042831.00
21-04-2022,829.15,831.00,833.65,821.00,2691988.00
22-04-2022,816.55,828.90,828.90,811.30,3147260.00
25-04-2022,803.05,805.00,808.95,791.50,2050099.00
26-04-2022,812.35,814.00,819.30,807.10,2022477.00
27-04-2022,798.40,809.90,810.15,794.20,1627577.00
28-04-2022,824.30,814.25,827.00,804.25,4606626.00
29-04-2022,822.90,832.00,834.00,816.35,3236877.00
02-05-2022,830.25,815.55,837.70,812.70,3855822.00
04-05-2022,824.20,830.90,848.00,816.95,4888165.00
05-05-2022,823.25,830.40,841.40,819.10,2630497.00
06-05-2022,786.85,815.00,815.00,779.45,3256336.00
09-05-2022,777.60,772.00,806.65,768.55,6800255.00
10-05-2022,789.80,792.00,800.65,778.55,4027939.00
11-05-2022,792.15,801.00,812.70,782.80,3654568.00
12-05-2022,764.95,782.00,789.25,753.00,2998405.00
13-05-2022,781.55,774.00,795.00,772.10,3062695.00
16-05-2022,802.25,784.70,806.50,775.05,3267900.00
17-05-2022,817.35,808.00,819.70,798.70,1844532.00
18-05-2022,821.10,817.00,827.00,809.25,1792368.00
19-05-2022,814.00,807.80,816.35,803.00,1801424.00
20-05-2022,808.25,818.00,828.00,803.50,2235524.00
23-05-2022,791.25,810.00,815.35,788.75,3341478.00
24-05-2022,792.55,789.00,798.80,783.65,1695450.00
25-05-2022,764.00,794.50,798.00,758.40,1484158.00
26-05-2022,747.45,764.00,766.00,733.05,2577097.00
27-05-2022,756.60,754.00,762.70,746.65,1529970.00
30-05-2022,782.55,760.35,787.80,760.35,1735999.00
31-05-2022,779.60,782.50,791.20,775.00,1981316.00
01-06-2022,779.75,772.60,784.40,772.60,1136166.00
02-06-2022,775.35,775.00,787.45,769.00,1662461.00
03-06-2022,769.65,782.90,782.90,766.55,1175685.00
06-06-2022,779.00,771.95,781.00,764.55,891806.00
07-06-2022,746.20,778.50,779.80,742.10,2074139.00
08-06-2022,735.15,746.00,748.70,730.00,2112443.00
09-06-2022,747.30,734.20,751.00,726.70,2312524.00
10-06-2022,734.40,738.00,739.95,732.55,1103946.00
13-06-2022,726.40,726.00,732.40,719.55,1517285.00
14-06-2022,715.70,721.90,731.95,712.25,1590761.00
15-06-2022,712.15,721.50,723.60,707.05,1108371.00
16-06-2022,683.65,722.10,725.50,679.40,1733865.00
17-06-2022,665.15,683.40,687.70,659.25,2607500.00
20-06-2022,640.45,668.00,671.95,630.55,2523321.00
21-06-2022,654.20,642.25,656.95,642.25,1316846.00
22-06-2022,613.65,650.20,651.95,611.00,4180495.00
23-06-2022,633.20,613.00,635.65,607.50,3857527.00
24-06-2022,640.85,633.00,645.25,631.05,1901670.00
27-06-2022,657.10,648.00,666.50,644.10,2442598.00
28-06-2022,656.00,651.10,665.50,647.65,2692035.00
29-06-2022,644.40,652.05,653.95,641.55,2371912.00
30-06-2022,632.40,645.00,645.75,630.15,3792264.00
01-07-2022,643.50,630.00,646.00,621.95,3575548.00
04-07-2022,654.50,643.40,657.80,636.05,3002770.00
05-07-2022,656.40,659.00,671.65,654.60,2721295.00
06-07-2022,662.50,655.90,664.15,652.60,1674576.00
07-07-2022,682.75,667.00,684.65,664.45,3320190.00
08-07-2022,690.25,685.00,692.30,681.25,3024014.00
