Date,Close,Open,High,Volume,
04-02-2022,571.75,577.00,577.80,568.05,6816779.00
07-02-2022,557.00,571.90,573.80,555.60,7545679.00
08-02-2022,560.25,561.40,565.80,554.45,6976907.00
09-02-2022,568.95,564.40,570.75,563.30,5103738.00
10-02-2022,573.65,572.40,574.75,566.20,5801912.00
11-02-2022,561.45,566.00,566.00,557.10,7721229.00
14-02-2022,541.70,550.00,557.15,540.00,8120773.00
15-02-2022,563.35,545.60,565.25,543.25,6838496.00
16-02-2022,563.90,565.15,570.30,557.55,7303911.00
17-02-2022,564.90,572.00,572.40,561.15,7114420.00
18-02-2022,562.45,559.00,565.70,555.35,6705919.00
21-02-2022,570.80,555.75,572.70,555.40,8767001.00
22-02-2022,564.15,556.25,569.00,556.10,10745062.00
23-02-2022,567.10,569.20,570.90,562.65,7204256.00
24-02-2022,537.15,548.00,556.90,531.15,13476944.00
25-02-2022,555.25,548.00,558.75,547.50,7961312.00
28-02-2022,555.80,551.00,560.10,544.10,9158437.00
02-03-2022,555.20,555.00,558.30,550.40,8177055.00
03-03-2022,569.55,563.00,575.95,560.35,12955663.00
04-03-2022,575.30,561.00,580.00,554.05,13474186.00
07-03-2022,571.85,563.00,579.65,562.25,10556167.00
08-03-2022,587.45,572.00,590.75,572.00,11019999.00
09-03-2022,585.50,588.00,596.40,582.15,11763616.00
10-03-2022,588.25,595.00,596.50,584.60,8080983.00
11-03-2022,586.20,587.00,590.00,582.40,4963594.00
14-03-2022,598.15,586.40,600.80,586.00,7503221.00
15-03-2022,587.70,603.70,603.70,584.30,6926622.00
16-03-2022,598.25,595.25,599.45,592.50,5575148.00
17-03-2022,601.20,605.00,611.00,599.00,8440645.00
21-03-2022,600.00,605.10,616.00,598.00,7796476.00
22-03-2022,610.05,603.40,611.00,596.15,7790250.00
23-03-2022,611.20,613.95,615.00,607.70,5696918.00
24-03-2022,610.55,607.00,613.80,605.80,3875745.00
25-03-2022,603.35,611.00,614.00,597.25,5993097.00
28-03-2022,600.20,608.00,609.00,597.10,5738405.00
29-03-2022,602.50,603.00,605.35,599.15,4701003.00
30-03-2022,600.80,605.10,609.30,599.50,7744382.00
31-03-2022,591.90,600.00,603.30,590.20,7238089.00
01-04-2022,601.80,591.70,603.40,589.30,4283997.00
04-04-2022,605.60,605.00,606.50,599.00,4427974.00
05-04-2022,599.15,605.45,609.50,598.05,6431244.00
06-04-2022,593.55,598.00,598.00,591.00,4117951.00
07-04-2022,580.85,592.00,592.00,577.50,7860765.00
08-04-2022,583.65,586.00,587.00,580.50,4318316.00
11-04-2022,571.10,584.00,584.25,568.10,8582108.00
12-04-2022,558.70,568.00,568.00,556.20,8169266.00
13-04-2022,559.20,560.00,565.50,554.60,5602288.00
18-04-2022,538.60,549.85,549.85,536.00,9465031.00
19-04-2022,530.45,544.00,545.55,526.05,6643004.00
20-04-2022,536.50,536.00,540.55,531.35,4330488.00
21-04-2022,539.20,541.00,542.50,537.35,6694391.00
22-04-2022,537.70,535.00,540.85,530.65,4891212.00
25-04-2022,529.35,529.95,531.15,523.30,4736884.00
26-04-2022,529.25,537.00,537.75,527.10,4359370.00
27-04-2022,518.95,527.00,527.00,514.50,8137539.00
28-04-2022,522.55,524.00,526.65,516.00,6620669.00
29-04-2022,508.80,528.50,528.50,507.00,12075630.00
02-05-2022,495.00,515.50,519.00,492.60,21911427.00
04-05-2022,491.75,500.00,503.85,489.25,8633927.00
05-05-2022,501.15,501.00,503.70,496.30,5434766.00
06-05-2022,485.10,490.00,490.90,481.00,9220891.00
09-05-2022,483.15,482.00,489.35,474.60,8337625.00
10-05-2022,477.65,483.00,483.75,476.15,7484767.00
11-05-2022,471.90,480.05,481.95,462.55,10514671.00
12-05-2022,473.80,468.10,476.00,462.15,7286500.00
13-05-2022,468.65,479.50,479.50,467.00,8387659.00
16-05-2022,468.00,474.00,474.35,465.00,3657033.00
17-05-2022,486.65,471.00,489.00,468.30,5660725.00
18-05-2022,481.25,490.90,495.25,480.60,7695484.00
19-05-2022,451.15,466.15,473.80,450.00,11472989.00
20-05-2022,459.60,462.00,462.20,455.00,6365956.00
23-05-2022,466.00,463.80,467.80,457.50,7055784.00
24-05-2022,459.95,468.45,469.60,458.00,6889730.00
25-05-2022,444.85,460.15,460.85,443.20,7740753.00
26-05-2022,453.35,446.00,454.70,444.00,5791541.00
27-05-2022,466.95,460.00,467.95,456.25,5707236.00
30-05-2022,476.25,473.15,481.50,473.15,6145574.00
31-05-2022,478.05,475.90,480.75,470.40,15793502.00
01-06-2022,470.75,478.95,478.95,468.50,5257283.00
02-06-2022,474.15,471.80,476.45,468.10,5267520.00
03-06-2022,475.50,479.65,488.00,474.50,11634889.00
06-06-2022,473.20,472.00,475.50,464.20,6895578.00
07-06-2022,467.65,470.00,470.75,465.15,2350671.00
08-06-2022,470.40,471.05,472.00,464.30,2813826.00
09-06-2022,475.05,467.05,476.15,464.25,3701119.00
10-06-2022,460.95,467.20,467.20,456.30,8726549.00
13-06-2022,446.10,450.05,453.00,445.00,7065411.00
