Date,Close,Open,High,Low,Volume
04-02-2022,624.35,637.00,637.00,622.10,1909456.00
07-02-2022,603.25,620.10,623.70,600.00,3030728.00
08-02-2022,600.45,606.40,607.85,594.00,1954492.00
09-02-2022,600.20,606.75,606.75,596.10,2644690.00
10-02-2022,606.25,600.20,611.50,590.45,6231536.00
11-02-2022,595.35,600.70,601.50,593.00,2557745.00
14-02-2022,557.30,588.00,589.80,555.00,7168038.00
15-02-2022,573.60,564.00,574.50,551.60,4282324.00
16-02-2022,586.35,577.00,592.90,576.30,6991082.00
17-02-2022,592.60,586.10,595.40,581.25,3542326.00
18-02-2022,590.95,590.00,597.50,587.45,2613689.00
21-02-2022,582.00,583.55,589.40,576.55,2415405.00
22-02-2022,572.75,577.00,577.00,565.00,2952243.00
23-02-2022,569.05,572.75,578.00,565.50,1929381.00
24-02-2022,532.95,559.00,560.00,529.05,5515851.00
25-02-2022,538.90,540.00,545.55,533.85,5087685.00
28-02-2022,523.20,532.00,532.50,520.25,10669560.00
02-03-2022,560.80,518.00,563.00,509.05,41081069.00
03-03-2022,531.75,560.75,563.50,530.25,5811568.00
04-03-2022,521.50,528.90,528.90,514.25,4687979.00
07-03-2022,503.50,505.00,520.00,498.00,9156126.00
08-03-2022,513.05,500.00,514.95,497.05,7443036.00
09-03-2022,514.70,517.00,523.00,508.00,4515965.00
10-03-2022,521.30,524.00,529.75,515.85,5059007.00
11-03-2022,518.80,518.55,524.20,514.75,2924919.00
14-03-2022,512.45,520.00,521.15,510.05,4517379.00
15-03-2022,504.70,512.45,519.80,502.75,4513513.00
16-03-2022,517.30,507.05,521.35,507.05,6339842.00
17-03-2022,530.15,523.00,532.90,520.50,11303983.00
21-03-2022,522.35,532.80,534.30,520.25,4064003.00
22-03-2022,529.30,523.50,530.50,516.50,3457606.00
23-03-2022,525.85,531.90,534.00,524.15,2654149.00
24-03-2022,522.35,524.00,526.00,519.00,3192575.00
25-03-2022,519.55,524.10,528.00,517.85,2874297.00
28-03-2022,512.60,516.10,520.70,505.10,4968964.00
29-03-2022,523.00,517.00,525.70,514.40,3428962.00
30-03-2022,542.30,526.00,543.35,526.00,6695548.00
